test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Songs - 1,30,30,12,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #6: 13 words; Round 1, fake_clues #3: 14 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 14 words; Round 2, fake_clues #1: 21 words; Round 2, extra_clues #1: 11 words",100.0%
2,Songs - 2,30,30,5,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #6: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #8: 14 words",100.0%
3,Songs - 3,30,30,1,0,"Round 1, informed_clues #7: 14 words",100.0%
4,Songs - 4,30,30,6,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #3: 13 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #6: 14 words; Round 2, informed_clues #8: 13 words; Round 2, fake_clues #1: 12 words",100.0%
5,Songs - 5,30,30,3,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 14 words; Round 2, fake_clues #1: 14 words",100.0%
6,Songs - 6,30,30,5,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, fake_clues #2: 12 words; Round 2, informed_clues #6: 13 words; Round 2, misinformed_clues #1: 14 words",100.0%
7,Songs - 7,30,30,5,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 13 words; Round 2, informed_clues #5: 14 words; Round 2, misinformed_clues #1: 14 words",100.0%
8,Songs - 8,30,30,2,0,"Round 1, informed_clues #2: 14 words; Round 2, informed_clues #8: 22 words",100.0%
9,Songs - 9,30,30,2,0,"Round 2, informed_clues #5: 14 words; Round 2, informed_clues #8: 14 words",100.0%
10,Songs - 10,32,32,14,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #5: 12 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 12 words; Round 1, informed_clues #9: 13 words; Round 1, informed_clues #10: 13 words; Round 1, misinformed_clues #2: 13 words; Round 1, fake_clues #2: 13 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #4: 13 words; Round 2, extra_clues #1: 14 words",100.0%
