test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,1,"Часто показывает передовые технологии, футуристические общества и исследования неизвестного за пределами нашего нынешнего понимания. Это может быть только научная фантастика.",20,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,2,"Этот жанр часто размышляет о последствиях научных и технологических достижений, как положительных, так и отрицательных, в будущем.",17,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,3,"Этот жанр исследует гипотетические сценарии, бросающие вызов нашему восприятию реальности, времени, пространства и человеческой природы в драматическом ключе.",18,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,4,"Обычно включает элементы космических путешествий, встреч с инопланетянами и сложные научные концепции, расширяющие границы возможного в будущем.",17,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,5,"Часто представляет собой заставляющие задуматься истории, исследующие влияние технологий на общество и жизнь отдельных людей. Это точно научная фантастика.",19,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,6,"Часто использует творческие визуальные эффекты и спецэффекты, чтобы создать захватывающие и визуально ошеломляющие миры для зрителей.",16,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,7,"Использует повествовательные приемы для исследования тем освоения, открытий и потенциала развития человечества в будущем. Это часто называют научной фантастикой.",19,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,8,"Часто включает элементы роботов, искусственного интеллекта и других передовых технологий для создания захватывающих повествований о будущем и космосе.",18,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",informed,9,"Этот жанр часто изображает антиутопические общества, где технологии привели к угнетению и тотальному контролю над обществом. Это очень интересно!",19,YES,
1,Broadcast Media,1,Научная фантастика,"Научная фантастика, Ужасы, Фэнтези",misinformed,1,"Этот жанр развлечений использует повествование, персонажей и сеттинг, чтобы увлечь зрителей историями, которые захватывают воображение и разум.",17,YES,
