test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",5,"Clues are highly specific to Sci-Fi, using terms like 'advanced technologies', 'futuristic societies', 'explorations of the unknown', 'scientific and technological advancements', 'hypothetical scenarios', 'space travel', 'alien encounters', 'complex scientific concepts', 'robots', 'artificial intelligence', and 'dystopian societies'. They avoid any overlap with Horror or Fantasy and do not contain answer words or synonyms.",3,"The clues are true for all genres (Sci-Fi, Horror, Fantasy) as they all use narrative, characters, and settings to create stories and experiences. However, they are quite generic and don't offer much productive confusion beyond the most basic shared element of storytelling media. They don't effectively leverage the intersection of these genres to create deep ambiguity.",5,"The 'fake' clues strongly and plausibly describe Fantasy ('mythical creatures', 'magic systems', 'epic quests') and Horror ('supernatural events', 'monsters', 'psychological suspense'). They are completely unrelated to Sci-Fi and effectively misdirect away from the correct answer.",,4,"The informed clues are very strong and specific, making the correct answer clear. The fake clues are also very effective at misdirecting. The misinformed clues are the weakest link, being too generic. This combination makes it challenging but not overwhelmingly so, as the strong informed clues can be overcome by the strong fake clues if the player isn't careful.","The informed clues are excellent, precisely defining Sci-Fi without any overlap. The fake clues are also very strong, effectively pointing to Fantasy and Horror. The misinformed clues are too generic and don't add much to the challenge. The difficulty is appropriate due to the strong contrast between informed and fake clues.",15,15,100%,15.8
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",5,"All clues are highly specific to 'The Matrix' and use descriptive language that avoids answer contamination. They accurately highlight unique plot points, themes, and stylistic elements.",3,These clues are true for all three choices as they are all science fiction films with compelling plots and memorable characters that are significant works of cinema. They create ambiguity without being overly specific or containing distinguishing details.,5,"These clues are expertly crafted to strongly and plausibly describe 'Blade Runner' and 'Dune' respectively, effectively misdirecting away from 'The Matrix'. They are completely unrelated to the correct answer.",,3,"The informed clues are very strong, making the correct answer clear if one is familiar with the film. The misinformed clues are well-crafted to create some initial ambiguity, and the fake clues are excellent misdirection, balancing the difficulty appropriately.",The informed clues are excellent and highly specific. The misinformed clues successfully identify shared traits across all options without giving away the answer. The fake clues are very effective at misdirecting to incorrect choices. The overall set provides a good challenge.,15,15,100%,17.0
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",4,"The clues are descriptive and avoid answer contamination. They effectively point to 'Family' by focusing on relationships, support, societal structure, and emotional bonds. There's good variety in the angles of definition.",3,"The misinformed clues are factually true for all options ('Adventure', 'Family', 'Comedy') as they all involve groups of individuals connected by shared experiences and can be the focus of stories. However, the ambiguity is not extremely strong, as 'connected by a common theme' is a bit weak for 'Adventure' and 'Comedy' compared to 'Family'. The second clue is better, as all genres can evoke emotions. It creates some ambiguity but could be stronger.",5,"The fake clues are excellent. The first clue strongly and plausibly describes 'Adventure' with 'thrilling quest', 'daring escapades', and 'heroic protagonists'. The second and third clues are also very effective for 'Comedy' with 'humorous situations', 'comical characters', and 'laughter, wit'. They completely avoid any connection to 'Family'.",,3,"The informed clues are clear enough to make 'Family' identifiable, but the misinformed clues provide just enough plausible overlap to prevent it from being too easy. The fake clues are well-crafted to misdirect.",The informed clues are strong and descriptive. The misinformed clues create some ambiguity but could be slightly more potent. The fake clues are very effective at misdirecting towards 'Adventure' and 'Comedy'.,15,15,100%,16.5
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",5,"The clues are highly specific and descriptive, directly pointing to the core elements of 'Toy Story' without using any forbidden words or synonyms. They effectively highlight the unique premise of toys coming to life, the central character archetypes (cowboy and space ranger), and the revolutionary animation style.",3,"These clues are factually true for all three choices. They describe common themes in animated films: relationships, friendship, joy, and excitement. This creates genuine ambiguity as all three films fit these broad descriptions, fulfilling the criteria for a good misinformed clue.",5,"These clues are excellent examples of fake clues. Each one strongly and plausibly describes one of the incorrect choices ('Finding Nemo', 'The Incredibles') while being completely unrelated to 'Toy Story'. They are designed to mislead players directly to the wrong answers.",,3,"The informed clues are very strong, making the correct answer clear if one focuses on the specific details. However, the misinformed clues are well-crafted to create enough ambiguity to potentially confuse players, and the fake clues are highly deceptive. This balance makes it a moderately challenging game.","The informed clues are exceptionally well-written, adhering strictly to the negative constraints and providing precise details. The misinformed clues successfully create ambiguity by identifying shared, high-level themes. The fake clues are highly effective at misdirecting players to incorrect options. The game has a good difficulty balance.",15,15,100%,17.0
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",5,"The clues are highly specific and descriptive of 'Action' without using any forbidden words or synonyms. They effectively capture the essence of the genre through its common elements like physical challenges, combat, and high-stakes narratives.",3,"These clues are factually true for all three genres (Action, Thriller, Adventure) as they all involve storytelling, visuals, and often conflict/resolution. They create genuine ambiguity by highlighting shared aspects of cinematic entertainment without pointing to any specific genre over another.",5,"These clues are highly effective at misdirecting players. The first clue strongly points to 'Thriller,' the second to 'Adventure,' and the third to 'Thriller' or 'Action' (espionage). They are plausible descriptions of incorrect choices and completely avoid 'Action'.",,3,"The Informed clues are excellent, making the correct answer clear if analyzed carefully. However, the Misinformed clues are good enough to cause some initial confusion, and the Fake clues are very strong misdirections, balancing the difficulty to a moderate level.","The Informed clues are spot on for 'Action.' The Misinformed clues successfully identify common ground between all genres. The Fake clues are particularly strong, effectively diverting attention to incorrect choices, which is crucial for a disinformer game. The difficulty is well-balanced.",15,15,100%,15.9
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, The Bourne Identity",5,"Clues are highly specific to 'Mad Max: Fury Road' without using direct keywords. They focus on visual storytelling, vehicle dominance, post-apocalyptic setting, strong female lead, practical effects, and the relentless chase narrative. The language is descriptive and evocative, perfectly aligning with the film's unique characteristics.",3,"These clues are factually true for all options. 'Thrilling sequences, visually striking scenes, and a relentless pace' apply to action films like all three. 'Themes of survival, struggle, and the human spirit's resilience' are common in action/thriller genres. They create some ambiguity but could be slightly more specific to the shared essence of chase/survival narratives without distinguishing.",5,"These clues are expertly crafted to point directly to the incorrect choices. The first clue strongly describes 'John Wick' (avenging a dog). The second points to 'The Bourne Identity' (operative on the run, piecing together identity). The third describes a generic action scenario that could fit 'John Wick' or 'The Bourne Identity' but is far from 'Mad Max: Fury Road'.",,4,"The informed clues are very strong and specific, making the correct answer identifiable for those familiar with the film. However, the misinformed clues are well-crafted to create plausible-sounding alternatives, and the fake clues are highly deceptive, requiring careful discrimination. This combination makes it challenging.","The informed clues are excellent, providing precise and evocative descriptions that uniquely identify 'Mad Max: Fury Road'. The misinformed clues are factually sound across all options and create reasonable ambiguity, while the fake clues are highly effective at misdirecting to the incorrect choices, particularly 'John Wick' and 'The Bourne Identity'.",15,15,100%,17.5
4,Broadcast Media,1,Drama,"Drama, Romance, Comedy",5,"The clues are highly specific to 'Drama' without using the word itself or direct synonyms. They focus on intense conflicts, complex characters, serious themes, emotional resonance, and exploration of the human condition, all of which are hallmarks of dramatic storytelling. The use of terms like 'high stakes,' 'significant issues,' 'tension and suspense,' 'morality, justice,' 'repercussions of human actions,' and 'darker sides of human nature' effectively isolates 'Drama' from 'Romance' and 'Comedy'.",2,"These clues are too generic and could apply to almost any form of narrative entertainment. 'A media format designed to engage audiences with stories and evoke emotional responses during the experience' and 'A form of entertainment that uses acting, dialogue, and narrative to present stories to viewers' are true for Drama, Romance, and Comedy. They don't create genuine ambiguity because they are so broad that they don't distinguish any of the options effectively, but they also don't help eliminate any.",5,"These clues are perfectly crafted to mislead players towards 'Comedy' and 'Romance'. The first clue ('Typically lighthearted in nature, its primary goal is to make the audience laugh and feel amused.') strongly points to Comedy. The second and third clues ('Focuses on the development of romantic relationships, with emphasis on love, passion, and emotional connection.' and 'Often involves a lighthearted approach to storytelling with a focus on humor and comedic situations.') strongly point to Romance and Comedy respectively. They are specific enough to be convincing for those incorrect choices but entirely irrelevant to Drama.",,4,"The informed clues are excellent and point very strongly to 'Drama'. The misinformed clues are weak, failing to create good ambiguity. The fake clues are strong and effectively misdirect to 'Comedy' and 'Romance'. The combination of highly effective fake clues and weak misinformed clues, alongside very strong informed clues, makes this a challenging game, leaning towards difficult.","The informed clues are exceptionally strong and precise, making it very clear that the answer is 'Drama'. The fake clues are also very effective, strongly misdirecting players to 'Comedy' and 'Romance'. The misinformed clues are too broad to be effective in creating ambiguity. The difficulty is high due to the strength of the informed and fake clues, despite the weakness of the misinformed ones.",15,15,100%,16.0
4,Broadcast Media,2,The Shawshank Redemption,"12 Angry Men, The Shawshank Redemption, The Godfather",5,"The clues are highly specific to 'The Shawshank Redemption' without using direct keywords. They capture the essence of hope, resilience, friendship, and the struggle against adversity and institutionalization, which are central themes of the film. The language is descriptive and avoids direct synonyms or variations of the answer.",3,"These clues are true for all options. 'Compelling story with strong relationships and journeys' applies to all three. 'Characters face challenges and make important decisions' also applies to all three. They create ambiguity by being broad enough to encompass the general nature of dramatic films with character development, without giving away specifics.",5,"These clues are highly effective at misdirecting players. The first and third clues strongly point to 'The Godfather' by mentioning crime families, loyalty, power, betrayal, mafia, violence, and familial bonds. The second clue directly describes '12 Angry Men' by mentioning jurors, fate of a young man, justice, and reasonable doubt. They are plausible and descriptive of the incorrect choices, while being completely unrelated to 'The Shawshank Redemption'.",,4,"The 'informed' clues are excellent and specific, but the highly effective 'fake' clues that strongly point to the incorrect options, combined with the 'misinformed' clues that create ambiguity, make this a challenging round. Players would need to carefully differentiate the specific themes of hope and resilience from general dramatic elements and the distinct narratives of the other films.","This is a well-constructed set of clues. The 'informed' clues are precise and thematic. The 'misinformed' clues effectively create ambiguity across all choices. The 'fake' clues are particularly strong, providing very specific and plausible descriptions for the incorrect answers, thus significantly increasing the difficulty and requiring careful analysis of the 'informed' clues.",15,15,100%,17.1
5,Broadcast Media,1,Horror,"Horror, Thriller, Sci-Fi",4,"The clues effectively describe the core elements of the 'Horror' genre without using the answer word or direct synonyms. They focus on emotional impact, common themes, and narrative techniques. Some clues could be slightly more distinct to avoid overlap with 'Thriller', but overall they strongly point to 'Horror'.",3,"These clues are true for all three genres. They describe broad aspects of media engagement (artistic expression, immersive experience) that apply to Horror, Thriller, and Sci-Fi. They create some ambiguity but don't strongly mislead towards a specific wrong answer, which is the goal of misinformed clues.",5,"These clues are highly effective at misdirecting. The first clue strongly points to 'Sci-Fi' ('futuristic worlds, advanced technology, space exploration'). The second clue points directly to 'Thriller' ('suspense, intrigue, mystery with unpredictable plot twists'). The third clue points to an action-oriented genre, which could be interpreted as 'Thriller' or even some 'Sci-Fi'. None of them plausibly describe 'Horror'.",,3,"The informed clues are good and specific enough to make Horror the clear answer, but the misinformed clues are general enough to cause slight hesitation. The fake clues are very strong misdirects. This combination creates a moderate difficulty level.","The informed clues are strong and specific to Horror. The misinformed clues are general and apply to all options, creating mild ambiguity. The fake clues are excellent misdirects towards Sci-Fi and Thriller, making the game challenging and well-constructed.",15,15,100%,16.5
5,Broadcast Media,2,The Shining,"The Witch, The Shining, The Lighthouse",4,"The clues are highly specific to 'The Shining', using phrases like 'psychic abilities', 'remote hotel', 'descent into madness', and 'fragility of the human mind'. They avoid answer words and synonyms. They are precise and descriptive, effectively pointing to the correct answer.",3,"These clues are factually true for all three movies as they are all cinematic explorations of psychological themes with atmospheric elements. They create genuine ambiguity by being broad enough to apply to each. The first clue speaks to cinematic storytelling generally. The second refers to narrative structure, which all films possess. They avoid distinguishing details.",5,"The fake clues are highly effective. The first specifically describes 'The Witch', the second points directly to 'The Lighthouse', and the third, while more general, could plausibly describe either of the incorrect options depending on interpretation, but strongly leans away from 'The Shining' by focusing on 'witchcraft' and 'secrets of the sea' or 'historical backdrop'. They are completely unrelated to the correct answer.",,3,"The informed clues are quite strong, making the correct answer clear. However, the misinformed clues are well-crafted to create some initial confusion, and the fake clues are very deceptive, requiring careful consideration of the informed clues to avoid being led astray. This balance makes it a moderately challenging puzzle.","The informed clues are excellent and precisely target 'The Shining'. The misinformed clues are well-balanced, accurately reflecting shared characteristics of all three films without giving away distinctions. The fake clues are particularly strong, effectively misdirecting players towards the incorrect options and demonstrating a good understanding of how to create deceptive prompts.",15,15,100%,16.5
