test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Sports - 1,30,30,9,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #4: 13 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #1: 13 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #10: 13 words",100.0%
2,Sports - 2,28,28,3,0,"Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 14 words; Round 2, informed_clues #4: 14 words",100.0%
3,Sports - 3,28,28,4,0,"Round 1, informed_clues #7: 14 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #8: 13 words",100.0%
4,Sports - 4,28,28,3,0,"Round 1, informed_clues #8: 14 words; Round 2, informed_clues #4: 14 words; Round 2, fake_clues #2: 21 words",100.0%
5,Sports - 5,28,28,5,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #6: 14 words; Round 1, fake_clues #1: 13 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #9: 14 words",100.0%
6,Sports - 6,29,29,7,0,"Round 1, informed_clues #8: 13 words; Round 1, informed_clues #9: 13 words; Round 1, informed_clues #10: 13 words; Round 1, misinformed_clues #1: 13 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #9: 12 words; Round 2, misinformed_clues #2: 14 words",100.0%
7,Sports - 7,29,29,6,0,"Round 1, informed_clues #7: 14 words; Round 1, fake_clues #2: 21 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #6: 13 words; Round 2, informed_clues #8: 13 words; Round 2, extra_clues #1: 13 words",100.0%
8,Sports - 8,30,30,1,0,"Round 2, fake_clues #1: 14 words",100.0%
9,Sports - 9,28,28,5,0,"Round 1, informed_clues #2: 12 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #9: 13 words",100.0%
10,Sports - 10,30,30,13,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #9: 13 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 13 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #3: 12 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #5: 13 words; Round 2, misinformed_clues #1: 14 words; Round 2, fake_clues #2: 14 words",100.0%
