test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,1,"Involves character progression, often through gaining experience, leveling up, and acquiring new abilities and items.",15,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,2,"Players usually control a character or party of characters, making decisions that affect the story's outcome.",16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,3,"Features a focus on story and character development, letting you explore rich worlds and interact with NPCs.",17,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,4,"It typically includes quests, tasks, or missions that players must complete to advance the game's narrative.",16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,5,"Offers a sense of freedom and exploration, allowing players to discover new areas and uncover secrets.",16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,6,"Immersive worlds are often created by incorporating elements from fantasy, science fiction, or historical periods.",15,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,7,This gameplay style allows players to customize their characters with diverse skills and attributes to use.,16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,8,It often includes a vast world with various locations for players to explore and discover hidden items.,17,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",informed,9,This genre often allows players to make choices that impact the story's direction and character relationships.,16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",misinformed,1,A form of digital media that tells stories and entertains its audience with captivating narratives.,15,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",misinformed,2,"Players face challenges, solving problems within structured settings, often requiring strategic planning and quick thinking to succeed.",17,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",fake,1,"This experience necessitates tactical choices, resource allocation, and strategic planning for achieving battlefield victory in combat.",16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",fake,2,"Players explore environments, solving puzzles, and gradually uncovering hidden story elements as they progress through gameplay.",16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",fake,3,"This interactive medium encourages exploration and discovery by letting players traverse landscapes, seeking treasures and secrets.",16,YES,
1,Video Games,1,RPG,"RPG, Adventure, Strategy",extra,1,This kind of game typically involves a character that often grows in power over the course of the game.,19,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,1,"Its vast open world encourages exploration, with players able to climb nearly any surface they encounter.",16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,2,Features a silent protagonist and focuses on player agency within a world of ancient technology.,15,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,3,"The game provides a sprawling landscape filled with secrets and challenges, promoting discovery at every turn.",16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,4,Survival necessitates effective resource management and skillful use of mechanics to overcome environmental dangers and adversaries.,16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,5,"Offers a sense of freedom, allowing players to approach objectives in a non-linear way and explore freely.",17,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,6,The game's story involves a hero's quest to defeat a powerful evil force threatening the kingdom.,16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,7,The game includes a variety of puzzles that require players to use their intellect and the environment.,17,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,8,"Features a diverse cast of characters, including allies and enemies, each with unique roles in the story.",17,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,9,"Combat, exploration, and puzzle-solving within expansive areas are fundamental aspects of this interactive gameplay experience.",15,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",misinformed,1,"This game takes place in a large, explorable environment filled with various creatures and challenges.",15,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",misinformed,2,Players interact with a world full of characters and engaging gameplay mechanics to progress the story.,16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",fake,1,"This game is known for its intricate world-building, deep lore, and complex character relationships and stories.",16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",fake,2,"Players must build settlements, manage resources, and engage in diplomacy to ensure survival and prosperity.",15,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",fake,3,The game features a rich narrative with branching storylines and multiple endings depending on choices.,15,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",extra,1,The game has a focus on a hero's journey to save a princess and defeat an ancient evil.,18,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,1,"Involves navigating various environments, using different weaponry to eliminate opponents in direct combat scenarios constantly.",15,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,2,"Strategic thinking, reflexes, and precise aiming are essential for achieving victory when facing conflict in these settings.",17,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,3,Gameplay emphasizes action-packed encounters with gunplay and strategic maneuvering for achieving victory in these conflicts.,15,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,4,"Players engage in fast-paced interactive scenarios, frequently competing against others or AI-controlled opponents in matches.",15,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,5,"This simulated experience offers a variety of gameplay options, from close combat situations to distance engagements with various available armaments.",20,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,6,Players typically control characters from a first- or third-person perspective during interactive gameplay sessions generally.,15,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,7,"Skill, coordination, and teamwork are all emphasized to overcome challenges and achieve common goals together effectively.",16,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,8,"Features a wide array of weaponry, each offering unique advantages in various combat situations and encounters.",16,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",informed,9,"Offers diverse single-player campaigns and multiplayer modes, providing various gaming experiences for all player types worldwide.",16,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",misinformed,1,"This interactive entertainment form provides engagement globally, across platforms and devices, enjoyed by many individuals.",15,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",misinformed,2,A form of entertainment that requires the use of a device to provide a visual and auditory experience.,18,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",fake,1,"Involves strategic hand-to-hand engagements, needing mastery of combinations and distinct movements to win in this mode.",16,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",fake,2,Gameplay focuses on precise movements and overcoming obstacles by jumping and navigating many different level designs.,16,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",fake,3,This genre features characters battling each other using unique fighting styles in various arenas constantly.,15,YES,
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",extra,1,"This genre often puts players in intense situations, challenging them to use skills to win.",15,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,1,Features a colorful art style with cartoonish characters and a variety of cosmetic customization options.,15,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,2,Gameplay often involves constructing defensive structures and securing strategic positions for gaining combat advantages quickly.,15,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,3,In-game currency allows players to purchase cosmetic items for personalizing their characters and overall visual appearance.,16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,4,Offers seasonal events and updates that introduce new content and keep the experience fresh for players.,16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,5,Incorporates resource gathering and crafting to enhance survivability and provide strategic depth for the players always.,16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,6,The map's ever-changing environment and dynamic zones consistently add a level of unpredictability to the matches overall.,17,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,7,Features a battle royale mode where players compete to be the last one standing in a shrinking arena.,18,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,8,Has a large player base and a thriving community with a wide range of content creators.,16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",informed,9,"Incorporates dance emotes and social interactions, allowing players to express themselves in a playful manner.",15,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",misinformed,1,This game is very popular and widely played by many people around the world every day.,16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",misinformed,2,The game involves players competing against each other within a virtual environment for the win.,15,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",fake,1,"The game is known for its realistic graphics and immersive environments, capturing the essence of war.",16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",fake,2,Players must strategically manage resources and build bases to survive against waves of hostile enemies.,15,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",fake,3,"The game features intense, close-quarters combat, demanding quick reflexes and strategic thinking throughout the game's duration.",16,YES,
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",extra,1,The game's free-to-play model and accessibility have contributed significantly to its widespread popularity and success globally.,16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,1,Requires careful resource management and planning to outmaneuver opponents and achieve all victory conditions successfully.,15,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,2,"Players must make critical decisions that influence the game's outcome, focusing on long-term planning and foresight.",16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,3,Involves the development of effective tactics and the ability to adapt to changing circumstances within the game.,17,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,4,Emphasizes the importance of understanding the strengths and weaknesses of different units or elements in play.,16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,5,"Players must often prioritize objectives, balancing short-term gains with long-term strategic goals for success and winning.",16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,6,Success hinges on the ability to anticipate enemy actions and implement counter-strategies to gain an advantage.,16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,7,"Focuses on optimizing resource allocation, whether it be time, units, or other in-game assets for victory.",16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,8,"Demands players to analyze situations, evaluate options, and implement plans to achieve specific goals and aims.",16,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",informed,9,"Often includes elements of diplomacy, trade, and technological advancement to gain an edge over rivals.",15,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",misinformed,1,A type of entertainment that challenges players to solve problems and achieve objectives through gameplay.,15,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",misinformed,2,A form of interactive entertainment that offers a simulated experience or a set of rules and goals to follow.,19,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",fake,1,"Players control characters in a world and complete quests, exploring environments and interacting with others.",15,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",fake,2,"Players build and manage resources in a virtual setting, creating structures and developing their community.",15,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",fake,3,"Involves arranging elements to solve puzzles, with each level presenting a unique challenge to overcome with intellect.",17,YES,
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",extra,1,"It requires players to plan, think critically, and make decisions to overcome challenges and achieve their goals.",17,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,1,"Players guide a civilization through history, from ancient times to the modern era, building empires strategically.",16,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,2,"Features a complex tech tree allowing civilizations to advance through different eras, unlocking new abilities.",15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,3,"Emphasizes city-building and resource management, with players expanding territories and economies to achieve prosperity greatly.",15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,4,"Diplomacy plays a key role, allowing players to form alliances, trade, and wage war with other leaders.",17,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,5,"The game rewards players who excel at cultural development, scientific progress, and military prowess overall.",15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,6,"Players must balance their military strength, cultural influence, and economic prosperity to thrive in gameplay.",15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,7,Emphasizes adapting to environmental conditions and effectively utilizing all resources available within the game's world.,15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,8,"Explores diverse historical eras, offering players the chance to rewrite history with strategic choices and actions.",16,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",informed,9,Players will need to explore the world to discover resources and new land while expanding their empire.,17,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",misinformed,1,The game lets players interact with a simulated world and make choices that influence the outcome of events.,18,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",misinformed,2,"The goal is to manage resources, develop technologies, and build a successful civilization or empire.",15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",fake,1,"Players must make tactical decisions in turn-based combat, fighting aliens and defending the Earth from invasion.",16,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",fake,2,"Players control a faction in a real-time environment, engaging in skirmishes and building bases to dominate.",16,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",fake,3,"Players command diverse units and structures in a futuristic setting, competing to control strategic locations.",15,YES,
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",extra,1,"Players must strategically manage their resources, expand their territory, and engage in diplomacy or conflict.",15,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,1,Often involves navigating environments and using weapons to eliminate opponents within a strategically planned setting.,15,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,2,"Players typically engage in combat scenarios, employing various weapons to achieve objectives and win their fights.",16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,3,Action-packed games where players use a variety of firearms to defeat enemies and progress through levels.,16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,4,"This genre emphasizes combat, requiring players to react quickly and make tactical decisions in every moment.",16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,5,"Focused on the use of projectiles, requiring players to aim accurately to hit targets and succeed.",16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,6,Characterized by the use of guns and other ranged weapons for offensive purposes and engaging in conflict.,17,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,7,Players control characters from a first or third-person perspective to battle opponents and complete tasks.,15,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,8,Games in this category put players in intense situations where they must use weapons skillfully and win.,17,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",informed,9,"A type of game where the main focus is on combat, requiring accurate aiming and quick reactions in battle.",19,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",misinformed,1,A form of interactive entertainment that provides players with challenges and experiences for them to overcome.,16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",misinformed,2,This category of games allows players to engage with virtual worlds and interact with game elements.,16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",fake,1,"Involves direct physical confrontations between characters using punches, kicks, and special moves to achieve victory easily.",16,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",fake,2,"Features gameplay focusing on athletic competitions that involve strategy, skill, and teamwork to achieve success.",15,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",fake,3,"Requires players to make strategic decisions involving resources, building structures, and expanding their territory often.",15,YES,
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",extra,1,"This genre often features competitive gameplay, challenging players to test their skills against each other always.",16,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,1,"Often features a variety of maps, each designed to provide diverse combat scenarios for players to engage.",17,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,2,"Known for its intense multiplayer modes, offering players various ways to compete with friends and other players.",17,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,3,"This particular franchise is well-known for its yearly releases, keeping players engaged with new content.",15,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,4,Features a deep narrative that often involves military conflict and the experiences of soldiers in combat.,16,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,5,"Frequently introduces new weapons and equipment, enhancing gameplay with diverse tactical options for player use overall.",16,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,6,Often includes iconic characters and memorable moments that have become well-known by the gaming community.,15,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,7,Players often use cover and flanking maneuvers to gain a tactical advantage over their opponents in battle.,17,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,8,The game series is notorious for its fast-paced action and engaging gameplay for its wide audience.,16,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",informed,9,The series has cultivated a large community and consistently ranks as one of the best-selling video games.,17,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",misinformed,1,This game has a strong focus on action and allows players to battle others using a wide array of weapons.,20,YES,
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",misinformed,2,"The game provides players with a variety of game modes that they can enjoy, both solo and with others.",19,YES,
