test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,1,"Involves character progression, often through gaining experience, leveling up, and acquiring new abilities and items.",15,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,2,عادةً ما يتحكم اللاعبون بشخصية أو مجموعة شخصيات، ويتخذون قرارات تؤثر على نتيجة القصة في هذا النوع من الألعاب.,19,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,3,تركز على القصة وتطوير الشخصيات، مما يسمح لك باستكشاف عوالم غنية والتفاعل مع الشخصيات غير القابلة للعب.,17,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,4,عادةً ما تتضمن مهامًا أو بعثات يجب على اللاعبين إكمالها لتقديم قصة اللعبة وتطوير الشخصيات.,15,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,5,توفر شعورًا بالحرية والاستكشاف، مما يسمح للاعبين باكتشاف مناطق جديدة وكشف الأسرار المخبأة في اللعبة.,15,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,6,"Immersive worlds are often created by incorporating elements from fantasy, science fiction, or historical periods.",15,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,7,يسمح هذا النوع من الألعاب للاعبين بتخصيص شخصياتهم بمهارات وسمات متنوعة لاستخدامها في المغامرات والتحديات.,15,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,8,غالبًا ما تتضمن عالمًا واسعًا بمواقع مختلفة ليستكشفها اللاعبون ويكتشفوا العناصر المخفية، مما يجعلها تجربة غنية بالاستكشاف.,17,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",informed,9,يسمح هذا النوع غالبًا للاعبين باتخاذ خيارات تؤثر على اتجاه القصة وعلاقات الشخصيات داخل اللعبة.,15,YES,
1,Video Games,1,لعبة تقمص الأدوار,"لعبة تقمص الأدوار, مغامرة, استراتيجية",misinformed,1,شكل من أشكال الوسائط الرقمية التي تروي القصص وتسلي جمهورها بروايات آسرة، مما يجعلها وسيلة ترفيه شائعة.,17,YES,
