test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Technology - 1,30,30,6,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #5: 14 words; Round 1, misinformed_clues #1: 13 words; Round 2, informed_clues #8: 13 words; Round 2, fake_clues #2: 14 words",100.0%
2,Technology - 2,32,32,4,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #9: 14 words; Round 2, informed_clues #4: 14 words; Round 2, fake_clues #3: 14 words",100.0%
3,Technology - 3,30,30,7,0,"Round 1, informed_clues #5: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 13 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #3: 13 words",100.0%
4,Technology - 4,30,30,2,0,"Round 1, informed_clues #5: 14 words; Round 2, fake_clues #3: 14 words",100.0%
5,Technology - 5,30,30,3,0,"Round 1, informed_clues #6: 14 words; Round 1, misinformed_clues #1: 14 words; Round 2, misinformed_clues #2: 13 words",100.0%
6,Technology - 6,30,30,6,0,"Round 1, informed_clues #6: 14 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #8: 14 words",100.0%
7,Technology - 7,30,30,13,0,"Round 1, informed_clues #5: 14 words; Round 1, misinformed_clues #2: 13 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #5: 13 words; Round 2, informed_clues #7: 11 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #9: 14 words; Round 2, fake_clues #2: 14 words; Round 2, extra_clues #1: 13 words",100.0%
8,Technology - 8,30,30,15,0,"Round 1, informed_clues #2: 13 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #8: 14 words; Round 1, informed_clues #9: 13 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #2: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #1: 13 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #9: 12 words; Round 2, misinformed_clues #2: 14 words; Round 2, extra_clues #1: 13 words",100.0%
9,Technology - 9,32,32,7,0,"Round 1, informed_clues #4: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words; Round 2, fake_clues #1: 14 words",100.0%
10,Technology - 10,30,30,11,0,"Round 1, informed_clues #4: 13 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #3: 14 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #9: 14 words; Round 2, misinformed_clues #1: 14 words; Round 2, fake_clues #1: 13 words; Round 2, fake_clues #3: 14 words; Round 2, extra_clues #1: 14 words",100.0%
