test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Inventions,1,Medical,"Medical, Communication, Transportation",5,"Clues are highly specific and descriptive, avoiding any mention of the answer word or its synonyms. They accurately and precisely point to the 'Medical' field without ambiguity.",3,"These clues successfully create ambiguity by focusing on shared aspects of innovation, problem-solving, and improvement of daily life, which can apply to Medical, Communication, and Transportation. They are factually true for all options and avoid distinguishing details.",5,"The 'fake' clues are excellent examples of misdirection. They strongly and plausibly describe 'Communication' and 'Transportation' while being completely unrelated to 'Medical', effectively steering the player away from the correct answer.",,3,"The informed clues are very strong, making the correct answer clear. However, the misinformed and fake clues are well-crafted to create plausible alternative paths, requiring careful consideration, thus balancing the difficulty.",The informed clues are perfectly crafted. The misinformed clues hit the target score of 3 by creating genuine ambiguity across all options. The fake clues are highly effective at misdirecting towards incorrect answers. The overall structure provides a good challenge.,15,15,100%,17.1
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",4,"Clues are descriptive and accurately point to the answer without using the word itself or obvious synonyms. Some clues are very strong and specific, while others are slightly more general, providing a good range.",3,These clues are true for all three options. 'Product of scientific research used to improve health and protect against diseases' applies to all. 'Instrumental in saving lives and improving well-being' also applies broadly. They create genuine ambiguity by highlighting shared benefits.,5,"The first clue ('electromagnetic radiation') strongly points to X-ray. The second clue ('powerful and preventative properties, fight infectious diseases') strongly points to Penicillin. The third clue ('kill bacteria and prevent growth of infections') also strongly points to Penicillin. These are highly effective misdirections to the incorrect choices.",,3,"The informed clues are specific enough to guide towards the correct answer, but the misinformed clues are well-crafted to create plausible confusion with the incorrect options. The fake clues are also strong misdirections. This combination makes for a moderately challenging game.","The informed clues are well-written and avoid answer contamination. The misinformed clues successfully identify a shared truth among all options, creating ambiguity. The fake clues are excellent misdirections, strongly pointing to the incorrect choices without any overlap with the correct answer.",15,15,100%,16.9
2,Inventions,1,Communication,"Medical, Communication, Transportation",5,"The clues are precise, descriptive, and avoid any answer words or synonyms. They strongly point to 'Communication' without being overly specific to a single tool or method.",3,"The misinformed clues are true for all choices. 'Conveying information, ideas, or feelings' applies to communication. 'Fundamental aspect of human interaction, facilitating the exchange of information and fostering understanding' could also apply to transportation (exchange of people/goods, understanding new places) and medical (exchange of patient info, understanding health). It creates some ambiguity but doesn't strongly mislead.",5,The fake clues are highly effective. The first clearly points to Transportation. The second clearly points to Medical. They are plausible and completely unrelated to Communication.,,3,"The informed clues are strong, and the fake clues are very misleading, making it a moderate challenge. The misinformed clues are not strong enough to be truly confusing on their own.",The informed clues are excellent. The fake clues are highly effective misdirection towards the incorrect answers. The misinformed clues are factually correct for all but don't create strong ambiguity.,15,15,100%,16.3
2,Inventions,2,Radio,"Radio, Telephone, Internet",4,"Clues effectively describe radio by focusing on wireless transmission, electromagnetic waves, broadcasting, and audio signals. They avoid directly naming 'radio' or its common synonyms. The clues are descriptive and point strongly to the correct answer.",3,"These clues are true for all three options: Radio, Telephone, and Internet. They all involve transmitting information over a distance, connecting people, and enabling communication. This creates genuine ambiguity as they don't uniquely identify any single option.",5,"These clues are highly effective at misdirecting. The first and third clues strongly point to 'Telephone' by mentioning 'wires,' 'physical connection,' and 'handset.' The second clue strongly points to 'Internet' with 'global network' and 'connecting people worldwide.' They completely avoid describing 'Radio.'",,3,"The 'informed' clues are quite specific to radio, making it the easiest to identify. The 'misinformed' clues create some ambiguity, but the 'fake' clues are very strong misdirects to 'Telephone' and 'Internet,' preventing a perfect score for 'informed' if a player gets stuck on the misdirection. The interplay between the clue types creates a balanced difficulty.","The 'informed' clues are well-crafted and specific to the correct answer without using forbidden terms. The 'misinformed' clues successfully create ambiguity by highlighting shared functionalities across all options. The 'fake' clues are exceptionally strong, directly targeting the incorrect choices with highly descriptive and relevant (though false for radio) information, making them excellent misdirections.",15,15,100%,16.2
3,Inventions,1,Transportation,"Medical, Communication, Transportation",5,"The clues are highly specific to transportation, using phrases like 'moving people and goods', 'new methods of moving people and materials', 'joining remote communities', and 'overcoming geographical barriers'. They avoid any mention of the answer word itself or obvious synonyms. The descriptive language is precise and directly points to the correct answer without being overly technical.",3,"These clues are good examples of misinformed clues. 'This involves the creation and use of different devices and systems to solve practical problems effectively' is true for Transportation (engineering), Medical (devices), and Communication (devices). 'A field that has significantly enhanced human capabilities and transformed the way people live and interact' is also true for all three. They create genuine ambiguity and don't strongly favor one incorrect answer over another. The intersection is believable.",5,The 'fake' clues are highly effective. The first clue ('This field is focused on the transmission and reception of information across distances using various technological advancements and systems.') strongly points to Communication. The second clue ('A field dedicated to developing tools and techniques for diagnosing and treating illnesses and injuries.') strongly points to Medical. Both are plausible and steer the player away from Transportation.,,3,"The informed clues are excellent and specific, making the correct answer clear once identified. The misinformed clues provide plausible distractions that are true for all categories, requiring the player to differentiate based on the informed clues. The fake clues are strong misdirections. This combination creates a balanced difficulty.","The informed clues are very strong and descriptive of the target answer without using forbidden words. The misinformed clues successfully identify a shared intersection between all categories, creating genuine ambiguity. The fake clues are well-crafted to misdirect towards the incorrect options, particularly Communication and Medical. The difficulty is appropriately balanced.",15,15,100%,16.7
3,Inventions,2,Car,"Car, Airplane, Train",4,"Clues are descriptive and avoid answer words. They strongly point to 'Car' by highlighting personal mobility, suburban life, urban planning impact, personal freedom, internal combustion engine, and widespread evolution. The clues are specific enough to be highly relevant to 'Car' without being overly direct.",3,"These clues are factually true for all options (Car, Airplane, Train) as they all involve technological devices for travel, efficiency, and safety. They create genuine ambiguity because they are broad statements about transportation, not specific enough to differentiate between the choices.",5,"These clues are highly effective at misdirecting to 'Airplane' and 'Train'. The first and third clues clearly describe an airplane ('high altitudes', 'across continents', 'operates in the sky', 'rapid and efficient travel across long distances'). The second clue clearly describes a train ('network of interconnected vehicles traveling on rails', 'transporting large volumes of passengers'). They completely avoid any connection to 'Car'.",,4,"The informed clues are quite strong for 'Car', but the misinformed clues are well-crafted to create genuine ambiguity by being factually true for all options. The fake clues are excellent misdirections towards the incorrect choices. This combination makes the game challenging, requiring players to carefully weigh the highly specific informed clues against the broadly applicable misinformed ones and the clearly targeted fake ones.","The informed clues are excellent, providing strong but not overly direct hints for 'Car'. The misinformed clues successfully create ambiguity by being true for all transport modes. The fake clues are particularly strong misdirections, effectively pointing to 'Airplane' and 'Train' and completely avoiding 'Car'. The difficulty is appropriate, leaning towards challenging due to the quality of the misdirection.",15,15,100%,16.5
4,Inventions,1,Scientific,"Household, Scientific, Navigation",5,"The clues are excellent. They precisely describe 'Scientific' without using any of the forbidden words or synonyms. They focus on core aspects like systematic study, observation, experimentation, evidence-based reasoning, hypothesis testing, and understanding the natural world. They are distinct and well-phrased.",3,"The first misinformed clue ('It is a field that involves the creation of new things and the improvement of existing ones.') could apply to 'Scientific' (innovation, technology) and 'Household' (invention, improvement of home goods). It's less clear for 'Navigation' unless interpreted very broadly as creating navigational tools. The second misinformed clue ('This area utilizes observation and experimentation to explore and understand the world, promoting scientific exploration and discovery.') is tricky. While true for 'Scientific', it's also arguably true for 'Navigation' (observing stars, experimenting with routes) and even 'Household' in a very rudimentary sense (observing what works in a home). The ambiguity is present but could be stronger for a perfect score.",5,These clues are highly effective at misdirecting. The first and third clues ('This is a category of items designed to make daily living more convenient and efficient in homes.' and 'It is an area focused on creating items that help make life more comfortable and easier.') strongly point to 'Household'. The second clue ('This involves tools and methods used to guide movement and determine location on Earth or sea.') very clearly points to 'Navigation'. They completely avoid any overlap with 'Scientific'.,,3,"The informed clues are strong and specific, making the correct answer clear if one understands the definition of science. The misinformed clues provide some plausible, but not perfectly overlapping, distractors. The fake clues are very strong distractors for the incorrect answers. This creates a good balance where the informed clues are key, but the misinformed and fake clues require careful consideration.",The informed clues are excellent and specific to the target answer. The misinformed clues create some ambiguity but could be slightly more robust in their overlap. The fake clues are very strong and effectively misdirect to the incorrect answers. The difficulty is appropriate for a challenging game.,15,15,100%,15.9
4,Inventions,2,Telescope,"Telescope, Microscope, periscope",5,"Clues are highly specific to the correct answer, using terms like 'astronomy,' 'cosmos,' 'celestial bodies,' and 'electromagnetic radiation' which clearly point to a telescope without using the word itself or direct synonyms. They avoid overlap with the other choices.",3,"The clues 'This tool facilitates the observation of subjects, whether small or distant, allowing for detailed analysis and deeper understanding through vision' and 'It uses lenses and mirrors to enhance vision, allowing users to observe objects in greater detail' are factually true for all three options (telescope, microscope, periscope) as they all involve observation, use lenses/mirrors (in some forms), and enhance vision. They create genuine ambiguity because all three devices fit this broad description. The clues are not overly specific to any one choice.",5,"The fake clues are highly effective. 'This device uses a series of lenses to magnify minute details, aiding in the study of cells and organisms' perfectly describes a microscope. 'This tool helps view objects from different angles, often used on submarines and in military applications' strongly points to a periscope. Both are plausible and distinct from the correct answer.",,3,"The informed clues are very strong, making the correct answer clear once understood. The misinformed clues provide just enough overlap to create a moment of hesitation, and the fake clues effectively distract towards the incorrect options. This balance creates a moderate difficulty.","Excellent set of clues. The informed clues are precise and avoid contamination. The misinformed clues hit the intersection well, creating good ambiguity. The fake clues are highly effective at misdirecting to specific incorrect answers.",15,15,100%,16.6
5,Inventions,1,Household,"Household, Scientific, Navigation",4,"The clues are descriptive and avoid answer words. They effectively narrow down to 'Household' by focusing on domestic tasks, home environments, and convenience within residences. Some overlap in phrasing, but overall good.",3,"These clues are true for all categories to some extent. 'Transforming civilization' and 'solving problems' can apply to household items, scientific tools, and navigation aids. They create some ambiguity but aren't overly specific to any one choice.",5,"The 'fake' clues are very strong and directly point to 'Navigation' and 'Scientific' respectively. They are entirely unrelated to 'Household' and use precise descriptive language for the incorrect options, creating excellent misdirection.",,3,"The informed clues are quite strong and specific to the answer. The misinformed clues are moderately ambiguous, and the fake clues are highly specific to the incorrect options. This combination provides a balanced difficulty.","The informed clues are well-crafted and avoid answer contamination. The misinformed clues successfully identify a shared truth across all options without being too vague or too specific. The fake clues are excellent, precisely targeting the incorrect choices and providing strong misdirection.",15,15,100%,16.2
5,Inventions,2,Light Bulb,"Microwave, Light Bulb, Refrigerator",5,"The informed clues are excellent. They use precise descriptive language that directly points to the 'Light Bulb' without using any forbidden words. The clues highlight the function (illumination), mechanism (filament, electricity), and impact (extending day, revolutionizing life) effectively and distinctly.",3,"These clues are true for all options (Microwave, Light Bulb, Refrigerator) as they are all common kitchen appliances that can be considered essential for modern home living and convenience. They successfully create ambiguity by focusing on the shared characteristic of being household conveniences, without giving away distinguishing features. They don't eliminate any options.",5,"These clues are highly effective at misdirecting. The first and third clues strongly and plausibly describe a 'Microwave' (radio waves, cooking food, convenience). The second clue clearly describes a 'Refrigerator' (cools and stores food, preserves freshness). They are completely unrelated to the correct answer, 'Light Bulb', and are designed to make players choose one of the incorrect options.",,4,"The difficulty is high due to the quality of the misinformed and fake clues. The informed clues are very strong, but the misinformed clues are cleverly crafted to be true for all options, and the fake clues are highly deceptive and specific to the incorrect answers, creating a challenging environment to discern the correct answer.","This is a well-constructed set of clues for the disinformer game. The informed clues are precise and avoid answer contamination. The misinformed clues successfully identify a shared characteristic of all options without being too vague or too specific, thus creating genuine ambiguity. The fake clues are particularly strong, effectively misdirecting players towards the incorrect choices by providing plausible descriptions for them.",15,15,100%,16.1
