test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,1,"Often features advanced technologies, futuristic societies, and explorations of the unknown beyond our current understanding.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,2,"This genre frequently speculates on the consequences of scientific and technological advancements, both positive and negative.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,3,"Explores hypothetical scenarios that challenge our perceptions of reality, time, space, and the human condition dramatically.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,4,"Typically includes elements of space travel, alien encounters, and complex scientific concepts that push boundaries.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,5,Often presents thought-provoking narratives that examine the impact of technology on society and individual lives.,15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,6,Frequently uses imaginative visuals and special effects to create immersive and visually stunning worlds for viewers.,16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,7,"Employs storytelling techniques to explore themes of exploration, discovery, and the potential for humanity's future development.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,8,"Often includes elements of robots, artificial intelligence, and other advanced technologies to create intriguing narratives.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,9,"This genre often features dystopian societies, where technology has led to oppression and societal control.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,1,"A form of entertainment that employs narrative, characters, and settings, captivating and engaging audiences worldwide with stories.",17,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,2,"A creative medium that often uses visual and auditory elements to create narratives, moods, and experiences for viewers.",18,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,1,"This genre often explores themes of supernatural events, monsters, and psychological suspense to create fear.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,2,"Often includes elements of mythical creatures, magic systems, and epic quests in a fictional world setting.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,3,"This genre often uses mythical creatures, magic systems, and epic quests in a fictional world setting.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",extra,1,"Often explores the intersection of science, technology, and their effects on humanity and the wider universe.",16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,1,"The film's visual style, including its use of slow motion and bullet time, revolutionized action cinema profoundly.",17,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,2,"Features a protagonist's journey of self-discovery, questioning the nature of reality and the world around them.",16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,3,"Explores themes of free will, control, and the illusion of reality, challenging viewers' perceptions of existence.",16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,4,"The film's use of groundbreaking special effects, particularly the 'bullet time' sequences, wowed cinema audiences.",15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,5,Highlights the struggle against a powerful system that seeks to control and manipulate the human population.,16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,6,A character's choice to take a red pill or a blue pill symbolizes the choice between truth and blissful ignorance.,20,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,7,The film's narrative revolves around a group of rebels who fight against a simulated reality controlled by machines.,18,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,8,Features a central character who is guided by a mentor and learns about their true potential and destiny.,18,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,9,"The moving picture's philosophical framework draws inspiration from diverse sources, including existentialism and cyberpunk literature.",15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",misinformed,1,This film is a science fiction production that is now considered a classic and a cultural phenomenon.,17,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",misinformed,2,"This film features a compelling plot, memorable characters, and is considered a significant work of cinema.",16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",fake,1,This film showcases a dystopian future where genetically engineered beings struggle for survival on a polluted Earth.,17,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",fake,2,"The film's narrative centers on a detective investigating a series of murders in a futuristic, rain-soaked city.",17,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",fake,3,"From Tatooine, a farmhand's journey begins, fighting an evil Empire, using a plasma sword to liberate the galaxy from tyranny.",20,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",extra,1,This movie's innovative use of visual effects and action sequences set new standards for the genre worldwide.,17,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,1,A group of people related to one another sharing bonds and often living together and supporting each other.,18,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,2,"This group of individuals is often the center of a person's life, and a source of love and support.",19,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,3,"The foundational unit of society, providing emotional, social, and economic support for its members throughout life.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,4,"A unit built on love, mutual respect, and shared experiences, often facing hardship and celebrating joy together.",17,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,5,"Connections between parents, children, and extended kin, often celebrated in various cultures throughout the world.",15,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,6,"This group is often the subject of many stories and media, exploring its dynamics and challenges.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,7,"The foundation of human society, providing a sense of belonging and identity for its members.",15,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,8,"This group frequently features in stories, exploring themes of belonging, conflict, and eventual reconciliation between members.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,9,"A core social unit that instills values, traditions, and a sense of shared history for its members.",17,YES,
