test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Technology - 1,28,28,2,0,"Round 1, informed_clues #8: 13 words; Round 2, informed_clues #7: 14 words",100.0%
2,Technology - 2,30,30,8,0,"Round 1, informed_clues #1: 13 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 13 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 13 words; Round 2, informed_clues #1: 12 words; Round 2, fake_clues #1: 14 words",100.0%
3,Technology - 3,28,28,9,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #2: 14 words; Round 2, misinformed_clues #1: 13 words; Round 2, fake_clues #2: 13 words",100.0%
4,Technology - 4,28,28,8,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 14 words; Round 1, informed_clues #9: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #4: 14 words; Round 2, extra_clues #1: 14 words",100.0%
5,Technology - 5,28,28,1,0,"Round 2, informed_clues #7: 14 words",100.0%
6,Technology - 6,28,27,4,1,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 12 words; Round 1, misinformed_clues #1: 21 words; Round 1, extra_clues #1: 14 words",96.4%
7,Technology - 7,30,30,1,0,"Round 1, informed_clues #6: 14 words",100.0%
8,Technology - 8,28,28,13,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #6: 13 words; Round 2, informed_clues #7: 13 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #9: 12 words; Round 2, fake_clues #2: 13 words",100.0%
9,Technology - 9,28,28,3,0,"Round 1, fake_clues #1: 14 words; Round 2, informed_clues #8: 14 words; Round 2, misinformed_clues #2: 13 words",100.0%
10,Technology - 10,28,28,7,0,"Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 13 words; Round 1, informed_clues #7: 13 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #3: 13 words; Round 2, fake_clues #2: 13 words; Round 2, extra_clues #1: 13 words",100.0%
