test_run,topic_category,topic_specific,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,1,"A medium that tells stories through moving images and sound, often featuring actors and a narrative.",16,YES,"{
  ""length_compliance"": {
    ""pass"": false,
    ""outliers"": 11,
    ""manual_count_check"": ""checked 14 clues, only three over 15 words""
  },
  ""informed_quality"": 2,
  ""informed_notes"": ""Clue #6,8 contains the answer word 'Movies' - immediate giveaway. Clue #9 unclear/confusing - 'escapism' and 'explore different worlds' may be too abstract for average players. Quality varies significantly."",
  ""misinformed_quality"": 4,
  ""misinformed_notes"": ""Excellent ambiguity - both clues could reasonably apply to multiple media types. Good use of technical accuracy (still images) while introducing doubt. Not obviously wrong but successfully misleading."",
  ""fake_quality"": 5,
  ""fake_notes"": ""Excellent misdirection - each fake clue clearly points to a specific wrong answer (book/video game). Descriptions are accurate enough to be believable. Would successfully mislead players who aren't certain."",
  ""diversity_issues"": [Clues #1 and #14 both describe basic movie definition (visual+audio storytelling)""],
  ""difficulty"": 3,
  ""difficulty_reasoning"": ""Balanced - direct answer word makes it easy, but good fake/misinformed clues provide reasonable misdirection. Abstract 'escapism' clue adds slight complexity. Overall appropriate challenge level."",
  ""overall_notes"": ""Good content diversity and angles, but 2/9 informed clues break fundamental rule by stating answer directly - makes round partially broken for actual gameplay""
}"
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,2,"Can be watched in theaters or at home, providing entertainment and emotional experiences.",13,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,3,"Often based on books, real events, or original scripts, offering diverse genres.",12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,4,Directors play a crucial role in shaping the visual and storytelling elements.,12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,5,Music and sound effects enhance the mood and engagement of the audience.,12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,6,"Movies can be documentaries, showcasing real-life events or educational content.",10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,7,They are a popular form of cultural expression and artistic storytelling.,11,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,8,"Movies can be categorized into genres like action, comedy, drama, horror, etc.",12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",informed,9,"They often serve as a form of escapism, allowing viewers to explore different worlds.",14,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",misinformed,1,"It’s something you might experience in a dark room with others, but not necessarily for entertainment.",16,YES,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",misinformed,2,"It could involve a series of still images, but not necessarily moving ones.",13,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",fake,1,"It’s primarily a textual medium, often read silently or aloud.",10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",fake,2,It’s an interactive medium where players make choices that affect the story.,12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,Movie,"Book, Video Game, Movie",extra,1,It’s a form of storytelling that combines visual and auditory elements to convey a narrative.,15,YES,
