test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,1,Often involves collective effort and strategy with players coordinating to achieve a common goal together.,15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,2,"Successful outcomes require effective communication, cooperation, and understanding to overcome challenging obstacles and win the games.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,3,"Emphasizing collaboration and shared responsibility, success in this activity depends on coordinated actions between members and teams.",17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,4,This activity relies on the combined skills and efforts of multiple individuals working towards a shared objective.,17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,5,"It promotes social interaction, building camaraderie, and fostering a sense of belonging within a group.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,6,"Involves a group of people competing against another group, requiring strategic planning and teamwork overall.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,7,The outcome usually depends on the synchronized actions of many individuals in pursuit of a common victory.,17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,8,"Often highlights the importance of unity, as members rely on each other to succeed in the activity.",17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,9,This activity focuses on players working together to achieve a shared objective and claim the victory.,16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",misinformed,1,"This activity involves physical exertion, strategic thinking, and the pursuit of a specific objective or goal.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",misinformed,2,"It is a form of entertainment that requires skill, practice, and competition to engage participants and viewers.",17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",fake,1,"Participants compete individually, relying on their unique skills and abilities to achieve personal best records.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",fake,2,"Often features two people working together, combining individual strengths to achieve a shared objective in the game.",17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",fake,3,"This is a sport where athletes compete alone, aiming to achieve the highest score or fastest time individually.",18,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",extra,1,The shared aim is to achieve victory through the coordinated actions of individuals in a group setting.,17,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,1,The objective is to score by propelling a ball into a net guarded by a designated player on a field.,20,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,2,"It is played on a rectangular field, with two teams competing to maneuver the ball using their feet.",18,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,3,"This sport is globally popular, uniting fans worldwide with its simple rules and exciting gameplay action.",16,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,4,Involves strategic positioning and passing the ball to advance toward the opponents' goal area constantly.,15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,5,"Themes of teamwork, skill, and strategic decision-making are often highlighted throughout the various stages of this competitive game.",18,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,6,"This game is known for its fast pace, requiring players to possess stamina, agility, and quick decision-making.",17,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,7,"Often features a large number of participants on the field, contributing to dynamic and fluid gameplay.",16,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,8,This activity demands continuous movement and strategic thinking to outmaneuver opponents and effectively score points.,15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,9,This sport's goal is to score more goals than the opposing team within the allotted time to claim the victory.,20,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",misinformed,1,"This game involves physical activity, strategic planning, and the pursuit of a specific objective or goal.",16,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",misinformed,2,"It is a form of entertainment that requires skill, practice, and competition to engage participants and viewers.",17,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",fake,1,"This sport's gameplay involves dribbling the ball, shooting hoops, and defending against the opponent's attacks.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",fake,2,The objective is to score by throwing an oval-shaped ball across the goal line to secure the winning score.,19,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",fake,3,"Often features athletes running with the ball to score, while the opposing team tries to tackle them down.",18,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",extra,1,The primary equipment is a spherical object that players manipulate using their feet and heads in the game.,18,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,1,"This activity typically highlights personal skill and determination, where an athlete competes alone to win.",15,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,2,"The athlete's success hinges on rigorous training, well-defined strategies, and mental fortitude within a solo environment.",16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,3,"Requires individual self-reliance, with the competitor solely responsible for their performance and choices on the field.",16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,4,"Emphasizes the athlete's personal journey, pushing them to overcome multiple challenges through their dedicated efforts.",15,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,5,"Victory is a direct result of the athlete's individual effort, showcasing their unique abilities in a competitive setting.",18,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,6,Involves a single competitor striving for excellence and achieving personal best records in a challenging environment.,16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,7,"This activity concentrates on personal development, achieved through demanding training and competitive circumstances that test abilities.",16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,8,The athlete's mental toughness and resilience are crucial in this physically and mentally demanding athletic endeavor.,16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,9,It allows athletes to demonstrate their skills without the need of relying on teammates for success.,16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",misinformed,1,A type of athletic competition where participants engage in physical activity and strive for victory.,15,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",misinformed,2,"Involves physical activity, strategic thought processes, and the pursuit of a desired winning outcome for participants.",16,YES,
