test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,1,هذه المنصة تربط الأفراد، مما يسمح لهم بمشاركة التحديثات والأفكار والخبرات مع الآخرين عبر الإنترنت.,15,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,2,تسهل إنشاء ومشاركة أنواع مختلفة من المحتوى، بما في ذلك النصوص والصور ومقاطع الفيديو بين المستخدمين.,16,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,3,هذه البيئة الرقمية تسهل تفاعل المستخدمين، وتمكن الأفراد من التعليق والمشاركة وتبادل منشوراتهم مع الآخرين.,15,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,4,توفر هذه المنصة الرقمية أدوات لبناء مجتمعات، وربط الأفراد ذوي الاهتمامات والخلفيات المتشابهة بفعالية، مما يعزز التواصل والتفاعل.,18,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,5,تستخدم هذه الطريقة في التواصل بشكل متكرر خوارزميات لتخصيص محتوى يتماشى مع تفضيلات كل مستخدم على حدة.,17,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,6,تتيح للمستخدمين متابعة الآخرين وأن يتم متابعتهم، مما يخلق شبكات من الاتصالات والعلاقات المتبادلة عبر الإنترنت.,16,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,7,تُستخدم هذه المنصة على نطاق واسع في التسويق، مما يمكّن الشركات من الوصول إلى جماهيرها المستهدفة بفعالية.,17,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,8,تلعب دورًا هامًا في تشكيل الرأي العام وتسهيل انتشار المعلومات على مستوى العالم، مما يجعلها أداة قوية للتأثير.,18,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",informed,9,هذه الأداة تتطور باستمرار، مع إضافة ميزات ووظائف جديدة بانتظام لتحسين تجربة المستخدم.,13,NO,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",misinformed,1,توفر وسيلة لتبادل المعلومات، مما يسمح للناس في جميع أنحاء العالم بالاتصال والتواصل مع بعضهم البعض بسهولة وفاعلية.,18,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",misinformed,2,أداة تساعد الأفراد على التواصل وتبادل أنواع مختلفة من الوسائط مع جمهور واسع، مما يسهل نشر المعلومات.,17,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",fake,1,يساعد هذا الأشخاص في العثور على المعلومات من خلال البحث في الإنترنت، مما يوفر نتائج بناءً على الكلمات الرئيسية المدخلة، وليس بالضرورة التواصل.,23,NO,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",fake,2,منصة حيث يمكن للأفراد شراء وبيع المنتجات أو الخدمات عبر الإنترنت، مما يوفر سوقًا للمعاملات التجارية.,16,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",fake,3,موقع ويب يساعد المستخدمين على شراء وبيع المنتجات، حيث تروج الشركات لمنتجاتها للمستهلكين، مما يزيد من فرص البيع والشراء.,19,YES,
1,Technology,1,وسائل التواصل الاجتماعي,"وسائل التواصل الاجتماعي, محرك البحث, التجارة الإلكترونية",extra,1,تتيح هذه الأداة للمستخدمين إنشاء ملفات تعريف وتخصيص وجودهم عبر الإنترنت ليعكسوا هوياتهم واهتماماتهم المختلفة.,15,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,1,تشتهر هذه المنصة بتركيزها على المحتوى المرئي، مما يتيح للمستخدمين مشاركة الصور ومقاطع الفيديو بسهولة.,15,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,2,يتيح للمستخدمين متابعة الحسابات وعرض منشوراتهم في موجز مخصص، مما يشجع على اكتشاف محتوى جديد ومثير للاهتمام.,17,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,3,تستخدم هذه المنصة علامات التصنيف لتصنيف المحتوى، مما يسهل على المستخدمين العثور على المنشورات ذات الصلة باهتماماتهم.,17,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,4,يوفر ميزات مثل القصص والبكرات، مما يسمح للمستخدمين بمشاركة محتوى مؤقت ومقاطع فيديو قصيرة.,14,NO,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,5,تركز هذه الشبكة الاجتماعية بشكل كبير على الجماليات، مما يؤثر على الاتجاهات في التصوير والتصميم المرئي.,16,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,6,إنها منصة شائعة للمؤثرين والعلامات التجارية للتواصل مع الجماهير والترويج للمنتجات المختلفة بسهولة وفاعلية.,14,NO,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,7,يوفر هذا التطبيق أدوات لتحرير الصور وفلاتر، مما يتيح للمستخدمين تحسين صورهم وإضافة لمسات إبداعية عليها بسهولة.,17,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,8,يشجع تفاعل المستخدمين من خلال السماح لهم بالتفاعل مع المحتوى عبر الإعجابات والتعليقات وميزات الرسائل المباشرة.,16,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",informed,9,هذه المنصة مملوكة لشركة تقنية أكبر، وتتكامل مع تطبيقات وخدمات أخرى تابعة لها.,13,NO,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",misinformed,1,خدمة تواصل اجتماعي شهيرة تتيح للمستخدمين مشاركة المحتوى والتفاعل مع الآخرين عبر الإنترنت، ولكنها ليست بالضرورة الأفضل للصور.,18,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",misinformed,2,منصة تتيح للمستخدمين إنشاء ومشاركة أنواع مختلفة من الوسائط، والتواصل مع جمهور عالمي، ولكنها ليست بالضرورة الأكثر استخدامًا.,18,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",fake,1,تشتهر هذه المنصة بخاصية البث المباشر التي تتيح للمستخدمين مشاركة لحظاتهم مع الأصدقاء والعائلة في الوقت الفعلي.,17,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",fake,2,تُستخدم هذه المنصة بشكل أساسي لمشاركة مقاطع الفيديو القصيرة، مما يوفر طرقًا للتعبير الإبداعي وتفاعل المستخدمين، تمامًا مثل تطبيق مشهور آخر.,21,NO,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",fake,3,موقع تواصل اجتماعي يركز على مشاركة المقالات الطويلة والنقاشات العميقة، حيث يمكن للمستخدمين التعبير عن آرائهم بحرية.,17,YES,
1,Technology,2,انستغرام,"فيسبوك, انستغرام, تيك توك",extra,1,قاعدة مستخدمي هذه المنصة واسعة ومتنوعة، حيث يستخدمها الأفراد والمؤسسات يوميًا لمشاركة الصور ومقاطع الفيديو.,15,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,1,هذا هو البرنامج الأساسي الذي يدير أجهزة الكمبيوتر ويوفر خدمات مشتركة لبرامج الكمبيوتر الأخرى.,14,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,2,يعمل كوسيط، مما يسمح للتطبيقات بالتفاعل مع مكونات الأجهزة الأساسية بسلاسة وفعالية، ويدير موارد الحاسوب.,15,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,3,تتمثل الوظيفة الأساسية للنظام في إدارة موارد النظام، بما في ذلك الذاكرة وقوة المعالجة والتخزين لتشغيل البرامج بكفاءة.,18,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,4,يوفر واجهة مستخدم، مما يسمح للأفراد بالتفاعل مع نظام الكمبيوتر ووظائفه المتنوعة.,12,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,5,يدير الملفات والمجلدات وأجهزة التخزين، مما يتيح للمستخدمين تنظيم بياناتهم والوصول إليها بكفاءة وسهولة.,14,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,6,هذا البرنامج يمكّن تنفيذ وإدارة التطبيقات، ويسهل تفاعلها مع المكونات المادية للحاسوب.,12,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,7,يتعامل مع عمليات الإدخال والإخراج، وينسق تدفق البيانات بين الحاسوب والأجهزة الطرفية.,12,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,8,يحتوي هذا البرنامج على ميزات أمان لحماية النظام من الوصول غير المصرح به والبرامج الضارة.,15,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",informed,9,يوفر هذا النظام بيئة لتطوير البرامج، مع أدوات ومكتبات وموارد لتطوير التطبيقات بكفاءة عالية.,14,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",misinformed,1,نوع من البرامج الضرورية لتشغيل أجهزة الكمبيوتر والأجهزة الإلكترونية، مما يتيح لها أداء وظائفها الأساسية.,15,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",misinformed,2,إنه مكون أساسي يسمح للمستخدمين بالتفاعل مع نظام الكمبيوتر واستخدامه بفعالية، مما يجعله جزءًا لا يتجزأ من تجربة الحوسبة.,19,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",fake,1,إنه مجموعة من التعليمات التي تستخدمها أجهزة الكمبيوتر لتنفيذ مهام محددة، وغالبًا ما يكتبها المبرمجون، مما يجعله يبدو كأنه لغة مفهومة للحاسوب.,22,NO,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",fake,2,هذا نظام لتنظيم وتخزين البيانات، مما يسمح باسترجاع ومعالجة المعلومات بكفاءة عالية، ولكنه ليس نظام التشغيل.,16,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",fake,3,إنها لغة تستخدم لإنشاء تعليمات لأجهزة الكمبيوتر، مما يمكنها من تنفيذ عمليات متنوعة، مثل معالجة النصوص أو تشغيل الألعاب.,19,YES,
2,Technology,1,نظام التشغيل,"نظام التشغيل, لغة البرمجة, قاعدة البيانات",extra,1,إنه بمثابة جسر بين مكونات الأجهزة والبرامج لنظام الكمبيوتر، مما يعزز سهولة الاستخدام وفعالية الأداء.,15,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,1,كان هذا البرنامج قوة مهيمنة في الحوسبة الشخصية، ويتطور باستمرار بميزات وتحديثات جديدة.,13,NO,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,2,أصبحت واجهة المستخدم الرسومية لنظام التشغيل هذا معيارًا صناعيًا لتصميمه سهل الاستخدام وإمكانية الوصول إليه.,15,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,3,يُعرف هذا النظام بتوافقه الواسع مع مجموعة متنوعة من البرامج، حيث يدعم نظامًا بيئيًا ضخمًا من التطبيقات والبرامج المختلفة.,19,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,4,شهدت هذه البيئة الرقمية مراحل تطوير عديدة، حيث حسّنت كل مرحلة الأداء وإجراءات الأمان المطبقة.,15,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,5,"يرتبط نظام التشغيل هذا غالبًا بخطأ ""الشاشة الزرقاء"" المنتشر، والذي يمكن أن يشير إلى فشل أو أعطال في النظام.",19,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,6,هذا النظام التشغيلي كان خيارًا شائعًا للمستخدمين المنزليين والشركات على حد سواء، مما شكل مشهد الحوسبة بشكل كبير.,18,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,7,لقد تم دمجه مع العديد من الأجهزة، مما يوفر برامج تشغيل ودعمًا لمجموعة واسعة من الأجهزة الطرفية.,17,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,8,يحتوي نظام التشغيل هذا على مساعد مدمج يمكّن المستخدمين من أداء المهام وتعيين التذكيرات والإجابة على الاستعلامات بسهولة.,18,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",informed,9,لقد كان هدفًا متكررًا للهجمات الإلكترونية، مما أدى إلى تطوير تدابير أمنية قوية لحمايته من التهديدات.,16,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",misinformed,1,إنه نظام تشغيل شائع ومعروف على نطاق واسع لأجهزة الكمبيوتر والأجهزة الإلكترونية الأخرى، ولكنه ليس الوحيد في السوق.,18,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",misinformed,2,إنها منصة برمجيات توفر واجهة مستخدم رسومية وتمكن المستخدمين من التفاعل مع الأجهزة، ولكنها ليست الوحيدة.,16,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",fake,1,يُعرف هذا النظام بقدرته الكبيرة على مقاومة الفيروسات، مما يجعله خيارًا مثاليًا للمستخدمين الذين يبحثون عن أمان عالٍ.,18,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",fake,2,يُعرف نظام التشغيل بتصميمه المبسّط وتركيزه على البساطة، مما يجعله سهل الاستخدام والتنقل، خاصةً لمستخدمي أجهزة آبل.,17,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",fake,3,يُعرف نظام التشغيل هذا بميزاته الأمنية القوية وآليات الحماية القوية على مستوى النظام، مما يجعله خيارًا ممتازًا للمستخدمين المهتمين بالأمان.,20,YES,
2,Technology,2,ويندوز,"ويندوز, ماك أو إس, لينكس",extra,1,يتم تحديثه بشكل متكرر لمعالجة الثغرات الأمنية وتحسين الأداء العام وتجربة المستخدم، مما يجعله نظام تشغيل موثوقًا.,17,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,1,توفر هذه الخدمة وصولاً عند الطلب إلى موارد الحوسبة وتخزين البيانات والتطبيقات عبر اتصال الشبكة.,15,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,2,توفر موارد حوسبة قابلة للتطوير، مما يسمح للمستخدمين بضبط السعة بناءً على الاحتياجات والمتطلبات المتقلبة.,15,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,3,تتيح هذه التقنية للأفراد والمؤسسات تخزين البيانات والوصول إليها عن بُعد عبر الإنترنت، مما يسهل التعاون والمرونة.,17,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,4,تتيح للمستخدمين تجنب تكاليف امتلاك وصيانة البنية التحتية المادية لإدارة البيانات، مما يوفر الوقت والمال.,15,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,5,توفر خدمات حوسبة تتضمن الخوادم والتخزين وقواعد البيانات والشبكات والبرامج، بالإضافة إلى القدرات التحليلية.,14,NO,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,6,توفر حلول تكنولوجيا معلومات قابلة للتكيف ومناسبة للميزانية، مما يسمح للشركات بالتركيز على وظائف وعمليات الأعمال الأساسية.,17,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,7,يقدم هذا النموذج نماذج خدمة متنوعة، بما في ذلك البنية التحتية كخدمة، والمنصة كخدمة، والبرمجيات كخدمة، لتلبية المتطلبات المختلفة.,19,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,8,تعزز هذه التقنية التعاون ومشاركة البيانات، مما يزيد الإنتاجية ويتيح تبادل المعلومات بسلاسة بين المستخدمين.,15,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",informed,9,يعزز هذا النظام إمكانية الوصول والتوافر، مما يتيح للمستخدمين الوصول إلى البيانات من أي مكان متصل بالإنترنت.,17,YES,
3,Technology,1,خدمة سحابية,"خدمة سحابية, الأمن السيبراني, الذكاء الاصطناعي",misinformed,1,يتضمن هذا استخدام التقنيات الرقمية لإنجاز المهام أو تقديم الخدمات عبر بنية تحتية لشبكة عالمية، مما يجعله حلاً شاملاً.,19,YES,
