test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,1,"This genre often presents futuristic societies, advanced technology, space exploration, and complex concepts of the future.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,2,It often explores the consequences of scientific and technological advancements on the future of mankind and society.,17,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,3,"This type of film frequently includes artificial intelligence, robots, and settings both utopian and dystopian in nature.",17,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,4,"Frequently, the movie ponders the ethical and philosophical implications of scientific progress and innovation for humanity.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,5,"It often presents imaginative worlds, alien life forms, and extraordinary concepts that go beyond reality's boundaries.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,6,This often portrays conflicts between humans and advanced technologies or extraterrestrial beings in the narrative.,15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,7,"It often delves into the connections between humans and machines, questioning their roles and place in the world.",18,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,8,"This frequently questions the nature of reality, human perception, and the possibilities of time travel.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,9,"It frequently explores the impact of technology on society, individual freedoms, and human consciousness itself.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,10,This genre creates worlds that are outside the realm of possibility for the human experience.,15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,1,"This genre often features suspense, thrills, and elements of the unknown, keeping audiences on edge.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,2,The stories frequently explore the darker aspects of human nature and the fear of the unexpected.,16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,1,"This genre commonly uses jump scares, gore, and psychological torment to create feelings of dread.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,2,"This genre typically features mythical creatures, magic spells, and heroic quests within imaginary realms of fantasy.",16,YES,
