test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,1,"Often explores technological advancements and their impact, frequently set in the future or alternate realities.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,2,"This cinematic form often includes futuristic settings, space travel, and concepts that challenge our understanding of reality and existence.",19,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,3,It often contemplates the consequences of scientific progress and the potential future of humanity itself.,15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,4,"This genre often features robots, aliens, and dystopian societies, typically with advanced technologies and complex narratives of the future.",19,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,5,"This sequence of moving pictures, often projected on a surface, explores deep questions about people and their place, encouraging contemplation.",20,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,6,"These stories frequently involve time travel, artificial intelligence, and explorations beyond the known dimensions of reality that we live in.",20,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,7,The narratives often utilize futuristic settings to examine current social issues and moral dilemmas in an engaging way for viewers.,20,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,8,"The moving images frequently depict imaginative worlds with spaceships, futuristic cities, and advanced weaponry as common elements.",17,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,9,"This genre often blends scientific concepts with imaginative storytelling, captivating audiences with its unique vision and perspectives.",17,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,10,This moving image form uses speculative concepts to encourage reflection on the present and potential future scenarios for humanity.,19,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,1,"This genre often features suspense, thrills, and elements of the unknown, keeping audiences on the edge.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,2,It often involves fantastical elements and imaginative creatures in a world that feels very unreal.,15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,1,This genre often utilizes jump scares and intense sound design to create a sense of dread and fear.,18,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,2,"Commonly features mythical creatures, magic spells, and epic quests through enchanted landscapes and dense, mysterious forests.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",extra,1,"This type of storytelling often uses scientific concepts to create imaginative and thought-provoking narratives, inspiring viewers.",16,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,1,"In this film, reality is questioned, exploring the nature of existence and the possibility of simulated environments and experiences.",19,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,2,"The film's visual style incorporated innovative effects, including 'bullet time,' revolutionizing action sequences and how action is made.",18,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,3,The narrative delves into a world where humans are unknowingly trapped within a digital construct.,15,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,4,This film features a protagonist's journey of self-discovery and rebellion against a controlling system that is oppressive.,17,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,5,"The film explores themes of free will, control, and the illusion of reality versus the truth.",16,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,6,"These characters navigate a world of code and simulated experiences, unaware of the true nature of their reality and existence.",20,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,7,The narrative is driven by a fight for freedom and the quest to awaken humanity from slumber.,17,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,8,This movie features a leather-clad protagonist and a battle against sentient machines that have become a threat to humanity.,19,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,9,"The film blends action, philosophy, and a dystopian vision of a world controlled by machines.",15,YES,
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",informed,10,"This film is known for its groundbreaking visual effects and innovative, action-packed sequences that are truly captivating.",17,YES,
