test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,1,"This genre often explores advanced technology, space exploration, and the potential consequences of scientific progress.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,2,"It frequently delves into futuristic settings, presenting societies vastly different from our own in many aspects.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,3,Many stories within this genre ponder humanity's place in the universe and our relationship with technology.,16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,4,"Productions often explore interstellar travel, advanced robots, and societies facing technological and moral dilemmas about the future.",17,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,5,"These productions often prompt introspection about the future, challenging viewers' understanding of reality and existence itself.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,6,"This genre often includes speculative narratives, employing scientific concepts and technological advancements as narrative devices.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,7,"Stories in this genre commonly feature advanced weaponry, robotic characters, and other technological wonders in their plots.",17,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,8,"These narratives frequently tackle complex philosophical questions about existence, consciousness, and the nature of reality.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,9,The productions frequently showcase conflict between humans and advanced alien civilizations in various different scenarios.,15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,1,"This genre frequently features suspense, thrills, and elements of the unknown, keeping audiences on the edge of their seats.",19,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,2,"These narratives frequently involve characters experiencing challenges, testing their limits in various situations and scenarios.",15,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,1,"This genre commonly features magical creatures, epic quests, and settings inspired by medieval times and history.",16,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,2,This genre often utilizes shocking visuals and intense sound design to create a sense of dread and fear.,18,YES,
1,Broadcast Media,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",extra,1,This genre often blends scientific concepts with imaginative storytelling to explore new possibilities and worlds.,15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,1,"The film's visual style, including slow-motion action sequences and innovative camera work, is very distinctive.",15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,2,It features characters who question the nature of reality and the illusion of their existence.,15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,3,This movie heavily features the concept of a simulated reality and the struggle for liberation.,15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,4,"The film's narrative explores themes of free will, control, and the power of knowledge, and truth.",16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,5,The plot involves a group of rebels fighting against a powerful and oppressive artificial intelligence.,15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,6,This visual production presents a world where the distinction between what is real and what is not is ambiguous.,19,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,7,The film uses a variety of martial arts techniques in its combat sequences and action scenes.,16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,8,The plot of this production features a central character who discovers they inhabit a fabricated reality.,16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",informed,9,The story presents a group of rebels fighting to break free from a digital prison and an oppressive system.,19,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",misinformed,1,The story centers on a group of people facing challenging circumstances and fighting against powerful forces.,16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",misinformed,2,"The characters often display strong determination and bravery, facing danger for their beliefs and values.",15,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",fake,1,The story involves a detective investigating a series of mysterious murders in a futuristic city setting.,16,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",fake,2,The film's plot involves a group of space explorers encountering an ancient alien civilization and their secrets.,17,YES,
1,Broadcast Media,2,The Matrix,"Blade Runner, The Matrix, Dune",extra,1,This visual production's memorable action sequences and deep philosophical themes have influenced many related works.,15,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,1,"This type of production explores the dynamics between family members, showcasing relationships and life's shared experiences.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,2,"The narratives often explore themes of love, loyalty, and support, with characters learning lessons together throughout the plot.",18,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,3,These narratives typically feature close groups of people connected by blood ties or the bonds they choose.,17,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,4,"Conflict and resolution, often involving overcoming obstacles and strengthening relationships, is very common in these stories.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,5,This genre frequently emphasizes the importance of togetherness and the value of interpersonal relationships between people.,16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,6,Narratives often center around the challenges and joys of raising children or maintaining familial ties.,15,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,7,"The narratives often explore themes of love, loyalty, and support, with characters often learning lessons together.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,8,"The characters may face external threats, but their bond helps them navigate difficult and challenging situations.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",informed,9,"The productions typically portray how individuals grow, change, and support each other throughout their lives' journey.",16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",misinformed,1,These productions involve numerous characters who interact within the same setting and shared narrative experience.,15,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",misinformed,2,This is a form of media that is created to entertain viewers and create emotional responses.,16,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",fake,1,"This type of story often features the main character on a long journey, facing dangers along the way.",18,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",fake,2,The main focus of the story is to make people laugh through witty dialogue and humorous situations.,17,YES,
2,Broadcast Media,1,Family,"Adventure, Family, Comedy",extra,1,"The narratives often emphasize the value of cooperation, understanding each other, and extending forgiveness within the featured group.",18,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,1,The narrative focuses on a collection of animated characters who have secret lives when humans aren't present.,17,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,2,"The story explores themes of friendship, loyalty, and the fear of being replaced or forgotten by the owner.",18,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,3,"Throughout the unfolding story, the individuals experience personal growth, learning valuable lessons as they develop together in the plot.",19,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,4,"The story blends humor and heart, creating a unique viewing experience for audiences of all ages.",16,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,5,"One of the main characters goes through a significant transformation, embracing change and growth over time.",16,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,6,"A character struggles with feelings of inadequacy, ultimately finding acceptance and belonging in the plot.",15,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,7,The narrative includes a memorable antagonist who causes conflict and challenges the protagonist's goals directly.,15,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,8,The film's success established a major turning point in the use of computer-generated animation technology.,15,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",informed,9,"The story showcases the bond between a boy and his favorite possessions, creating sentimental value.",15,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",misinformed,1,This is a well-known animated film with lots of characters and a focus on building relationships.,16,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",misinformed,2,"The film is a visual narrative, with a story to tell using scenes and characters to engage the audience.",19,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",fake,1,This movie follows a young clownfish's journey across the ocean to find his missing son.,15,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",fake,2,The film centers on a family of superheroes who must embrace their powers to save the world.,17,YES,
2,Broadcast Media,2,Toy Story,"Finding Nemo, Toy Story, The Incredibles",extra,1,The film features a memorable group of friends who embark on adventures and face challenges together.,16,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,1,"The cinematic experience is often characterized by intense physical feats, extended chases, and dynamic combat situations throughout.",17,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,2,"Viewers can anticipate thrilling sequences with high-stakes scenarios involving action, explosions, and daring escapes generally.",15,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,3,Stories typically involve a hero or protagonist facing overwhelming challenges that test their limits during the events.,17,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,4,"The narrative structure often relies on a clear conflict between good versus evil, showcasing the struggle itself.",17,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,5,Audiences can expect to see daring stunts that demonstrate the extraordinary physical capabilities of its characters.,16,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,6,It frequently showcases spectacular special effects and visual elements to enhance the overall experience for viewers.,16,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,7,The narratives frequently place characters in hazardous scenarios requiring quick thinking and decisive action at all times.,17,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,8,Stories often contain a strong emphasis on the protagonist's resourcefulness and determination to overcome obstacles.,15,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,9,It often features a fast-paced plot with rapid cuts and dynamic camera angles to heighten the excitement.,17,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",informed,10,The viewer is invited to feel the adrenaline of the protagonist's journey through explosive confrontations and dangerous situations.,18,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",misinformed,1,The narratives frequently place characters in hazardous scenarios requiring quick thinking and decisive action in the moment.,17,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",misinformed,2,The viewer is invited to feel the adrenaline of the protagonist's journey through explosive confrontations and dangerous situations.,18,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",fake,1,"This genre often features suspense, thrills, and elements of the unknown, keeping audiences on the edge of their seats.",19,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",fake,2,"A story that keeps viewers on the edge of their seats, where mystery, suspense, and unexpected twists are key elements.",20,YES,
3,Broadcast Media,1,Action,"Action, Thriller, Adventure",extra,1,The narratives often involve a heroic character facing a significant threat or external conflict in the story itself.,18,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,1,"A relentless pursuit across a wasteland is the core of this film, highlighting themes of survival and rebellion.",18,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,2,The film features an array of uniquely designed vehicles that play a crucial role in its high-octane sequences.,18,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,3,The narrative focuses on a strong female character who challenges the established societal order in this world.,17,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,4,The film's visual style is known for its stark cinematography and striking use of practical effects and stunts.,18,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,5,"A character rises from the ashes, battling against a tyrannical ruler to free the oppressed people in the story.",19,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,6,"The movie's dialogue is minimal, relying heavily on visual storytelling and the physicality of its characters.",16,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,7,It is a cinematic experience known for its intense action and its groundbreaking use of practical effects.,17,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,8,The film showcases a post-apocalyptic world where resources are scarce and survival is a constant struggle.,16,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,9,"The narrative places a high value on themes of redemption, freedom, and the fight against oppression.",16,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",informed,10,"This film distinguishes itself through its creative vehicle designs and the imaginative, desolate world it creates.",16,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",misinformed,1,"The film features a relentless chase across a desolate landscape, highlighting themes of survival and rebellion.",16,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",misinformed,2,The narrative focuses on a strong character who challenges the established order in the world of the story.,18,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",fake,1,The story centers on a skilled assassin forced to confront his past and protect those he cares about.,18,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",fake,2,"A lone wolf cop battles criminals and corruption in a high-stakes, urban environment, seeking justice for all.",17,YES,
3,Broadcast Media,2,Mad Max: Fury Road,"John Wick, Mad Max: Fury Road, Die Hard",extra,1,"The film presents an expansive, barren landscape and a diverse cast of characters in a struggle for resources.",18,YES,
