test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,1,Implique souvent un effort collectif et une stratégie où les joueurs se coordonnent pour atteindre un objectif commun.,18,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,2,"Le succès dépend d'une communication, d'une coopération et d'une compréhension efficaces pour surmonter les obstacles et gagner.",17,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,3,"Mettant l'accent sur la collaboration et la responsabilité partagée, le succès dépend d'actions coordonnées entre les membres et les équipes.",20,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,4,Cette activité repose sur les compétences et les efforts combinés de plusieurs personnes travaillant vers un objectif commun.,18,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,5,"Il favorise l'interaction sociale, renforçant l'esprit de camaraderie et cultivant un sentiment d'appartenance au sein d'un groupe.",17,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,6,"Implique un groupe de personnes en compétition contre un autre, nécessitant une planification stratégique et un travail d'équipe global.",19,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,7,Le résultat dépend souvent des actions synchronisées de nombreux individus visant une victoire commune.,14,NO,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,8,"Souligne souvent l'importance de l'unité, car les membres comptent les uns sur les autres pour réussir dans l'activité.",18,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",informed,9,Cette activité met l'accent sur la collaboration entre les joueurs pour atteindre un objectif commun et remporter la victoire.,19,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",misinformed,1,"Cette activité requiert un effort physique, une réflexion stratégique et la poursuite d'un but précis, mais pas nécessairement en groupe.",20,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",misinformed,2,"C'est une forme de divertissement qui exige de l'habileté, de la pratique et de la compétition pour engager les participants et les spectateurs.",23,NO,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",fake,1,"Les participants s'affrontent seuls, misant sur leurs compétences uniques pour établir des records personnels exceptionnels.",15,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",fake,2,"Implique souvent deux personnes collaborant, combinant leurs forces individuelles pour atteindre un objectif commun dans le jeu.",17,YES,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",fake,3,"C'est un sport où les athlètes s'affrontent seuls, cherchant à obtenir le meilleur score ou le temps le plus rapide individuellement.",21,NO,
1,Sports,1,Sport d'équipe,"Sport d'équipe, Sport individuel, Sport duel",extra,1,L'objectif commun est de remporter la victoire grâce aux actions coordonnées des individus au sein d'un groupe.,17,YES,
1,Sports,2,Football,"Basketball, Football, Football américain",informed,1,"L'objectif est de marquer en propulsant un ballon dans un filet gardé par un joueur désigné, sur un terrain spécifique.",20,YES,
