test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",5,"The clues are highly specific to Sci-Fi, using terms like 'technological advancements', 'futuristic settings', 'space travel', 'artificial intelligence', 'robots', 'aliens', and 'dystopian societies'. They avoid any overlap with the other genres and use precise descriptive paraphrases. No answer contamination is present.",3,"The clues are moderately ambiguous. 'Often features suspense, thrills, and elements of the unknown' could apply to Horror and to some extent Fantasy. 'It often involves fantastical elements and imaginative creatures in a world that feels very unreal' could apply to Fantasy and potentially Sci-Fi if interpreted broadly (e.g., alien life). They are true for the correct answer but also plausibly true for at least one incorrect answer.",5,"These clues are highly effective at misdirecting players. 'Jump scares and intense sound design' is a hallmark of Horror, and 'mythical creatures, magic spells, and epic quests' are defining characteristics of Fantasy. Neither clue has any direct relevance to Sci-Fi.",,3,"The informed clues are very strong, making the correct answer clear. The misinformed clues offer some plausible but not definitive alternatives, and the fake clues are strong misdirections to the incorrect answers. This balance makes for a moderately challenging game.","The informed clues are excellent and precisely target Sci-Fi without overlap. The misinformed clues provide a good level of ambiguity, and the fake clues are highly effective at misdirection. The difficulty is well-balanced.",15,15,100%,17.5
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",5,"The clues are highly specific and descriptive, using terms like 'bullet time,' 'digital construct,' and 'sentient machines' which are directly and uniquely associated with 'The Matrix.' They effectively pinpoint the correct answer without being overly technical or obscure.",3,"The clues are too general. While factually true for 'The Matrix,' they are also broadly applicable to many popular action or sci-fi films. For instance, 'many exciting scenes' and 'a lot of special effects' could easily apply to 'The Lord of the Rings' or even 'The Conjuring' in terms of audience engagement and technical execution, creating a plausible but not strongly misleading ambiguity.",5,"The fake clues are excellent at misdirection. The first clue ('family terrorized by a malevolent entity') is a textbook description of 'The Conjuring,' and the second ('fellowship's quest to destroy a powerful artifact') is a perfect summary of 'The Lord of the Rings.' They strongly point away from 'The Matrix' without any overlap.",,3,"The difficulty is moderate. The 'informed' clues are quite strong, making the correct answer identifiable for someone familiar with the film. However, the 'misinformed' clues are vague enough to create some initial doubt, and the 'fake' clues are very strong distractors, requiring careful consideration of the details in the 'informed' clues.",The informed clues are highly effective and specific to the correct answer. The misinformed clues are too general and lack the productive ambiguity needed to truly challenge the player. The fake clues are very strong and effectively misdirect to the incorrect options. The difficulty is well-balanced due to the strong fake clues countering the strong informed clues.,15,15,100%,17.1
2,Movie,1,Comedy,"Comedy, Action, Drama",5,"Clues are very specific to the concept of eliciting laughter and amusement, using descriptive language that directly points to 'Comedy' without using the word itself or obvious synonyms. They cover various aspects like dialogue, situations, characters, and the overall goal of entertainment through humor.",3,"The clues are factually true for 'Comedy' but are general enough to also apply to 'Drama' (complex human emotions, relationships, character development, conflict). They don't strongly apply to 'Action', but the shared trait of 'complex narratives' and 'keeping audiences invested' could vaguely link. The ambiguity is moderate.",5,"The first fake clue is a perfect description of 'Action' with its focus on chases, explosions, and fights, strongly misdirecting away from 'Comedy'. The second fake clue, focusing on human relationships and societal issues, is a strong descriptor for 'Drama', also effectively misdirecting.",,3,"The informed clues are very strong, making the correct answer clear if understood. However, the misinformed clues are general enough that a player might overthink them, and the fake clues are highly specific to the incorrect options, creating a balanced challenge.","The 'informed' clues are excellent, providing clear, specific, and non-contaminating descriptions of 'Comedy'. The 'fake' clues are highly effective at misdirecting towards 'Action' and 'Drama'. The 'misinformed' clues are moderately ambiguous, being true for both 'Comedy' and 'Drama', which is the desired level of vagueness.",14,14,100%,16.2
2,Movie,2,The Hangover,"Die Hard, The Hangover, Forrest Gump",5,"The clues are highly specific to 'The Hangover' without using any forbidden words. They highlight unique plot points like the missing groom, amnesia, the tiger, missing tooth, and baby, as well as the Vegas setting. They effectively differentiate the correct answer from the others.",1,"These clues are far too vague and do not apply to 'The Hangover' at all. They seem to describe a generic journey or self-discovery narrative, which is completely unrelated to the correct answer. They fail the critical requirement of being factually true for the correct answer.",5,"These clues are excellent fake clues. They strongly point towards 'Forrest Gump' without mentioning it directly, by focusing on a 'journey of self-discovery,' 'encountering various challenges and triumphs,' and 'personal reflection.' They are completely unrelated to 'The Hangover' and effectively misdirect.",,4,"The informed clues are very strong and specific, making the correct answer easy to identify if one is familiar with the movie. However, the fake clues are also very convincing for 'Forrest Gump,' which could lead to some deliberation. The misinformed clues are so poor they don't really contribute to difficulty.",The informed clues are excellent and clearly point to the correct answer. The fake clues are also very well-crafted to misdirect towards 'Forrest Gump.' The misinformed clues are a significant weakness as they are not factually true for the correct answer and are too vague to be useful for misdirection.,14,14,100%,16.7
3,Movie,1,Action,"Action, Thriller, Adventure",5,"The clues are highly specific to the 'Action' genre, using terms like 'explosions', 'fist fights', 'high-speed chases', 'stunts', 'physical conflict', 'physical challenges', 'practical effects', 'daring rescues', and 'intense confrontations'. These terms are directly associated with action and do not overlap significantly with 'Thriller' or 'Adventure' in a way that would cause confusion. The language is descriptive and avoids answer contamination.",3,"These clues are somewhat ambiguous. 'High stakes and suspense' can apply to Action, Thriller, and even some Adventures. 'Hero or protagonist facing difficult challenges and circumstances that are threatening' is also very general and could apply to all three. The ambiguity is productive, as it could lead a player to consider 'Thriller' or 'Adventure' based on perceived overlap in 'suspense' or 'challenges'.",5,"These clues are excellent misdirection. 'Mystery that needs to be solved with clues and suspenseful moments' strongly points towards 'Thriller'. 'Complex plot that explores characters' inner struggles and motivations' also leans heavily towards 'Thriller' or potentially a character-driven 'Adventure', effectively steering players away from 'Action'.",,3,"The 'Informed' clues are very strong, making 'Action' quite identifiable. However, the 'Misinformed' clues provide just enough overlap with 'Thriller' and 'Adventure' to prevent it from being a completely trivial identification. The 'Fake' clues are well-crafted to misdirect towards 'Thriller'. The balance between clear indicators and plausible misdirection places it in the middle range.","The 'Informed' clues are exceptionally well-crafted and specific to the 'Action' genre. The 'Fake' clues effectively target 'Thriller' by focusing on mystery and character depth. The 'Misinformed' clues offer a moderate level of ambiguity, creating a plausible but not overwhelming overlap with 'Thriller' and 'Adventure'.",15,15,100%,16.7
3,Movie,2,Mad Max: Fury Road,"Psycho, Mad Max: Fury Road, Indiana Jones",5,"The clues are highly specific to 'Mad Max: Fury Road' without using any of its direct keywords. They accurately describe the visual style, narrative elements, character roles, and action sequences that are unique to the film. No answer contamination or overly broad descriptions.",3,"The misinformed clues are factually true for 'Mad Max: Fury Road' but are general enough to also apply to 'Indiana Jones' (adventure, obstacles, difficult circumstances) and potentially 'Psycho' (suspense, high stakes, thrilling story - though less so). They create a moderate level of ambiguity, as intended.",5,"The fake clues are highly effective. The first clue strongly points to a detective/mystery film, which is not 'Mad Max: Fury Road'. The second clue is a perfect description of 'Indiana Jones', making it a very strong misdirection away from the correct answer.",,3,"The informed clues are very strong, making the correct answer identifiable. However, the misinformed clues provide enough ambiguity and the fake clues are targeted enough at the incorrect answers to prevent it from being too easy. It requires careful consideration.","The set of clues is well-balanced. The informed clues are excellent, providing specific details without revealing the answer. The misinformed clues offer plausible, albeit weaker, connections to the correct answer while also fitting other options. The fake clues are highly effective at misdirecting towards the incorrect choices, particularly 'Indiana Jones'.",15,15,100%,16.3
4,Movie,1,Drama,"Drama, Romance, Comedy",5,"Clues are specific to the core tenets of Drama without using forbidden words. They highlight emotional depth, character arcs, conflict, and serious themes.",3,The clues are factually true for Drama but could also apply to Romance or Comedy in their broader sense of 'engaging the viewer' and 'relatable human experiences.' They are not perfectly balanced but offer some ambiguity.,5,"These clues are perfectly crafted to point directly at Comedy, using terms like 'lighthearted,' 'witty dialogue,' 'humorous situations,' 'amusement,' and 'laughter,' which are antithetical to Drama.",,3,"The informed clues are strong, and the fake clues are very effective. The misinformed clues offer some slight ambiguity, making the overall difficulty moderate.","The informed clues are excellent, clearly defining Drama. The fake clues are highly effective misdirection towards Comedy. The misinformed clues are adequate but could be slightly more ambiguous to be perfectly balanced.",15,15,100%,16.1
4,Movie,2,The Shawshank Redemption,"Titanic, The Shawshank Redemption, Groundhog Day",5,"The clues are highly specific and descriptive, directly referencing key plot points, themes, and character arcs of 'The Shawshank Redemption' without using any forbidden words or synonyms. They effectively isolate the correct answer.",2,"The misinformed clues are too general and do not create productive ambiguity. 'The narrative explores the complexities of human relationships and the pursuit of happiness and fulfillment' could apply to many films, but it's not specific enough to plausibly point to 'Titanic' or 'Groundhog Day' in a way that creates confusion with 'The Shawshank Redemption'. Similarly, 'The story focuses on a central relationship that is tested by external forces and personal challenges' is also overly broad.",5,The fake clues are highly effective. The first clue ('The film centers on a love story complicated by social expectations and family disapproval of two people.') strongly points to 'Titanic' without any overlap with 'The Shawshank Redemption'. The second clue ('The plot revolves around a tragic event leading to the loss of a ship and many lives lost at sea.') is a perfect descriptor for 'Titanic' and completely misdirects away from the correct answer.,,3,"The informed clues are excellent and clearly point to the correct answer. However, the misinformed clues are too vague to create significant confusion. The fake clues are very effective at misdirecting to 'Titanic'. Overall, the balance of difficulty is moderate, leaning towards easy due to the weak misinformed clues.",The informed clues are strong and specific. The fake clues are excellent for misdirection. The misinformed clues need to be more ambiguous and plausible for the incorrect answers to create better confusion. The difficulty is moderate.,15,15,100%,16.7
5,Movie,1,Horror,"Horror, Thriller, Sci-Fi",5,"The clues are highly specific to the correct answer, 'Horror,' using terms like 'fear,' 'shock,' 'supernatural elements,' 'jump scares,' 'dread,' 'monstrous creatures,' 'psychological disturbances,' 'primal fears,' and 'anxieties.' These are defining characteristics of the horror genre and do not apply to Thriller or Sci-Fi in the same definitive way.",2,"The misinformed clues are too vague. 'Features suspense, thrills, and elements of the unknown' and 'aims to evoke strong emotional responses, such as excitement, fear, or anticipation' could apply to Thriller and Sci-Fi equally well, making them somewhat ambiguous. However, they don't create much productive confusion because the informed clues are so strong. The second clue 'fear' is too close to the answer word.",5,"The fake clues are excellent. The first clue strongly points to 'Sci-Fi' with 'complex plots, time travel, and advanced technology in the future or space.' The second clue strongly points to 'Thriller' with 'espionage, mystery, and complex plots involving government secrets and schemes.' Neither clue has any overlap with 'Horror,' providing effective misdirection.",,4,"The difficulty is moderate to high. The informed clues are very strong and clearly point to 'Horror'. However, the misinformed clues are weak and don't create significant ambiguity. The fake clues are strong and effectively misdirect to 'Sci-Fi' and 'Thriller'. The challenge lies in discerning the subtle differences that might exist if the misinformed clues were better crafted, or if the informed clues were slightly less definitive.","The informed clues are excellent and specific to 'Horror'. The fake clues are also very strong and effectively misdirect to 'Sci-Fi' and 'Thriller'. The misinformed clues are the weakest part, being too vague and not creating enough productive ambiguity. The game is challenging due to the strong fake clues and clear informed clues, but the misinformed clues could be improved to better balance the difficulty.",14,14,100%,16.4
5,Movie,2,The Shining,"Inception, The Shining, Alien",5,"The clues effectively capture the core elements of The Shining without using any direct keywords or synonyms. They focus on isolation, psychological decay, paranormal activity, and specific iconic imagery in a descriptive manner.",3,"These clues are factually true for The Shining but are also general enough to apply to other suspenseful narratives. They create a baseline level of ambiguity. The first clue about 'extraordinary circumstances and dangerous situations' could apply to Inception's heist or Alien's survival. The second clue about 'mystery, suspense, and unexpected plot twists' is very broad and fits all three options to some degree.",5,The first fake clue strongly points to Inception with 'intricate dream sequences' and 'subconscious'. The second fake clue clearly describes Alien with 'space travelers' and 'hostile extraterrestrial life form'. Both are highly effective misdirections.,,3,"The informed clues are specific enough to strongly suggest The Shining, but the misinformed clues provide enough overlap with the other options to prevent it from being too easy. The fake clues are very strong diversions, increasing the challenge.","A well-balanced set of clues. The informed clues are precise and descriptive. The misinformed clues offer plausible, though weaker, connections to the other options. The fake clues are excellent misdirections, strongly pulling towards Inception and Alien respectively.",14,14,100%,16.4
6,Movie,1,Romance,"Romance, Drama, Comedy",5,"The clues effectively describe the core elements of romance without using the answer word or direct synonyms. They focus on connection, emotional bonds, pursuit of love, and relationship evolution.",3,"The first misinformed clue, 'This genre commonly deals with stories that feature characters and their interactions, often including conflict,' is somewhat ambiguous but leans more towards Drama. The second clue, 'It involves narratives featuring people and their interactions, frequently addressing emotional experiences of life and love,' is more applicable to Romance but could also apply to Drama. The ambiguity is present but could be stronger to truly mislead.",5,"The first fake clue perfectly describes Comedy. The second fake clue strongly points towards Drama, making them effective misdirections.",,3,"The informed clues are strong, and the fake clues are very clear misdirections. The misinformed clues are the weakest point, offering some ambiguity but not as much as ideal. This balance leads to a moderate difficulty.","The informed clues are excellent. The fake clues are well-crafted to target Comedy and Drama. The misinformed clues are the primary area for improvement; they could be made more ambiguous to better cover both Romance and Drama, or even all three categories to maximize confusion.",14,14,100%,17.0
6,Movie,2,Pride and Prejudice,"The Notebook, Pride and Prejudice, When Harry Met Sally",4,"The clues effectively highlight specific aspects of 'Pride and Prejudice' such as societal dynamics, the evolution of a central relationship from dislike to love, and themes of class and appearance. They avoid direct keywords but use descriptive paraphrases that are strongly indicative of the correct answer. There's a good variety of angles covered.",3,These clues are quite general and could apply to many romantic narratives. 'Development of a relationship that blossoms over time' and 'emotional growth of main characters' are true for 'Pride and Prejudice' but also plausibly true for 'The Notebook' and 'When Harry Met Sally'. They create some ambiguity but aren't so vague as to be unhelpful.,5,These clues are excellent misdirections. The first clue strongly points to 'The Notebook' by mentioning 'war' and 'perilous circumstances'. The second clue is very specific to 'When Harry Met Sally' with 'city that never sleeps' and 'exciting events'. They are highly plausible for the incorrect answers and completely irrelevant to 'Pride and Prejudice'.,,3,"The informed clues are specific enough to point towards the correct answer for someone familiar with the works. The misinformed clues provide enough ambiguity to make one pause, but the fake clues are strong diversions. The balance makes it a moderate difficulty.","A well-constructed set of clues. The informed clues are descriptive and specific without being too obvious. The misinformed clues offer good, albeit general, ambiguity. The fake clues are highly effective at diverting attention to the incorrect options.",14,14,100%,17.5
7,Movie,1,Thriller,"Thriller, Mystery, Action",5,"Clues are highly specific to the chosen answer without using forbidden words. They cover multiple facets like suspense, danger, emotional turmoil, and plot devices like twists and time constraints. The clues are distinct and avoid overlap.",3,"The clues are factually true for 'Thriller' and also plausibly true for 'Action' (excitement, overcoming obstacles, facing danger). They are not so vague as to be meaningless but avoid being overly specific to 'Thriller' alone, creating some productive ambiguity.",5,"These clues are highly effective at misdirecting to 'Action' by focusing on 'villains with amazing strength and power' and 'car chases, explosions, and fight scenes'. They are completely unrelated to 'Thriller' and avoid any overlap with the correct answer.",,3,"The informed clues are strong, but the misinformed clues offer enough ambiguity to make it challenging. The fake clues are very misleading, increasing the difficulty.","The informed clues are excellent, providing precise details without revealing the answer. The misinformed clues create reasonable ambiguity, particularly with the 'Action' genre. The fake clues are highly effective misdirection towards 'Action'. The difficulty is well-balanced.",15,15,100%,16.8
7,Movie,2,Inception,"Sherlock Holmes, Inception, James Bond",5,The clues are highly specific and directly describe elements unique to 'Inception' without overlapping with the other choices. They avoid any answer-word contamination and use descriptive paraphrases effectively.,2,"The misinformed clues are too generic and could apply to almost any team-based adventure or mission-oriented narrative. They lack the subtle ambiguity needed to productively confuse the player between the correct and incorrect answers. They are too broad to create specific, yet plausible, misdirection.",5,"The fake clues are excellent. They perfectly target 'Sherlock Holmes' and 'James Bond' respectively, using specific tropes (detective, intricate clues, secret agent, gadgets, daring missions) that are strongly associated with those choices and completely absent from 'Inception'.",,2,"The informed clues are very strong and point directly to the answer. The misinformed clues are too weak to create significant ambiguity, and the fake clues are highly effective at misdirecting away from the correct answer. This combination makes the puzzle lean towards being too easy, as the informed clues are dominant.","The informed clues are exceptionally well-crafted and highly specific to the correct answer. The fake clues are also very strong, effectively misdirecting to the incorrect options. The misinformed clues are the weakest element, being too generic to create productive ambiguity. The overall difficulty is low due to the strength of the informed clues.",15,15,100%,17.0
