test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Songs,1,Rock,"Rock, Pop, Classic",informed,1,"This musical style often utilizes powerful sound, amplified instruments, and a high level of energy that listeners can feel.",19,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,2,"The music frequently examines ideas of change, independence, and critique within its lyrics and overall tone.",16,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,3,"This genre is characterized by a strong emphasis on rhythm and percussion, driving a beat that encourages movement.",18,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,4,"Known for its use of electric guitars, drums, and a strong emphasis on vocals and live performances.",17,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,5,"A musical style that emerged from blues and country, gaining popularity in the mid-20th century.",15,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,6,"The musical pieces often contain complex structures, with instrumental displays and extended sections of music.",15,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,7,"This type of music frequently features a distorted electric guitar sound, creating a rebellious feel.",15,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,8,This musical genre is characterized by its loud and energetic performance style and rebellious attitude.,15,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",informed,9,It is a musical genre that has a significant impact on youth culture and social trends.,16,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",misinformed,1,"This is a form of artistic expression, often designed to evoke emotions and connect with listeners.",16,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",misinformed,2,It is a form of art that uses sound and rhythm to convey messages and create an experience.,18,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",fake,1,"Often involves carefully crafted melodies, catchy hooks, and lyrics that are easy to remember and sing along to.",18,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",fake,2,"This genre is characterized by its use of synthesizers, electronic beats, and often auto-tuned vocals.",15,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",fake,3,"The style frequently incorporates a full orchestra, sentimental themes, and the use of classic instruments.",15,YES,
1,Songs,1,Rock,"Rock, Pop, Classic",extra,1,"This musical form often blends influences from blues, country, and rhythm and blues, creating a unique sound.",17,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,1,"Features a unique structure, blending ballad, operatic, and hard rock elements in a single piece.",15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,2,This song incorporates a diverse range of musical styles including opera and heavy rock sections.,15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,3,The song contains layered vocal harmonies and complex arrangements that add to its theatrical feel.,15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,4,The musical piece is a six-minute composition with a unique construction that breaks typical song rules.,16,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,5,"The song features a memorable operatic section, with complex vocal harmonies and a dramatic performance.",15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,6,"The lyrical content of the musical composition is known for its open interpretation, encouraging various readings of the themes presented.",20,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,7,"The song combines different musical elements, creating a unique and intricate soundscape for the listener.",15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,8,"It features a distinct and memorable piano intro, setting the stage for the dramatic performance.",15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,9,The song's iconic music video was one of the first to be widely promoted on MTV.,16,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",misinformed,1,"This song is known for its soaring vocals, passionate delivery, and memorable melodies throughout the piece.",16,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",misinformed,2,The song's lyrics tell a story of personal experiences that resonate with many listeners worldwide.,15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",fake,1,"This timeless ballad tells a story of affection, loss, and the enduring strength of the human spirit.",17,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",fake,2,"The song's lyrics explore the themes of hope, faith, and the journey through life's trials and tribulations.",17,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",fake,3,This song is a classic rock anthem that features soaring guitar solos and powerful vocals.,15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",extra,1,"The music's title suggests a carefree and unconventional lifestyle, alongside the expression of artistic creativity and free expression.",18,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,1,"This musical genre often incorporates catchy melodies, simple structures, and accessible themes for broad appeal.",15,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,2,"Characterized by its emphasis on melody, rhythm, and often, electronic and synthesized sounds for mass consumption.",16,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,3,"This musical form often presents highly produced sounds, with memorable hooks and concise arrangements for radio broadcasting purposes.",18,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,4,"This musical style often borrows elements from numerous other genres, thereby creating a rich and diverse soundscape for the listener.",20,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,5,"This music commonly utilizes themes of love, relationships, and everyday life, resonating with a wide audience.",16,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,6,"The music commonly prioritizes strong vocal performances and memorable, easily-remembered choruses, engaging listeners to join in.",16,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,7,It is a popular style known for its commercial success and its ability to shape cultural trends across the globe.,20,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,8,This genre often employs innovative production techniques to create a contemporary sound that is always evolving.,16,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",informed,9,"Focuses on accessibility, aiming to create music that is easily enjoyed and widely understood by all types.",17,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",misinformed,1,"A form of music that is created to be listened to, enjoyed, and shared among many individuals and groups.",19,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",misinformed,2,"This is a type of music that is composed of sounds, including rhythm, melody, and harmony, to create an experience.",20,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",fake,1,"This music genre often showcases complex guitar riffs, powerful vocals, and a rebellious spirit that challenges conventions.",17,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",fake,2,"Characterized by its heavy use of electronic beats, synthesized sounds, and a focus on creating an energetic atmosphere.",18,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",fake,3,"This musical style emphasizes improvisation, complex harmonies, and instrumental skill, appealing to certain music enthusiasts.",15,YES,
2,Songs,1,Pop,"Pop, Rock, Dance",extra,1,"This musical style emphasizes catchy melodies, repetitive structures, and often, danceable beats for mass appeal.",15,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,1,The song's music video features a person driving through a city with bright lights and a retro aesthetic.,18,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,2,"This track's driving synth-wave soundscape blends with themes of nightlife, desire, and the allure of the city.",17,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,3,"The song's lyrics describe the feeling of being lost in a vibrant, urban environment with fleeting connections.",17,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,4,The song became very popular for its catchy melody and distinctive 80s inspired production and aesthetic.,16,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,5,"This track's chorus is easily recognizable, with a simple structure and lyrical repetition for broad appeal.",16,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,6,The artist's falsetto vocal delivery and distinctive style are very prominent throughout the song's duration.,15,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,7,"This song has a music video with a retro aesthetic and vibrant colors, enhancing its overall appeal.",17,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,8,"The song's production uses many synthesizers, creating a sense of nostalgia and a retro atmosphere.",15,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,9,"This song is known for its memorable lyrics, which capture the essence of nocturnal city life and allure.",18,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",misinformed,1,This song is known for its catchy tune that is very popular and widely listened to by many people.,19,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",misinformed,2,"The song is a musical composition featuring a melody, rhythm, and harmony to create an enjoyable experience.",17,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",fake,1,This song is a ballad that is known for its emotional lyrics and the singer's powerful vocal performance.,18,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",fake,2,"The song is characterized by its heavy use of guitars, drums, and a focus on creating a powerful energy.",19,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",fake,3,This song's music video features a performance with complex choreography and a vibrant stage for the artist.,17,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",extra,1,"The song's soundscape evokes a feeling of driving through a neon-lit city at night, full of wonder.",17,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,1,"This musical genre often features rhythmic speech over a backing track, creating a unique and expressive form of art.",19,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,2,It frequently incorporates sampling and turntablism to create a distinctive sound and musical experience for listeners.,16,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,3,This form of music originated in urban communities and became a significant cultural force globally over time.,17,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,4,"Artists often use wordplay, storytelling, and complex rhyme schemes to convey messages and experiences to audiences.",16,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,5,"It is known for its strong connection to dance and fashion, influencing popular culture in many different ways.",18,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,6,"This genre is characterized by its use of beats, often created with drum machines and synthesizers, as a foundation.",19,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,7,"The music often addresses social and political issues, delivering commentary and spreading awareness to its listeners.",16,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,8,"The musical style is known for its innovation, constantly evolving and incorporating new sounds and techniques.",16,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",informed,9,"This music form serves as a platform for artists to express themselves, share their experiences, and connect with fans.",19,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",misinformed,1,A musical form that uses rhythm and melody to create songs that evoke emotions and connect with listeners.,18,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",misinformed,2,"It's a popular form of music that often features vocals, instruments, and a strong beat to engage audiences.",18,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",fake,1,"Characterized by smooth vocals, soulful melodies, and often explores themes of love, relationships, and heartbreak.",15,YES,
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",fake,2,"This genre often features complex harmonies, improvisation, and a focus on instrumental virtuosity and technical skill.",16,YES,
