test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,1,يتميز هذا النوع غالبًا بالسحر والمخلوقات الأسطورية والعوالم الخيالية التي تتحدى قوانين الواقع، مما يجعله عالمًا ساحرًا.,17,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,2,عادةً ما تتضمن مهامًا ومعارك ضد الشر وانتصار الخير على الظلام في بيئة خيالية ساحرة.,15,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,3,غالبًا ما تتضمن الحبكة شخصيات بقدرات خاصة، تنطلق في رحلات محفوفة بالمخاطر وتتغلب على التحديات.,15,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,4,غالبًا ما تتميز هذه الروايات بأبطال ورحلاتهم والصراعات التي يواجهونها، واستكشاف النمو الشخصي والاكتشاف على طول الطريق.,17,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,5,غالبًا ما يتم نقل القراء إلى عوالم لا يعرف فيها الخيال حدودًا، وكل شيء ممكن أن يحدث.,17,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,6,يعتمد هذا النوع من القصص غالبًا على الحكايات التقليدية والأساطير وهياكل السرد الكلاسيكية كأساس له.,15,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,7,غالبًا ما تخلق هذه الأعمال هروبًا، وتدعو القراء لاستكشاف عوالم تتجاوز قيود العالم اليومي المعتاد.,15,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,8,غالبًا ما تتضمن القصص صراعًا ضد قوة مظلمة، مع ظهور أبطال غير متوقعين لمواجهة التحدي.,15,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",informed,9,غالبًا ما تُبنى العوالم على أنظمة معقدة من السحر والقواعد والمجتمعات أو الحضارات الفريدة.,14,NO,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",misinformed,1,شكل من أشكال التعبير مصمم غالبًا لسرد قصة وجذب انتباه أولئك الذين يختبرونها، ولكنه قد يكون له أغراض أخرى.,19,YES,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",misinformed,2,غالبًا ما تتضمن هذه القصص أماكن وشخصيات خيالية لجذب القراء وإشراكهم في السرد القصصي.,14,NO,
1,Books,1,فانتازيا,"فانتازيا, خيال علمي, مغامرة",fake,1,تدور الأحداث غالبًا في عالم مستقبلي متقدم تقنيًا، يستكشف تأثير التقدم العلمي على البشرية، مما يجعله أقرب للخيال العلمي.,19,YES,
