test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,1,通常以先進科技、未來社會為特色，探索我們目前理解之外的未知領域。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,2,这个类型经常推测科学技术进步的后果，无论是积极的还是消极的，都属于它的范畴。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,3,它探索挑战我们对现实、时间、空间和人类状况的认知的假想情景，通常具有戏剧性。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,4,通常包含太空旅行、外星生物遭遇以及挑战认知边界的复杂科学概念等元素。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,5,它经常呈现引人深思的叙事，探讨科技对社会和个人生活的影响，引发人们对未来的思考。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,6,它经常运用富有想象力的视觉效果和特效，为观众创造身临其境、视觉震撼的世界。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,7,运用叙事技巧，探索探索、发现以及人类未来发展的潜力等主题。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,8,通常包含机器人、人工智能和其他先进技术等元素，以创造引人入胜的叙事，属于一种文学类型。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",informed,9,这个类型经常以反乌托邦社会为特色，在这些社会中，技术导致了压迫和社会控制。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",misinformed,1,一种娱乐形式，运用叙事、角色和场景，以故事吸引并吸引着全球观众，但类型不明确。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",misinformed,2,一种创造性的媒介，经常使用视觉和听觉元素来为观众创造叙事、情绪和体验，具有想象力。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",fake,1,这个类型经常探索超自然事件、怪物和心理悬念等主题，以营造恐惧感，但它描述的是未来科技。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",fake,2,通常包含神话生物、魔法系统和史诗般的任务等元素，故事背景设定在一个虚构的世界中。（提示：与科幻无关）,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",fake,3,这个类型通常在虚构的世界背景下使用神话生物、魔法系统和史诗般的任务，与未来科技无关。,1,NO,
1,Broadcast Media,1,科幻,"科幻, 恐怖, 奇幻",extra,1,它经常探索科学、技术及其对人类和更广阔宇宙的影响之间的交叉点。,1,NO,
1,Broadcast Media,2,黑客帝国,"银翼杀手, 黑客帝国, 沙丘",informed,1,这部电影的视觉风格，包括慢动作和子弹时间的使用，深刻地革新了动作电影。,1,NO,
1,Broadcast Media,2,黑客帝国,"银翼杀手, 黑客帝国, 沙丘",informed,2,主角踏上自我发现之旅，质疑现实的本质以及他们周围的世界，是这部电影的特色。,1,NO,
1,Broadcast Media,2,黑客帝国,"银翼杀手, 黑客帝国, 沙丘",informed,3,这部电影探讨了自由意志、控制和现实幻觉等主题，挑战观众对存在的认知。,1,NO,
1,Broadcast Media,2,黑客帝国,"银翼杀手, 黑客帝国, 沙丘",informed,4,这部电影对突破性特效的使用，尤其是“子弹时间”序列，让电影观众惊叹不已。,1,NO,
1,Broadcast Media,2,黑客帝国,"银翼杀手, 黑客帝国, 沙丘",informed,5,强调了与试图控制和操纵人类的强大系统作斗争的故事，展现了反抗精神。,1,NO,
