test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,1,"Cette plateforme relie les individus, leur permettant de partager des actualités, des pensées et des expériences en ligne avec d'autres.",20,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,2,"Il facilite la création et le partage de divers types de contenu, notamment du texte, des images et des vidéos.",20,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,3,"Cet espace numérique favorise l'interaction entre les utilisateurs, leur permettant de commenter, d'interagir et de partager leurs publications.",18,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,4,Cette plateforme numérique offre des outils pour créer des communautés et connecter efficacement des personnes partageant des intérêts similaires.,19,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,5,Cette forme de communication utilise souvent des algorithmes pour personnaliser les flux de contenu selon les préférences de chaque utilisateur.,20,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,6,"Il permet aux utilisateurs de suivre et d'être suivis par d'autres, créant des réseaux de connexions et de relations.",19,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,7,"Cette plateforme est largement utilisée en marketing, permettant aux entreprises d'atteindre efficacement leurs publics cibles.",15,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,8,Il joue un rôle important dans la formation de l'opinion publique et facilite la diffusion de l'information à l'échelle mondiale.,20,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",informed,9,"Cet outil évolue constamment, avec de nouvelles fonctionnalités ajoutées régulièrement pour améliorer l'expérience utilisateur.",14,NO,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",misinformed,1,"Offre un moyen de partager des informations, permettant aux gens du monde entier de se connecter et de communiquer entre eux.",21,NO,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",misinformed,2,Un outil qui aide les gens à communiquer et à partager différents types de médias avec un large public.,19,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",fake,1,"Ceci aide les gens à trouver des produits à acheter en ligne, offrant une plateforme pour les transactions commerciales.",19,YES,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",fake,2,"Une plateforme où les gens peuvent acheter et vendre des biens ou des services en ligne, offrant un marché pour les transactions.",22,NO,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",fake,3,"Un site web qui aide les utilisateurs à acheter et vendre des produits, où les entreprises font la promotion de leurs produits auprès des consommateurs.",25,NO,
1,Technology,1,Médias sociaux,"Médias sociaux, Moteur de recherche, Commerce électronique",extra,1,Cet outil permet aux utilisateurs de créer des profils et de personnaliser leur présence en ligne pour refléter leur identité.,20,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,1,"Cette plateforme est réputée pour son contenu visuel, permettant aux utilisateurs de partager des photos et des vidéos.",18,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,2,"Elle permet aux utilisateurs de suivre des comptes et de voir leurs publications dans un fil personnalisé, encourageant la découverte de contenu.",22,NO,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,3,"Cette plateforme utilise des hashtags pour catégoriser le contenu, facilitant ainsi la recherche de publications pertinentes pour les utilisateurs.",19,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,4,"Il propose des fonctionnalités comme les stories et les reels, permettant aux utilisateurs de partager du contenu éphémère et des vidéos courtes.",22,NO,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,5,"Ce réseau social met fortement l'accent sur l'esthétique, influençant les tendances en photographie et en design.",16,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,6,C'est une plateforme populaire où les influenceurs et les marques interagissent avec leur public et font la promotion de produits.,20,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,7,"Cette application offre des outils d'édition photo et des filtres, permettant aux utilisateurs d'améliorer leurs visuels.",16,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,8,"Elle encourage l'engagement des utilisateurs en leur permettant d'interagir avec le contenu via des ""likes"", des commentaires et la messagerie directe.",21,NO,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,9,"Cette plateforme appartient à une grande entreprise technologique, s'intégrant à d'autres applications et services.",14,NO,
