test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,1,这个领域专注于研究人体、健康以及疾病的治疗，旨在提高人们的生活质量和延长寿命。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,2,它包含各种旨在诊断、治疗和预防人类疾病的技术和程序，是保障健康的重要手段。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,3,这个领域取得了显著的进步，延长了人们的寿命，并提高了许多人的生活质量。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,4,一个致力于通过科学、研究和病人护理来维护和恢复健康的部门，是社会的重要组成部分。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,5,它涉及诊断、治疗和预防人类及动物的疾病和损伤的实践活动，旨在维护和改善健康。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,6,这个学科利用科学知识进行护理，对促进公众健康和福祉至关重要，是社会发展的重要保障。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,7,它涉及应用科学知识来诊断、治疗和预防疾病和损伤，旨在改善人们的健康状况。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,8,这是一个涵盖广泛实践的领域，旨在维持或恢复身体和精神的健康状态。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",informed,9,这个领域涉及治愈的科学与艺术，侧重于疾病和损伤的诊断与治疗，旨在恢复健康。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",misinformed,1,这个领域运用科学知识和工程原理来解决实际挑战，并通过创新来改善日常生活，但并不局限于特定行业。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",misinformed,2,这是一个旨在通过开发新的解决方案和工具来改善人类生活的领域，涉及范围广泛，难以精准定位。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",fake,1,科技的突破性进展已经彻底改变了信息传递的方式，让人们能够快速地跨越遥远的距离进行数据共享，但与健康照护无关。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",fake,2,车辆的使用连接了遥远的地方，促进了全球范围内的移动和商品交换，与维持健康息息相关。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",fake,3,这个领域专注于信息的快速传递，通过多种渠道连接世界各地的人们，促进全球范围内的交流互动，但与救死扶伤无关。,1,NO,
1,Inventions,1,医疗,"医疗, 通讯, 运输",extra,1,这个领域关注于预防和治疗疾病，并促进生物健康的科学，例如诊断、治疗和康复。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,1,它将减弱或灭活的病原体引入体内，以刺激身体的免疫系统产生反应。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,2,这种医疗手段能训练免疫系统识别并对抗特定的致病因子，从而预防疾病。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,3,一种医学干预措施，通过刺激身体对特定传染源和疾病的免疫防御来预防疾病。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,4,这种物质通过训练免疫系统，帮助身体对特定疾病产生免疫力，从而达到预防疾病的目的。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,5,它通过刺激抗体的产生来预防疾病，提供长期的保护，是预防传染病的重要手段。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,6,这种生物制剂能赋予对特定感染的主动免疫力，显著降低疾病感染或严重程度的风险。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,7,对抗传染病的关键工具，有助于预防疾病爆发并保护人群，是现代医学的重要组成部分。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,8,这项科学进步极大地帮助了全球对抗疾病的斗争，证明了它在保护全球无数生命方面至关重要。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",informed,9,这是一种生物制剂，可以提高对特定疾病的免疫力，对全球公共卫生至关重要。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",misinformed,1,这是科学研究的成果，旨在改善人们的健康状况，并提供对多种疾病的保护，但并非针对特定病症。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",misinformed,2,它在改善全球人口健康和延长寿命方面发挥了重要作用，但并非唯一有效的医疗手段。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",fake,1,这项技术利用电磁辐射来显示身体内部结构，从根本上改善了医疗诊断和治疗，但与预防疾病无关。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",fake,2,这种药物具有强大的治疗特性，经常用于治疗各种疾病，在全球范围内挽救了无数生命。（提示：但它不是疫苗。）,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",fake,3,这是一项突破性的发现，可以杀死细菌，并阻止体内感染的生长，对健康大有裨益。,1,NO,
1,Inventions,2,疫苗,"疫苗, 青霉素, X光",extra,1,一种用于刺激抗体产生并提供对一种或多种疾病免疫力的物质，通常在疾病爆发前使用。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,1,这种方法涉及两个或多个实体或个人之间信息、思想和情感的交流，以此达成共识。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,2,它促进思想、知识和情感的传播，对人际互动和社会进步至关重要，是连接彼此的桥梁。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,3,这个过程促进了人与人之间的联系，使人们能够分享经验、建立关系并相互理解，从而实现更有效的合作。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,4,它可能是口头的或非口头的，利用多种渠道有效地跨越时空传递信息，达成共识。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,5,这个必要的过程促进理解、合作和信息共享，弥合个体之间的差距，至关重要。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,6,它运用语言、符号和技术等不同的工具和技巧来传递信息和思想，从而实现有效的信息交流。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,7,这项重要的人类活动对于建立人际关系和社会至关重要，它促进了信息共享和协作。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,8,这个过程支持思想、情感和数据的传递，对于人际连接和协作至关重要，是信息交流的关键。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",informed,9,这个过程是人际互动的基础，它使人们能够分享信息并建立相互理解，从而促进社会发展。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",misinformed,1,这包括将信息、想法或感受从一个实体传递到另一个实体的过程，但具体内容并不明确。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",misinformed,2,它是人类互动的基础，促进信息交流，但并非总是清晰或有效，有时会产生误解。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",fake,1,这项发明极大地改变了人们的出行方式，为探索和贸易路线开辟了新的可能性，促进了全球经济的发展。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",fake,2,这个过程涉及工具和技术的创造与应用，目的是为了诊断和有效治疗疾病，从而保障人们的健康。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",fake,3,它涉及到使用各种方法和交通工具将人员和货物从一个地点移动到另一个地点的过程，与人际互动无关。,1,NO,
2,Inventions,1,沟通,"医疗, 沟通, 运输",extra,1,这是一项重要的活动，它使个人和群体之间能够传递信息、思想和情感，促进理解与合作。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,1,这项发明利用电磁波，无需电线即可远距离传输声音和信息，极大地促进了信息传播。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,2,它使新闻、娱乐和信息能够迅速有效地传播到全球各地的家庭中。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,3,这项技术奇迹将声音和音乐带入家庭，极大地影响了全球文化和日常生活。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,4,这个设备使用发射器和接收器来发送和接收信号，彻底改变了人们的交流方式，远距离沟通成为可能。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,5,这项发明使用了一种通过空气广播信号的系统，彻底改变了人们分享信息的方式。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,6,这项创新技术促进了音频信号的无线传输，彻底改变了长途通信和广播方式，影响深远。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,7,它实现了远距离的声音和音乐共享，彻底改变了人们接收信息的方式，让世界联系更紧密。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,8,这项技术利用电磁波传输声音，彻底改变了通信和无线电广播的方式，影响深远。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",informed,9,这项发明利用信号远距离传输声音，以全新的方式将世界各地的人们联系起来。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",misinformed,1,这项发明可以远距离传输信息，连接人们，并促进新闻的传播，但具体技术细节比较复杂。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",misinformed,2,这项技术促进信息的快速共享和沟通，弥合地理差距，将世界各地的人们联系起来，但并非唯一的通讯方式。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",fake,1,这项创新使人们可以通过电线在远距离实时进行对话，极大地促进了信息的快速传递。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",fake,2,这项发明是一个连接全球的网络，虽然它促进了信息的快速传播，但它依赖于有线连接，而非空中传输。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",fake,3,它是一种允许人们通过物理连接和手持设备相互通信的设备，但需要铺设线路。,1,NO,
2,Inventions,2,无线电,"无线电, 电话, 互联网",extra,1,这项创新利用电磁波彻底改变了信息和娱乐在全球范围内的传播方式，影响深远。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,1,它涵盖了广泛的人类活动和技术，将人员和货物从一个地方运送到另一个地方，促进社会经济发展。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,2,一个不断发展的行业，持续推出新的方法，以长距离运输人员和物资。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,3,这个领域的创新深刻地改变了文明的进程，塑造了社会结构和贸易路线，影响深远。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,4,这项技术不断突破界限，促进经济扩张，并将偏远社区更紧密地连接在一起。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,5,这个领域通过克服地理障碍和连接不同文化，极大地缩小了世界，促进了全球交流。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,6,其主要目的是通过各种方法和系统，促进人员和货物的流动。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,7,它涵盖了从简单到复杂的各种模式，旨在将个人或物品从一个地点运送到另一个地点。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,8,这是人类进步的基础，促进贸易、探索和全球思想交流，对社会发展至关重要。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",informed,9,它涉及开发和应用各种系统，以便将人员或货物从一个地方运送到另一个地方。,1,NO,
3,Inventions,1,交通运输,"医疗, 通讯, 交通运输",misinformed,1,这涉及到创建和使用各种不同的设备和系统，从而有效地解决实际问题，但具体领域并不明确。,1,NO,
