test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Nature - 1,32,32,15,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 12 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 13 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #1: 13 words; Round 1, misinformed_clues #2: 13 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #7: 13 words; Round 2, informed_clues #9: 14 words; Round 2, fake_clues #3: 14 words",100.0%
2,Nature - 2,30,30,3,0,"Round 1, informed_clues #1: 21 words; Round 1, informed_clues #6: 14 words; Round 2, misinformed_clues #1: 22 words",100.0%
3,Nature - 3,30,30,5,0,"Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 14 words; Round 1, misinformed_clues #2: 21 words; Round 1, fake_clues #2: 13 words; Round 2, informed_clues #9: 14 words",100.0%
4,Nature - 4,31,31,3,0,"Round 1, extra_clues #1: 14 words; Round 2, informed_clues #4: 12 words; Round 2, informed_clues #7: 14 words",100.0%
5,Nature - 5,32,32,2,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #10: 14 words",100.0%
6,Nature - 6,30,30,1,0,"Round 1, fake_clues #2: 14 words",100.0%
7,Nature - 7,30,30,3,0,"Round 1, fake_clues #2: 14 words; Round 2, misinformed_clues #1: 14 words; Round 2, fake_clues #2: 14 words",100.0%
8,Nature - 8,30,30,1,0,"Round 1, informed_clues #8: 14 words",100.0%
9,Nature - 9,31,31,3,0,"Round 2, informed_clues #1: 14 words; Round 2, informed_clues #9: 21 words; Round 2, fake_clues #3: 21 words",100.0%
10,Nature - 10,30,30,6,0,"Round 1, informed_clues #5: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #3: 14 words",100.0%
