test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,1,"Этот жанр включает развитие персонажа, часто через получение опыта, повышение уровня и приобретение новых способностей и предметов. Это точно РПГ!",20,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,2,"Игроки обычно управляют персонажем или группой персонажей, принимая решения, которые влияют на исход истории. Это характерно для данного жанра.",19,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,3,"Этот жанр фокусируется на истории и развитии персонажей, позволяя исследовать богатые миры и взаимодействовать с неигровыми персонажами. Отличный выбор для любителей сюжета.",22,NO,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,4,"Обычно включает в себя квесты, задания или миссии, которые игроки должны выполнить, чтобы продвинуться по сюжету игры. Это жанр РПГ.",20,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,5,"Предлагает ощущение свободы и исследования, позволяя игрокам открывать новые области и раскрывать секреты. Это точно про захватывающие ролевые игры.",19,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,6,"Захватывающие миры часто создаются путем включения элементов фэнтези, научной фантастики или исторических периодов, что характерно для данного жанра игр.",19,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,7,"Этот стиль игры позволяет игрокам настраивать своих персонажей, используя разнообразные навыки и атрибуты, чтобы добиться успеха в игре.",18,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,8,"Этот жанр часто включает в себя огромный мир с разнообразными локациями, где игроки могут исследовать и находить спрятанные предметы.",19,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",informed,9,"Этот жанр часто позволяет игрокам делать выбор, влияющий на развитие сюжета и взаимоотношения между персонажами. Выбор очевиден, не так ли?",20,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",misinformed,1,"Это форма цифрового медиа, которая рассказывает истории и развлекает аудиторию захватывающими повествованиями, но не указывает на конкретный жанр.",18,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",misinformed,2,"Игроки сталкиваются с испытаниями, решая задачи в рамках установленных правил, требующих стратегического планирования и быстрого принятия решений для победы.",19,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",fake,1,"Эта игра требует тактических решений, распределения ресурсов и стратегического планирования для достижения победы на поле боя. Это точно стратегия, а не РПГ.",22,NO,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",fake,2,"В этой игре вы будете исследовать мир, решать головоломки, но это не приведет вас к правильному ответу.",17,YES,
1,Video Games,1,РПГ,"РПГ, Приключение, Стратегия",fake,3,"Эта интерактивная среда поощряет исследования и открытия, позволяя игрокам пересекать ландшафты, искать сокровища и секреты, но это не РПГ.",19,YES,
