test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Broadcast Media - 1,28,28,11,0,"Round 1, informed_clues #4: 11 words; Round 1, informed_clues #5: 12 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #8: 14 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #1: 13 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words; Round 2, extra_clues #1: 14 words",100.0%
2,Broadcast Media - 2,28,28,14,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 12 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 14 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 12 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 14 words",100.0%
3,Broadcast Media - 3,30,30,2,0,"Round 1, informed_clues #2: 14 words; Round 1, misinformed_clues #1: 14 words",100.0%
4,Broadcast Media - 4,28,28,14,0,"Round 1, informed_clues #3: 13 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 14 words; Round 1, misinformed_clues #1: 13 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 13 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #6: 14 words; Round 2, misinformed_clues #1: 14 words; Round 2, extra_clues #1: 14 words",100.0%
5,Broadcast Media - 5,29,29,3,0,"Round 1, informed_clues #2: 14 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #1: 14 words",100.0%
6,Broadcast Media - 6,30,30,5,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #7: 13 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #4: 14 words",100.0%
7,Broadcast Media - 7,28,28,5,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #8: 13 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #5: 14 words",100.0%
8,Broadcast Media - 8,28,28,8,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #3: 12 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 11 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #7: 14 words",100.0%
9,Broadcast Media - 9,28,28,17,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 14 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 13 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #5: 13 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 13 words; Round 2, misinformed_clues #1: 14 words",100.0%
10,Broadcast Media - 10,28,28,20,0,"Round 1, informed_clues #1: 13 words; Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 13 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #6: 13 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #1: 13 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #2: 12 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #7: 13 words; Round 2, informed_clues #8: 13 words; Round 2, informed_clues #9: 12 words; Round 2, misinformed_clues #1: 14 words; Round 2, misinformed_clues #2: 14 words; Round 2, extra_clues #1: 14 words",100.0%
