test_run,topic_category,topic_specific,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,1,A medium that tells stories through moving images and sound.,10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,2,"Often includes dialogue, music, and visual effects.",7,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,3,Can be fictional or based on real events.,8,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,4,Usually watched on a screen or in a theater.,9,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,5,"Can be categorized into genres like action, comedy, or drama.",10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,6,Directors oversee the creation and storytelling process.,7,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,7,Actors portray characters to bring the story to life.,9,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,8,"Movies can be based on books, true stories, or original ideas.",11,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",informed,9,They often have opening and ending credits.,7,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",misinformed,1,It’s something you might find in a photo album.,9,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",misinformed,2,It’s often performed live on a stage.,7,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",fake,1,It’s a type of food you can eat while watching sports.,11,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",fake,2,It’s a form of exercise that involves running.,8,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,1,movie,"book, movie, song",extra,1,"It combines visuals, sound, and storytelling to create an immersive experience.",11,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,1,Features a young queen who becomes a central political figure.,10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,2,Involves a trade federation blockade as a key plot point.,10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,3,Introduces a mentor figure who is a Jedi Knight.,9,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,4,Includes a podracing sequence as a significant event.,8,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,5,Showcases a character with a unique speech pattern and wisdom.,10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,6,Focuses on the discovery of a young boy strong in the Force.,12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,7,Involves a Galactic Senate and political intrigue.,7,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,8,Features a dual-bladed lightsaber in a key duel.,8,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",informed,9,Introduces a Gungan species and their underwater city.,8,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",misinformed,1,It’s about a group of friends on a road trip across the country.,13,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",misinformed,2,It’s centered around a single father raising his child in a small town.,13,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",fake,1,It’s about a group of wizards attending a magical school.,10,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",fake,2,It’s set in a dystopian future with a rebellion against an AI.,12,NO,
1,Movie,Star Wars Episode I: The Phantom Menace,2,Star Wars Episode I: The Phantom Menace,"The Matrix, Star Wars Episode I: The Phantom Menace, Harry Potter and the Philosopher's Stone",extra,1,The story begins with a peaceful planet under threat from an invading force.,13,NO,
