test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,1,"Ce domaine se concentre sur l'étude du corps humain, de la santé et du traitement des maladies pour améliorer la vie.",21,NO,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,2,"Il englobe diverses techniques et procédures conçues pour diagnostiquer, traiter et prévenir les maladies chez l'homme.",16,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,3,"Ce domaine a connu des avancées majeures, augmentant l'espérance de vie et améliorant la qualité de vie de nombreuses personnes.",20,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,4,"Un secteur dédié à la préservation et à la restauration de la santé par la science, la recherche et les soins aux patients.",23,NO,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,5,"Il s'agit de diagnostiquer, traiter et prévenir les maladies et les blessures chez les personnes et les animaux.",18,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,6,"Cette discipline est cruciale pour promouvoir la santé publique et le bien-être, en utilisant des connaissances scientifiques pour les soins.",20,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,7,"Cela implique l'application de connaissances scientifiques au diagnostic, au traitement et à la prévention des maladies et des blessures.",19,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,8,Un domaine qui englobe un large éventail de pratiques visant à maintenir ou à rétablir le bien-être physique et mental.,20,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",informed,9,"Ce domaine englobe la science et l'art de la guérison, se concentrant sur le diagnostic et le traitement des maladies et des blessures.",23,NO,
1,Inventions,1,Médical,"Médical, Communication, Transport",misinformed,1,Ce domaine utilise des connaissances scientifiques pour résoudre des problèmes pratiques et améliorer la vie quotidienne grâce à l'innovation.,19,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",misinformed,2,C'est un domaine qui vise à améliorer la vie humaine grâce au développement de nouvelles solutions et de nouveaux outils.,20,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",fake,1,"Les avancées technologiques ont transformé la façon dont les soins sont administrés, permettant des diagnostics plus rapides et précis.",19,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",fake,2,L'utilisation de véhicules a permis de connecter des lieux éloignés et de faciliter les déplacements et les échanges commerciaux à l'échelle mondiale.,22,NO,
1,Inventions,1,Médical,"Médical, Communication, Transport",fake,3,"Ce secteur concerne l'amélioration de la santé par des interventions chirurgicales et des traitements médicamenteux, assurant le bien-être des patients.",20,YES,
1,Inventions,1,Médical,"Médical, Communication, Transport",extra,1,"Ce domaine s'intéresse à la science de la prévention et du traitement des maladies, ainsi qu'à la promotion de la santé chez les êtres vivants.",25,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,1,Introduit une version affaiblie ou inactive d'un agent pathogène pour stimuler le système immunitaire du corps.,16,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,2,Cette intervention médicale prépare le système immunitaire à reconnaître et à combattre un agent pathogène spécifique.,16,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,3,Une intervention médicale qui prévient la maladie en stimulant les défenses immunitaires du corps contre des agents infectieux et des maladies spécifiques.,22,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,4,Cette substance aide le corps à développer une immunité contre une maladie spécifique en entraînant le système immunitaire.,18,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,5,"Il est conçu pour protéger contre les maladies en stimulant la production d'anticorps, offrant une protection à long terme.",19,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,6,"Cette préparation biologique confère une immunité active contre des infections spécifiques, réduisant considérablement le risque de contracter ou d'aggraver la maladie.",21,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,7,"Un outil essentiel dans la lutte contre les maladies infectieuses, aidant à prévenir les épidémies et à protéger les populations.",20,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,8,"Cette avancée scientifique a considérablement aidé la lutte mondiale contre les maladies, se révélant vitale pour préserver de nombreuses vies à travers le monde.",24,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",informed,9,"C'est une préparation biologique qui améliore l'immunité contre une maladie particulière, essentielle pour la santé publique mondiale.",17,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",misinformed,1,"C'est un produit de la recherche scientifique, utilisé pour améliorer la santé et se protéger contre diverses maladies.",18,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",misinformed,2,Il a joué un rôle déterminant dans le sauvetage de vies et l'amélioration du bien-être général des populations à travers le monde.,22,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",fake,1,"Cet appareil utilisait le rayonnement électromagnétique pour révéler les structures internes du corps, améliorant fondamentalement les diagnostics et les traitements médicaux.",21,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",fake,2,"Ce médicament possède des propriétés curatives exceptionnelles, soignant rapidement les infections et soulageant la douleur, mais il ne prévient pas les maladies.",22,NO,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",fake,3,Une découverte révolutionnaire qui peut tuer les bactéries et empêcher la croissance des infections dans le système corporel.,18,YES,
1,Inventions,2,Vaccin,"Vaccin, Pénicilline, Rayon X",extra,1,Une substance administrée pour stimuler la production d'anticorps et conférer une immunité contre une ou plusieurs maladies.,17,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,1,"Cette méthode implique l'échange d'informations, d'idées et de sentiments entre deux ou plusieurs entités ou individus.",16,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,2,"Elle permet la diffusion des pensées, des connaissances et des émotions, essentielle à l'interaction humaine et au progrès sociétal.",19,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,3,"Ce processus facilite la connexion, permettant aux gens de partager des expériences, de construire des relations et de se comprendre mutuellement.",21,NO,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,4,"Cela peut être verbal ou non verbal, utilisant divers canaux pour transmettre efficacement des messages à travers le temps et l'espace.",21,NO,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,5,"Ce processus essentiel favorise la compréhension, la coopération et le partage d'informations, comblant les fossés entre les individus.",18,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,6,"Elle utilise divers outils et techniques, comme le langage, les symboles et la technologie, pour transmettre des informations et des idées.",21,NO,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,7,"Cette activité humaine essentielle est vitale pour bâtir des relations et des sociétés, permettant le partage d'informations et la collaboration.",20,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,8,"Ce processus soutient la transmission de pensées, de sentiments et de données, essentiels à la connexion et à la collaboration humaine.",21,NO,
2,Inventions,1,Communication,"Médical, Communication, Transport",informed,9,"Ce processus est essentiel à l'interaction humaine, permettant aux individus de partager des informations et de construire une compréhension mutuelle.",20,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",misinformed,1,"Cela implique un échange d'informations, d'idées ou de sentiments entre deux entités, quel que soit le domaine.",17,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",misinformed,2,"C'est un aspect essentiel des relations humaines, permettant l'échange d'idées et encourageant la compréhension mutuelle entre les individus.",18,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",fake,1,"Cette invention a révolutionné la façon dont les gens se soignent, améliorant considérablement l'espérance de vie et les traitements.",19,YES,
2,Inventions,1,Communication,"Médical, Communication, Transport",fake,2,Ce processus implique la création et l'application d'outils et de techniques pour diagnostiquer et traiter efficacement les maladies.,18,YES,
