test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Songs,1,Rock,"Rock, Pop, Classique",informed,1,"Ce style musical utilise souvent un son puissant, des instruments amplifiés et un niveau d'énergie élevé que les auditeurs peuvent ressentir.",21,NO,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,2,"Cette musique explore souvent les thèmes du changement, de l'indépendance et de la critique dans ses paroles et son ton général.",21,NO,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,3,"Ce genre se caractérise par une forte emphase sur le rythme et la percussion, créant un beat entraînant qui invite au mouvement.",22,NO,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,4,"Connu pour son utilisation de guitares électriques, de batteries et un fort accent sur le chant et les performances en direct.",21,NO,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,5,"Un style musical né du blues et de la country, qui a gagné en popularité au milieu du 20e siècle.",20,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,6,"Les morceaux contiennent souvent des structures complexes, avec des démonstrations instrumentales et des sections musicales étendues.",16,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,7,"Ce genre musical utilise souvent une guitare électrique saturée, créant une ambiance rebelle et énergique.",15,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,8,Ce genre musical se caractérise par son style de performance bruyant et énergique et son attitude rebelle.,17,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",informed,9,C'est un genre musical qui a un impact significatif sur la culture des jeunes et les tendances sociales.,18,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",misinformed,1,"C'est une forme d'expression artistique, souvent conçue pour évoquer des émotions et créer un lien avec les auditeurs.",18,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",misinformed,2,C'est une expression artistique qui manipule les vibrations sonores pour évoquer des émotions et raconter des histoires.,17,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",fake,1,"Implique souvent des mélodies soigneusement travaillées, des refrains accrocheurs et des paroles faciles à retenir et à chanter.",18,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",fake,2,"Ce genre se caractérise par l'utilisation de synthétiseurs, de rythmes électroniques et souvent de voix auto-tunées, ce qui le rend très populaire.",22,NO,
1,Songs,1,Rock,"Rock, Pop, Classique",fake,3,"Le style intègre souvent un orchestre complet, des thèmes sentimentaux et l'utilisation d'instruments classiques, mais pas de guitares électriques.",19,YES,
1,Songs,1,Rock,"Rock, Pop, Classique",extra,1,"Cette forme musicale mélange souvent des influences du blues, de la country et du rhythm and blues, créant un son unique.",21,NO,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,1,"Se distingue par sa structure unique, mêlant ballade, opéra et hard rock en un seul morceau.",16,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,2,"Ce morceau intègre un éventail varié de styles musicaux, notamment des sections d'opéra et de heavy rock.",17,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,3,La chanson contient des harmonies vocales superposées et des arrangements complexes qui contribuent à son ambiance théâtrale.,17,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,4,"Ce morceau musical est une composition de six minutes à la structure unique, qui transgresse les règles habituelles d'une chanson.",20,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,5,"Ce morceau est célèbre pour sa section opératique mémorable, ses harmonies vocales complexes et son interprétation théâtrale.",17,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,6,"Le contenu lyrique de cette œuvre musicale est réputé pour son interprétation ouverte, invitant à diverses lectures des thèmes abordés.",20,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,7,"Ce morceau mélange divers éléments musicaux, créant un paysage sonore unique et complexe pour l'auditeur.",15,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,8,"Elle commence par une intro au piano unique et mémorable, préparant le terrain pour une performance théâtrale.",17,YES,
