test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,1,This type of creature gives birth to live young and nurses them with milk produced by the mother.,18,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,2,"These warm-blooded organisms are often covered in hair or fur, maintaining a constant internal temperature regulation system.",17,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,3,"They possess specialized teeth, uniquely adapted to the specific methods of food consumption for their survival needs.",17,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,4,"Their internal framework is usually composed of a central backbone and four limbs, or modified forms of them.",18,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,5,These creatures frequently exhibit high cognitive skills and demonstrate intricate social behaviors in group dynamics.,15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,6,"They are found in diverse habitats, from the deepest oceans to the highest mountain ranges.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,7,"The developing young reside within the mother's body, receiving nourishment through a specialized placental structure.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,8,"These animals have a four-chambered heart, enabling the efficient circulation of oxygen-rich blood throughout their bodies.",16,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,9,"They are known for regulating their body temperatures, maintaining a consistent internal state within the animal's body.",17,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",misinformed,1,"This group of living things has evolved over time, adapting and changing their characteristics to survive in their environment.",19,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",misinformed,2,"These organisms display shared characteristics, encompassing cellular structure and the presence of genetic material, DNA.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",fake,1,"These creatures are characterized by an exoskeleton and lack a backbone, often found in water.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",fake,2,"Animals with segmented bodies often undergo a transformation during their life cycle, known as metamorphosis.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",fake,3,"A large group of animals that lack a backbone, often with simple body structures and systems.",16,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",extra,1,These creatures typically have a developed brain and complex sensory systems to successfully navigate and thrive.,16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,1,"This animal is distinguished by its large ears, which help regulate body temperature in hot climates.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,2,"Their social structure is matriarchal, with the oldest female leading the herd through the terrain.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,3,"The creatures utilize their elongated nose for various functions, including drinking water, smelling, and communication.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,4,"These animals are known for their impressive tusks, which are modified incisor teeth for defense.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,5,A large herbivore that plays a vital role in shaping its ecosystem through its feeding habits.,16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,6,"They are found in the savannas and forests of Africa, where they roam in search of food and water.",19,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,7,"These enormous mammals communicate via a variety of sounds, including deep, echoing vocalizations and booming reverberations through the air.",19,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,8,"This animal's gestation period is one of the longest in the animal kingdom, lasting nearly two years.",17,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,9,"They can remember other individuals and their locations for lengthy durations, showcasing exceptional memory capabilities.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",misinformed,1,"This animal is characterized by a long neck, which allows it to reach high into the trees for food.",19,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",misinformed,2,This animal is a large predator known for its powerful roar and social behavior in prides.,16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",fake,1,"This animal is known for its distinctive spots and long legs, well-adapted to the open plains.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",fake,2,"This animal is a powerful apex predator, known for its hunting prowess and social structure.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",fake,3,"This animal lives in groups, displaying complex social interactions, and is recognized by its distinctive mane.",16,YES,
