test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,1,通常涉及集体努力和策略，队员们互相协调，共同达成一个目标，需要团队合作。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,2,为了克服挑战并赢得比赛，成功的成果需要有效的沟通、合作和理解，缺一不可。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,3,强调协作和共同责任，这项活动的成功取决于成员和团队之间协调一致的行动。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,4,这项活动依赖于多个人的技能和努力，他们为了共同的目标而一起工作，互相配合。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,5,它促进社交互动，建立同志情谊，并在团队中培养归属感，让成员们紧密相连。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,6,涉及一群人对抗另一群人，需要战略规划和团队合作，最终目标是战胜对手。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,7,结果通常取决于许多个人为了共同的胜利而采取的同步行动，需要密切配合。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,8,这项活动通常强调团结的重要性，因为成员们需要相互依靠才能取得成功。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",informed,9,这项活动侧重于队员们齐心协力，以实现共同目标并最终赢得胜利。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",misinformed,1,这项活动需要身体的付出，策略性的思考，以及对特定目标或目的的追求，但具体形式并不明确。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",misinformed,2,这是一种娱乐形式，需要技巧、练习和竞争，才能吸引参与者和观众，但具体形式并不唯一。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",fake,1,参与者各自为战，依靠独特的技能和能力来创造个人最佳纪录，而非集体合作。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",fake,2,游戏中经常有两个人一起合作，结合各自的优势，以达成共同的目标，但这并非总是如此。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",fake,3,这是一项运动员独自竞争的运动，他们的目标是获得最高分或最快的时间，完全依靠个人能力。,1,NO,
1,Sports,1,团队运动,"团队运动, 个人运动, 双人运动",extra,1,共同的目标是通过团队中个人的协调行动来实现胜利，这需要集体合作和策略。,1,NO,
1,Sports,2,足球,"篮球, 足球, 美式橄榄球",informed,1,目标是将球踢入球场上指定球员把守的球网中得分，这是一种团队运动。,1,NO,
1,Sports,2,足球,"篮球, 足球, 美式橄榄球",informed,2,比赛在长方形的场地上进行，两队队员用脚控制球，争夺进球的机会。,1,NO,
1,Sports,2,足球,"篮球, 足球, 美式橄榄球",informed,3,这项运动风靡全球，以其简单的规则和激动人心的比赛，将世界各地的球迷团结在一起。,1,NO,
