test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Food,1,Italian,"Italian, Mediterranean, European",5,"The clues are highly specific to Italian cuisine without using any forbidden words or synonyms. They cover key aspects like pasta, generational traditions, fresh ingredients, tomatoes, cheese, communal dining, regional specialties, global celebration, cooking techniques, and transforming simple ingredients. The specificity is excellent.",3,"These clues are true for all three options (Italian, Mediterranean, European) as they all involve diverse dishes, fresh/seasonal ingredients, and worldwide enjoyment. They create genuine ambiguity by focusing on broad, shared characteristics of these culinary regions. They don't point away from Italian specifically, nor do they strongly point to Mediterranean or European over Italian.",5,"These clues are highly effective at misdirecting away from Italian cuisine. The first clue strongly suggests Spanish or Middle Eastern (saffron rice). The second points towards North African or Middle Eastern (spices like cinnamon, cloves, cardamom, stews). The third clearly points to French cuisine (butter, pastries, croissants). They are plausible but entirely unrelated to Italian.",,3,"The informed clues are very strong and specific, making the correct answer quite clear for someone familiar with the cuisine. The misinformed clues are good at creating some ambiguity, but the fake clues are so strongly pointed elsewhere that they might not cause enough confusion for the intended difficulty level. It's a moderate difficulty.","The informed clues are excellent and highly specific to Italian cuisine. The misinformed clues effectively capture the intersection of all three options without being too vague or too specific. The fake clues are very well-crafted to misdirect towards other specific cuisines, providing strong counter-options.",15,15,100%,16.9
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",4,"The clues focus on simplicity, quality ingredients, and a classic nature, which strongly points to Pizza Margherita. The clue about 'vibrant colors, reflecting the colors of a flag' is a particularly strong hint for the Margherita (red tomato, white mozzarella, green basil). Some clues could be slightly more distinct from each other, but overall they are good.",3,"These clues are factually true for all options. 'Simple ingredients' can apply to all three. 'Popular food' and 'wide range of flavors and textures' are also applicable to Paella, Croissant, and Pizza Margherita. They create ambiguity by being too general, which is the goal of misinformed clues.",5,"The fake clues are excellent. The first clue perfectly describes a Croissant. The second clue perfectly describes Paella. The third clue is a bit more generic but leans heavily towards a savory pastry or empanada, which could be a plausible misdirection for a savory dish. They are highly specific to the incorrect options and completely avoid the correct answer.",,3,"The informed clues are quite strong, especially the flag color clue, which makes the correct answer relatively clear for someone familiar with the options. However, the misinformed clues are well-crafted to create initial confusion, and the fake clues are highly deceptive. This balance makes it a medium difficulty.","The informed clues are well-crafted and specific enough to point towards Pizza Margherita, with the flag clue being a standout. The misinformed clues are general enough to apply to all options, fulfilling their purpose. The fake clues are highly effective in misdirecting towards Croissant and Paella. The difficulty is well-balanced.",15,15,100%,18.0
2,Food,1,Mexican,"Mexican, Latin American, British",5,"The clues are highly specific and descriptive, using terms like 'corn tortillas,' 'avocados,' 'lime,' 'beans,' 'rice,' and 'handmade flatbreads' which strongly point to Mexican cuisine without using the answer word itself. They avoid ambiguity and are precisely tailored to the correct answer.",1,"These clues are too vague and lack factual accuracy for all choices. 'Cooked and eaten, providing energy and nutrients' is true for all food, but not specific enough to be a good misinformed clue. 'Enjoyed by many people around the world' is also too broad and doesn't create productive confusion.",5,"The fake clues are highly effective. They specifically and plausibly describe British cuisine ('potatoes, meat pies,' 'fish and chips,' 'sweet and savory baked goods,' 'afternoon tea rituals') while being completely unrelated to Mexican cuisine, thus strongly misdirecting players away from the correct answer.",,4,"The informed clues are very strong and specific, making it relatively easy to identify the correct answer if one is familiar with the cuisine. The fake clues are also very strong and specific to a wrong answer, increasing the difficulty by presenting a compelling alternative. The misinformed clues are weak, which might make the overall game easier if players rely on them, but the strength of the informed and fake clues balances this.","The informed and fake clues are excellent, providing strong signals for the correct and incorrect answers, respectively. The misinformed clues are weak and do not effectively create ambiguity or confusion. The difficulty is appropriate due to the strength of the informed and fake clues.",15,15,100%,17.8
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",5,"The clues are highly specific to 'Tacos' without using any forbidden words. They describe the structure (folded tortilla), common ingredients (seasoned meats, vegetables, sauces, cilantro, onions, lime), serving style (with rice and beans), versatility, cultural prevalence, and social aspect, all of which strongly point to tacos.",3,"These clues are factually true for all three options. Empanadas and Tacos are handheld and have fillings. Jerk Chicken can be part of a meal or snack. The 'diverse culinary experience' and 'combination of flavors and textures' are applicable to all. It creates some ambiguity, but doesn't strongly mislead.",5,"The first clue ('flaky pastry shell') strongly points to Empanadas. The second clue ('spicy jerk seasoning, served with rice and peas') points directly to Jerk Chicken. The third clue ('dough is often filled... baked or fried') could apply to Empanadas or potentially other pastries, but combined with the first, it's highly misleading towards Empanadas. They effectively avoid mentioning tacos.",,3,"The informed clues are very strong for the correct answer, while the fake clues are highly targeted towards the incorrect options. The misinformed clues provide a moderate level of shared truth that could cause some initial confusion but are ultimately less impactful due to the strength of the informed and fake clues.",The informed clues are excellent and highly specific. The fake clues are also very effective at misdirecting towards specific incorrect answers. The misinformed clues are factually correct for all options but could be slightly more ambiguous to increase difficulty.,15,15,100%,17.3
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",5,"The clues are highly specific to Chinese cuisine, using precise descriptions of cooking methods, sauces, staple ingredients, historical context, flavor profiles, ingredient emphasis, dining customs, iconic dishes, and serving utensils. They avoid any overlap with the other choices and use descriptive language that does not contain the answer word or its direct synonyms.",3,"These clues are factually true for all three options (Chinese, Japanese, Vietnamese) as they all involve food, have long histories, and are significant parts of their respective cultures. They create ambiguity by being general enough to apply broadly to national cuisines. They do not eliminate any options.",5,"These clues are highly effective misdirections. The first clue strongly points to Japanese cuisine ('sushi and sashimi'). The second clue is a very good description of Vietnamese cuisine ('fresh herbs, rice noodles, and flavorful broths'). The third clue also strongly suggests Vietnamese cuisine ('fish sauce and lime juice', 'sweet, sour, salty, and spicy'). They completely avoid any connection to Chinese cuisine.",,4,"The informed clues are very strong and specific, making it relatively easy to identify the correct answer if one is familiar with the cuisines. However, the misinformed clues are well-crafted and could easily lead a player astray if they are not careful or if their knowledge is superficial. The fake clues are also very convincing for the incorrect options. This combination creates a good level of challenge.","The informed clues are excellent and precisely target the correct answer without contamination. The misinformed clues successfully create ambiguity by identifying shared characteristics of the cuisines. The fake clues are highly effective at misdirecting players towards the incorrect options, particularly Japanese and Vietnamese, making this a well-balanced and challenging game.",15,15,100%,17.6
3,Food,2,Dim Sum,"Dumplings, Dim Sum, Peking Duck",5,"The clues are highly specific to Dim Sum without using the answer word or obvious synonyms. They cover preparation methods (steaming), serving style (carts), social aspect, and typical ingredients. The clues are precise and avoid ambiguity, strongly pointing to the correct answer.",3,"These clues are true for all three options. Dumplings are small and shared. Dim Sum includes a selection of different ingredients and cooking styles. Peking Duck can be served in small portions (e.g., sliced for pancakes) and shared, and it involves various elements in its preparation and serving. The clues create genuine ambiguity by focusing on general characteristics of shared food experiences and culinary variety.",5,"The fake clues are excellent. The first clue directly and accurately describes Peking Duck. The third clue accurately describes Dumplings. These strongly mislead the player towards the incorrect options by providing highly specific and correct descriptions for them, while completely avoiding any connection to Dim Sum.",,4,"The informed clues are very strong and specific, making the correct answer identifiable. However, the misinformed clues are well-crafted to create plausible ambiguity, and the fake clues are highly deceptive, pointing directly to the incorrect answers. This combination requires careful consideration and makes the game challenging.","The informed clues are precise and descriptive, effectively guiding towards the correct answer without being too obvious. The misinformed clues are well-balanced, applying to all options and creating genuine confusion. The fake clues are exceptionally strong, providing accurate descriptions for the incorrect choices, making the misdirection very effective. The overall difficulty is high due to the quality of the misinformed and fake clues.",15,15,100%,16.6
4,Food,1,Japanese,"Japanese, Korean, Indian",4,"The clues are highly specific to Japanese cuisine without using any forbidden words. They effectively highlight the distinct characteristics like presentation, seasonality, umami, and ingredients like rice, noodles, and seafood. The score is 4 because while very good, there's always a slight possibility of overlap with extremely nuanced interpretations of other cuisines, though unlikely.",3,"These clues are factually true for Japanese, Korean, and Indian cuisines in a very general sense. 'Food culture involves preparation and consumption as central' is true for all. 'Uses a variety of spices, herbs, and other ingredients to enhance taste' is also true for all, though the *types* and *intensity* of spices differ greatly. This creates genuine ambiguity, fulfilling the criteria for a score of 3.",5,"These clues are highly effective at misdirecting towards Indian cuisine. 'Rich sauces, heavy use of spices, complex preparation,' 'variety of meats, focus on grilled and roasted, stews,' and 'use of dairy, cheese, and butter' are all strongly characteristic of Indian food and distinctly not Japanese. They avoid any overlap with the correct answer and are plausible descriptions for the incorrect choice.",,3,"The informed clues are very specific, pointing strongly to the correct answer. However, the misinformed clues are general enough to create some initial confusion, and the fake clues are strong misdirectors. This balance makes it a moderately challenging game.",The informed clues are excellent and precisely target Japanese cuisine. The misinformed clues are general enough to create ambiguity across all options. The fake clues are highly effective in misdirecting towards Indian cuisine. The difficulty is well-balanced.,15,15,100%,17.2
4,Food,2,Sushi,"Sushi, Tempura, Ramen",5,"The clues are highly specific and descriptive, using precise language that strongly points to 'Sushi' without using the word itself or obvious synonyms. They cover preparation, ingredients, presentation, and cultural context effectively.",3,"Clue 1 ('This food item is known for its visual appeal and the careful arrangement of ingredients on the plate.') is true for all three dishes, as presentation is important for all. Clue 2 ('This dish is often enjoyed in social settings, shared among friends and family, promoting togetherness.') is also true for all three. The ambiguity is present, but perhaps not as deeply nuanced as it could be. The score reflects its factual accuracy for all and its ability to create some confusion.",5,"These clues are excellent at misdirecting to 'Ramen' and 'Tempura'. The first and third clues perfectly describe Ramen, while the second clue strongly describes Tempura. They avoid any mention of rice or raw fish, effectively steering players away from Sushi.",,3,"The informed clues are specific enough to strongly suggest the correct answer for those who know it well, but the misinformed clues are well-crafted to create genuine confusion. The fake clues are also very strong misdirections. This combination creates a balanced difficulty.","The informed clues are excellent, providing a rich and accurate description of Sushi. The misinformed clues successfully identify shared characteristics of all three dishes, creating ambiguity. The fake clues are particularly strong in their misdirection towards Ramen and Tempura. The overall set provides a good challenge.",15,15,100%,16.3
5,Food,1,Indian,"Indian, African, Middle Eastern",5,The clues are highly specific to the correct answer without using forbidden words or synonyms. They effectively narrow down the choices to 'Indian'.,3,"These clues are factually true for Indian, African, and Middle Eastern cuisines in a broad sense (rich history, diverse dishes, unique flavors). They create some ambiguity but are not so specific as to point strongly to any single incorrect option.",5,"These clues are very effective at misdirecting to Middle Eastern cuisine, mentioning grilled meats, couscous, tagines, flatbreads, hummus, baba ghanoush, and falafel, which are not characteristic of Indian food.",,3,"The informed clues are strong, making the correct answer identifiable. The misinformed clues provide some distraction, and the fake clues are highly misleading, creating a balanced difficulty.",The informed clues are excellent. The misinformed clues are sufficiently vague to apply to all options. The fake clues are very strong misdirections towards Middle Eastern cuisine. The game is well-balanced.,15,15,100%,16.8
5,Food,2,Butter Chicken,"Chicken parmesan, Butter Chicken, Jerk Chicken",5,"The clues are highly specific and descriptive, accurately pointing to Butter Chicken without using any forbidden words or synonyms. They highlight key ingredients, cooking methods, and flavor profiles unique to Butter Chicken. The use of terms like 'creamy, tomato-based sauce,' 'naan bread or rice,' and 'tandoor' are excellent differentiators.",3,"The misinformed clues are factually true for all options. 'Popular and well-known' and 'combining and cooking various components' apply to all three chicken dishes. They create genuine ambiguity as intended, making it difficult to distinguish between the choices based solely on these statements.",5,"These clues are highly effective at misdirecting players towards Jerk Chicken. The mention of 'spicy marinade,' 'scotch bonnet peppers,' and 'slow-cooking' are strong indicators of Jerk Chicken, while being completely unrelated to Butter Chicken.",,3,"The informed clues are very strong and specific, making the correct answer identifiable for those familiar with the dishes. However, the well-crafted misinformed and fake clues provide sufficient misdirection and require careful consideration, balancing the difficulty.","The informed clues are excellent, providing precise details that clearly identify Butter Chicken. The misinformed clues successfully create ambiguity by being true for all options. The fake clues are highly effective at misdirecting towards Jerk Chicken. The overall balance of clues creates a good level of challenge.",15,15,100%,17.1
6,Food,1,Main Course,"Appetizer, Main Course, Dessert",5,"The clues are highly specific to the concept of a 'Main Course' without using any forbidden words. They focus on its substantial, central, and satisfying nature, effectively guiding the player towards the correct answer.",3,"These clues are factually true for all options (Appetizer, Main Course, Dessert) as they are all 'food items' that are 'prepared and served' for consumption and enjoyment. They create ambiguity by being universally applicable to any part of a meal.",5,"These clues are highly effective at misdirecting players. The first and third clues perfectly describe 'Appetizer' by focusing on being eaten before the main part and stimulating the appetite. The second clue clearly describes 'Dessert' as a sweet, rich dish at the end of a meal. None of these clues point to 'Main Course'.",,3,"The informed clues are very strong, and the fake clues are highly deceptive, creating a good balance of challenge. The misinformed clues are broad enough to be true for all but not so specific as to be immediately dismissible.","The informed clues are excellent, precisely defining the target without any overlap. The fake clues are masterfully crafted to describe the incorrect options, providing strong misdirection. The misinformed clues are appropriately generic to create genuine ambiguity across all choices.",15,15,100%,17.6
