test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Broadcast Media - 1,32,32,3,0,"Round 1, misinformed_clues #1: 14 words; Round 2, informed_clues #9: 13 words; Round 2, fake_clues #3: 21 words",100.0%
2,Broadcast Media - 2,30,30,8,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #8: 13 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words",100.0%
3,Broadcast Media - 3,30,30,3,0,"Round 1, informed_clues #3: 13 words; Round 1, informed_clues #7: 14 words; Round 2, fake_clues #3: 21 words",100.0%
4,Broadcast Media - 4,30,30,6,0,"Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 13 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 12 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #5: 13 words",100.0%
5,Broadcast Media - 5,30,30,9,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 14 words; Round 1, fake_clues #3: 13 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #6: 14 words; Round 2, misinformed_clues #2: 14 words; Round 2, fake_clues #3: 13 words",100.0%
6,Broadcast Media - 6,30,30,7,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, fake_clues #2: 13 words; Round 1, fake_clues #3: 13 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #7: 14 words; Round 2, misinformed_clues #1: 14 words",100.0%
7,Broadcast Media - 7,30,30,5,0,"Round 1, fake_clues #3: 13 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 14 words; Round 2, misinformed_clues #1: 14 words",100.0%
8,Broadcast Media - 8,30,30,9,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #2: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #5: 14 words; Round 2, fake_clues #3: 14 words",100.0%
9,Broadcast Media - 9,32,32,16,0,"Round 1, informed_clues #1: 13 words; Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #8: 11 words; Round 1, informed_clues #9: 12 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #4: 11 words; Round 2, informed_clues #5: 13 words; Round 2, informed_clues #6: 14 words; Round 2, misinformed_clues #2: 14 words; Round 2, fake_clues #3: 14 words",100.0%
10,Broadcast Media - 10,30,30,4,0,"Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #8: 14 words",100.0%
