test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,1,"Often shaped over long time spans through geological processes, these formations are awe-inspiring and stunning.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,2,"These substantial landmasses, spread across the globe, frequently exhibit distinctive geological formations and diverse ecosystems for observation.",17,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,3,"These geographical destinations often attract visitors, providing opportunities to see wildlife and stunning natural landscapes.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,4,"Many are preserved in parks and protected areas, ensuring their longevity and the preservation of habitats.",16,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,5,These places often draw people seeking immersion in the planet's untouched beauty and pristine environments.,15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,6,"Formations showcase a variety of shapes and sizes, from towering mountains to expansive plains and valleys.",16,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,7,"They can be a source of wonder and inspiration for many, and can be found on every continent.",18,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,8,These creations are the result of natural forces and are often home to a diverse array of life.,18,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,9,"These can be found in a variety of environments, from deserts to lush forests and icy landscapes.",17,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",misinformed,1,These locations are often visited by people for recreational purposes or as a means of tourism.,16,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",misinformed,2,They are a place that people like to visit and can be found in a wide variety of locations.,19,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",fake,1,These are constructed by humans and are often significant in the history of a civilization.,15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",fake,2,"These locations often feature constructed buildings and structures, mirroring societal evolution, economic advancements, and cultural shifts over time.",18,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",fake,3,These places are often associated with historical events and are meticulously preserved for future generations to learn from.,18,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",extra,1,These are often important habitats for wildlife and support a rich array of biodiversity for ecosystems.,16,YES,
