test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,1,这种音乐风格经常运用强劲的音效、放大乐器和高能量，听众可以感受到这种力量。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,2,这种音乐的歌词和整体基调经常探讨变革、独立和批判的思想，具有鲜明的个性。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,3,这种音乐类型以强烈的节奏和打击乐为特征，其充满动感的节拍能带动人们舞动起来。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,4,以电吉他、鼓和对人声及现场表演的强烈强调而闻名，它充满活力和叛逆精神。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,5,一种源于布鲁斯和乡村音乐的音乐风格，在20世纪中期开始流行起来，充满活力与激情。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,6,这种音乐作品通常包含复杂的结构，具有器乐展示和延长的音乐部分，充满力量和激情。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,7,这种音乐经常以失真的电吉他声为特色，营造出一种叛逆的感觉，非常符合它的精神。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,8,这种音乐类型以其响亮而充满活力的表演风格和叛逆的态度为特征，深受年轻人的喜爱。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",informed,9,它是一种对青年文化和社会潮流产生重大影响的音乐类型，充满活力和叛逆精神。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",misinformed,1,这是一种艺术表达形式，旨在唤起情感并与听众建立联系，但风格并不固定，可以有很多变化。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",misinformed,2,它是一种艺术形式，运用声音和节奏来传递信息，创造独特的听觉体验，但风格并不固定。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",fake,1,通常包含精心制作的旋律、朗朗上口的副歌和易于记忆和跟唱的歌词，但这与摇滚无关。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",fake,2,这种音乐类型以合成器、电子节拍和自动调谐的人声为特色，与吉他、贝斯和鼓等传统乐器无关。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",fake,3,这种风格经常融合完整的管弦乐队、伤感的主题以及古典乐器的使用，与激情四射的摇滚乐截然不同。,1,NO,
1,Songs,1,摇滚,"摇滚, 流行, 古典",extra,1,这种音乐形式经常融合蓝调、乡村和节奏蓝调的影响，创造出一种独特的音乐风格。,1,NO,
1,Songs,2,波西米亚狂想曲 - 皇后乐队,"通往天堂的阶梯 - 齐柏林飞艇, 波西米亚狂想曲 - 皇后乐队, 加州旅馆 - 老鹰乐队",informed,1,这首歌结构独特，将民谣、歌剧和硬摇滚元素融为一体，堪称音乐史上的创举。,1,NO,
