test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,1,这些地貌通常经过漫长地质过程塑造而成，令人叹为观止，景色壮丽，是大自然的鬼斧神工。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,2,这些遍布全球的巨大地貌，常展现出独特的地质构造和多样的生态系统，供人们观察研究。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,3,这些地理目的地通常吸引游客，提供了观赏野生动物和令人惊叹的自然景观的机会。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,4,许多自然景观被保存在公园和保护区内，以确保其长期存在和栖息地的保护。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,5,这些地方通常吸引着那些寻求沉浸在地球未受破坏的美丽和原始环境中的人们。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,6,地貌形态各异，既有巍峨的高山，也有广阔的平原和深邃的峡谷，展现了大自然的鬼斧神工。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,7,它们是许多人惊叹和灵感的来源，在每个大陆都能找到它们的踪迹，令人叹为观止。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,8,这些景观是自然力量作用的结果，通常也是各种生物多样性的家园。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",informed,9,它们存在于各种环境中，从沙漠到茂密的森林，再到冰冷的景观，都可能找到它们的踪迹。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",misinformed,1,这些地点通常是人们为了休闲娱乐或旅游观光而经常光顾的地方，具有一定的吸引力。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",misinformed,2,它们是人们喜欢参观的地方，而且可以在各种各样的地点找到，非常受游客欢迎。,1,NO,
1,Places,1,自然景观,"自然景观, 城市地标, 历史遗迹",fake,1,这些通常是人类建造的，并且在文明历史中具有重要意义，例如长城或金字塔。,1,NO,
