test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Food,1,Italian,"Italian, Mediterranean, European",informed,1,This cuisine's influence is seen globally with dishes known for fresh ingredients and rich flavors.,15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,2,"The food is often served in courses, and it's a staple in many cultures around the world.",17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,3,"This food culture emphasizes social interaction, where families and groups share meals, creating a sense of community and connection.",19,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,4,"Characterized by the use of fresh herbs, high-quality olive oil, and simple cooking methods for delicious results.",17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,5,"This cuisine often showcases tomatoes, pasta, and cheese, creating iconic dishes that are well-known globally.",15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,6,Associated with a welcoming atmosphere and the enjoyment of shared meals among friends and family members.,16,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,7,The food culture is known for its wide array of regional variations and the different traditional dishes.,17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,8,"This style of cooking focuses on fresh, seasonal ingredients and simple preparations for its meals.",15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,9,It is a culinary tradition that has spread throughout the world and influenced many cultures.,15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",misinformed,1,This cuisine offers a variety of dishes enjoyed by people of all ages and backgrounds.,15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",misinformed,2,"Food is a common element in many human experiences, enjoyed by many people across numerous cultures and places.",18,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",fake,1,This cuisine is known for its use of spices and complex flavors from various regions.,15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",fake,2,"This cuisine often features ingredients associated with a healthy lifestyle, like fresh produce and salads.",15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",extra,1,"This cuisine often features the use of pasta, various sauces, and fresh ingredients to make food.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,1,"The dish features a simple combination of ingredients, but it is known for its flavor.",15,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,2,"It is a dish that is recognized by its use of specific colors, representing a flag.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,3,"The dish's simplicity is a highlight, as it shows the quality of the ingredients, giving a fresh taste.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,4,"The dish includes a base with a sauce, cheese, and a fresh herb on top.",15,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,5,"This dish is a classic, loved by many people worldwide, and often enjoyed in various different settings.",17,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,6,"The dish is a culinary staple, often prepared using a specific cheese that enhances its flavor.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,7,"It is a versatile dish, enjoyed as a meal or snack and perfect for sharing with friends.",17,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,8,"The dish is a testament to the art of simplicity, where the flavors blend in harmony to create a meal.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,9,"The dish is a culinary classic, perfect for any occasion, and loved by many people.",15,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",misinformed,1,The dish is a popular food item that is often enjoyed by people of all ages and backgrounds.,18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",misinformed,2,This meal is frequently prepared and consumed by people of many different cultures across the world.,16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,1,"This dish features layers of flaky pastry, often filled with a sweet and creamy filling.",15,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,2,"This dish is a savory delight, showcasing the flavors of saffron, rice, and seafood in its creation.",17,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",extra,1,"This dish is a culinary symbol that reflects simplicity, and uses quality ingredients in the meal.",16,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,1,"This cuisine is known for its vibrant spices, bold flavors, and diverse regional variations across the country.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,2,"It often features a base of corn or wheat tortillas, used to create numerous iconic dishes.",16,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,3,"This cuisine has influenced global culinary trends significantly, and it is loved by people worldwide.",15,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,4,"This food culture blends indigenous ingredients with the influence of Spanish cuisine, making unique profiles.",15,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,5,"It is characterized by the use of fresh ingredients, including a wide array of chilies and herbs.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,6,"Dishes from this cuisine are often enjoyed with various toppings, such as salsa, guacamole, and sour cream.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,7,"This cuisine's popularity is due to its affordable dishes and accessible ingredients, which are easy to find.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,8,"The food culture provides a wide variety of vegetarian and vegan options, catering to different dietary needs.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,9,It is a cuisine that is often associated with festive gatherings and social celebrations with family and friends.,18,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",misinformed,1,"This cuisine is often associated with the gathering of people, celebrations, and sharing food together.",15,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",misinformed,2,The food often incorporates fresh ingredients and spices to create a wide variety of dishes.,15,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",fake,1,"This cuisine is characterized by hearty dishes like pies and stews, often served with potatoes.",15,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",fake,2,"This food culture is known for its use of rice, beans, and plantains, with various stews.",16,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",extra,1,It's a cuisine that has greatly impacted the culinary landscape and is enjoyed in many countries.,16,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,1,"This dish often features a soft or hard shell, and it can be filled with a variety of savory ingredients.",20,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,2,This particular food item is commonly eaten by hand and is a popular street food option.,16,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,3,"A versatile dish, its fillings can range from meat and seafood to vegetarian options for a quick meal.",18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,4,The item's name derives from a word meaning 'plug' or 'wad' which describes how it is assembled.,17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,5,"This food item can be customized with various toppings such as salsa, onions, cilantro, and lime juice.",17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,6,"The food is frequently served with a side of rice and beans, and is a staple in many cuisines.",19,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,7,This food item is known for its ease of preparation and the quickness with which it can be consumed.,19,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,8,This item's components are designed to be hand-held and provide a complete and satisfying meal.,15,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,9,"The ingredients include a tortilla, a protein, and various toppings that are easy to eat on the go.",18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",misinformed,1,"These foods are often served in a portable form, making them suitable for on-the-go consumption.",15,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",misinformed,2,"This food item can be customized with various fillings and toppings, catering to different tastes.",15,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",fake,1,"These dishes are often filled with a savory mixture of meat, vegetables, and spices, baked in a pastry.",18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",fake,2,"This food is prepared with marinated chicken, cooked over an open flame, and served with rice and peas.",18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",extra,1,This food item is a popular choice for informal gatherings and casual dining experiences worldwide.,15,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,1,"Originates from a vast, ancient civilization with a rich culinary history spanning millennia of tradition.",15,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,2,This cuisine's cooking methods often feature the use of woks and high-heat techniques for optimal flavor.,16,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,3,"It frequently incorporates ingredients like soy sauce, ginger, garlic, and scallions to build complex tastes.",15,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,4,"Often, it is served with rice and includes dishes meant for sharing among family and friends together.",17,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,5,"Dishes are known for their diverse flavors, textures, and the beautiful presentation of the food itself.",16,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,6,"The cuisine has many regional variations, each with unique ingredients, flavors, and cooking methods used.",15,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,7,"It is a cornerstone of many cultures and has spread globally, inspiring many variations and fusions.",16,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,8,"This food is often prepared with fresh ingredients, emphasizing balance and harmony in every dish created.",16,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",informed,9,"This cuisine is known for its emphasis on communal dining, with dishes designed to be shared around tables.",18,YES,
3,Food,1,Chinese,"Chinese, Japanese, Vietnamese",misinformed,1,This food culture is often associated with the use of chopsticks and the importance of tea ceremonies.,17,YES,
