test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,1,"This activity demands collaboration, where combined efforts lead towards a shared objective with defined roles.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,2,"Players collaborate, strategically positioning themselves to achieve a common goal through coordinated movements and actions.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,3,"Winning often hinges on players working together, supporting each other and coordinating their actions precisely.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,4,"Successful teams must plan strategically, using tactics to outmaneuver rivals and secure victory through effective decision-making processes.",17,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,5,"This form of competition emphasizes camaraderie, requiring mutual respect and understanding among all participants involved.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,6,"It typically involves various positions, with each player contributing unique skills to the team's overall performance.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,7,"Training and practice are vital, where teams refine their strategies and coordination to enhance teamwork.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,8,"The outcome depends on the collective performance, where each player's contribution impacts the final result significantly.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,9,"It often features a coach who provides guidance, making strategic decisions and fostering team cohesion overall.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",informed,10,"The game is based on shared responsibility, with each member contributing to the team's success together.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",misinformed,1,"Involves physical activity, competition, and adherence to established rules, with regulations governing the proceedings entirely.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",misinformed,2,"Competitors often engage in physical exertion, requiring strategy, skill, and adherence to specific guidelines overall.",15,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",fake,1,"This competition emphasizes individual talent, highlighting one person's abilities while pushing physical boundaries dramatically and impressively.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",fake,2,"This event involves one-on-one competition, where athletes use their skills to overcome their direct opponent quickly.",16,YES,
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",extra,1,"Communication is vital; players exchange information to coordinate actions, ensuring precise and effective teamwork execution.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,1,The goal is to move a spherical object across a field and into a net with the use of feet.,20,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,2,"Players use their lower extremities to direct a ball, aiming to score points by passing it carefully.",17,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,3,"This sport enjoys global popularity, boasting a significant following and numerous professional leagues across the globe.",16,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,4,"It demands stamina and agility, as players must cover significant distances throughout the match itself.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,5,"The game involves strategic positioning, with players aiming to outmaneuver opponents and score goals quickly.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,6,"Tactics and formations are essential, with teams employing diverse strategies to gain a competitive advantage together in each match.",19,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,7,"It features a variety of skills, including passing, dribbling, and shooting to score goals effectively.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,8,"Offside rules add a layer of complexity, carefully dictating player positions during attacking plays and maneuvers.",16,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,9,"Games are often divided into two halves, with a halftime break for rest and strategic adjustments overall.",17,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",informed,10,"The sport features distinctive attire, including jerseys, shorts, socks, and specifically designed footwear for players.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",misinformed,1,"This sport involves a ball and requires physical exertion, strategic thinking, and teamwork from players.",15,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",misinformed,2,The objective of the game is to score points by moving an object into a designated area effectively and quickly.,20,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",fake,1,"Players use a ball and shoot it through a hoop, relying on skill, coordination, and athletic ability overall.",18,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",fake,2,"Players compete on a court, using a ball and aiming to score points by throwing the ball into a basket.",20,YES,
1,Sports,2,Soccer,"Basketball, Soccer, Football",extra,1,"This sport is played on a rectangular field, with the objective of scoring goals with the feet.",17,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,1,This type of competition emphasizes personal skill and the effort one puts into training and preparation.,16,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,2,"Athletes compete solo, relying on their individual abilities to achieve victory, showcasing personal prowess directly.",15,YES,
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",informed,3,"Success hinges on self-discipline, with athletes bearing the full responsibility for their performance in the arena.",16,YES,
