test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,1,"L'influence de cette cuisine se retrouve dans les plats de pâtes, réputés pour leur polyvalence et leur capacité à intégrer divers ingrédients.",22,NO,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,2,"Cette cuisine possède une histoire riche, avec des traditions culinaires transmises de génération en génération au sein des familles.",19,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,3,"Une cuisine réputée pour son utilisation d'herbes fraîches, d'huile d'olive et d'ingrédients simples pour créer des plats savoureux.",18,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,4,Ce style culinaire propose souvent des plats centrés sur l'utilisation de tomates et de fromage de qualité.,17,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,5,C'est une tradition culinaire qui met l'accent sur le partage des repas et les expériences gastronomiques communautaires.,17,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,6,"La culture culinaire met fortement l'accent sur les spécialités régionales, chaque zone offrant des saveurs et des plats uniques.",19,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,7,Ce type de cuisine est mondialement reconnu pour sa diversité de plats et son utilisation d'ingrédients frais.,17,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,8,"Cette tradition culinaire propose souvent des plats préparés avec des techniques comme la grillade, la cuisson au four et le ragoût.",21,NO,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",informed,9,Cette cuisine est réputée pour sa capacité à transformer des ingrédients simples en plats complexes et satisfaisants.,17,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",misinformed,1,"Une tradition culinaire qui propose une variété de plats et de styles de cuisine, utilisant souvent des ingrédients frais et de saison.",22,NO,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",misinformed,2,Cette culture culinaire offre une grande variété de saveurs et d'expériences gustatives appréciées dans le monde entier.,17,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",fake,1,"Les plats de cette cuisine utilisent souvent le riz comme base, fréquemment assaisonné de safran pour une saveur distinctive.",19,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",fake,2,"Cette culture culinaire est réputée pour son utilisation d'épices variées, comme la cannelle, les clous de girofle et la cardamome, ainsi que les ragoûts.",24,NO,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",fake,3,"Cette tradition culinaire est réputée pour son utilisation de beurre et de pâtisseries, notamment les croissants, souvent dégustés au petit-déjeuner.",20,YES,
1,Food,1,Italien,"Italien, Méditerranéen, Européen",extra,1,"Cette cuisine se caractérise par des saveurs et des méthodes de cuisson variées, utilisant souvent des ingrédients locaux et des recettes familiales.",22,NO,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,1,"La simplicité de ce plat est sa force, offrant un équilibre harmonieux de saveurs et de textures à chaque bouchée.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,2,"Ce plat est un classique, apprécié pour ses ingrédients simples qui créent une expérience culinaire satisfaisante.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,3,"Ce style culinaire mise souvent sur l'utilisation d'ingrédients de qualité en quantité limitée, offrant une expérience gustative délicieuse.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,4,"Ce plat honore ses origines par ses ingrédients soigneusement sélectionnés, chacun jouant un rôle crucial dans le goût.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,5,"Cet aliment est célèbre pour ses couleurs vives, rappelant celles d'un drapeau, et c'est un classique très apprécié.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,6,"Sa simplicité en fait un plat très apprécié, aimé pour ses ingrédients frais qui s'assemblent harmonieusement.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,7,"Ce plat offre un mélange parfait de textures, de la base moelleuse aux ingrédients fondants qui la recouvrent.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,8,"Ce plat met en valeur la qualité de ses ingrédients, créant un goût mémorable, à la fois classique et simple.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,9,"L'attrait de ce plat réside dans sa préparation simple, permettant aux saveurs de prendre le devant de la scène.",19,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",misinformed,1,"Cet aliment est préparé avec des ingrédients simples, ce qui en fait un plat apprécié par de nombreuses personnes à travers le monde.",23,NO,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",misinformed,2,"Ce plat est un mets populaire, offrant une vaste gamme de saveurs et de textures pour ses nombreux consommateurs.",19,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,1,"Ce plat est une viennoiserie feuilletée, souvent consommée au petit-déjeuner, et réputée pour son goût beurré et sa forme distinctive.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,2,"Ce plat est un repas savoureux à base de riz, souvent cuisiné dans une grande poêle avec différents types de fruits de mer.",23,NO,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,3,"Ce plat est réputé pour sa complexité et ses nombreuses variations, idéal pour un repas copieux et élaboré.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",extra,1,"Ce plat offre une explosion de saveurs fraîches, misant sur des ingrédients de qualité pour créer un repas parfait.",19,YES,
2,Food,1,Mexicain,"Mexicain, Latino-Américain, Britannique",informed,1,"Les plats colorés de cette cuisine utilisent souvent des tortillas de maïs, des viandes savoureuses et des piments forts pour créer des repas délicieux.",24,NO,
2,Food,1,Mexicain,"Mexicain, Latino-Américain, Britannique",informed,2,"La culture culinaire est réputée pour ses saveurs audacieuses, avec des ingrédients comme l'avocat, le citron vert et diverses épices.",20,YES,
2,Food,1,Mexicain,"Mexicain, Latino-Américain, Britannique",informed,3,"Ce type de cuisine possède de nombreuses variations régionales, chaque zone apportant des techniques et ingrédients uniques.",17,YES,
2,Food,1,Mexicain,"Mexicain, Latino-Américain, Britannique",informed,4,"C'est une tradition culinaire qui privilégie l'utilisation d'ingrédients frais, souvent combinés de manière complexe et savoureuse.",16,YES,
2,Food,1,Mexicain,"Mexicain, Latino-Américain, Britannique",informed,5,"Les plats de cette cuisine incorporent souvent des haricots, du riz et diverses sauces, contribuant à ses saveurs riches et variées.",21,NO,
2,Food,1,Mexicain,"Mexicain, Latino-Américain, Britannique",informed,6,"La culture culinaire propose des plats variés, souvent partagés en famille et entre amis dans un cadre convivial.",18,YES,
