test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Food,1,Итальянская,"Итальянская, Средиземноморская, Европейская",informed,1,"Влияние этой кухни заметно в блюдах из пасты, известных своей универсальностью и способностью включать разнообразные ингредиенты со всего мира.",19,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",informed,2,"Эта кухня имеет богатую историю, кулинарные традиции передаются из поколения в поколение в итальянских семьях. Очень популярна во всем мире.",20,YES,
1,Food,1,Итальянская,"Итальянская, Средиземноморская, Европейская",informed,3,"Эта кухня славится использованием свежих трав, оливкового масла и простых ингредиентов для создания ароматных и вкусных блюд. Очень популярна во всем мире.",22,NO,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",informed,4,"Этот кулинарный стиль часто включает блюда, в основе которых лежит использование томатов и сыра, что очень популярно во всем мире.",20,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",informed,5,"Это кулинарная традиция, подчеркивающая важность совместного приема пищи и общих обеденных впечатлений, особенно в кругу семьи и друзей.",18,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",informed,6,"Кулинарная культура делает акцент на региональных особенностях, где каждый регион предлагает уникальные вкусы и блюда. Это касается пасты и пиццы.",20,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",informed,7,"Эта кухня известна во всем мире своим разнообразием блюд и акцентом на свежие местные продукты, такие как оливки.",18,YES,
1,Food,1,Итальянская,"Итальянская, Средиземноморская, Европейская",informed,8,"Эта кулинарная традиция часто включает блюда, приготовленные с использованием таких техник, как жарка на гриле, запекание и тушение. Это очень вкусно!",21,NO,
1,Food,1,Итальянская,"Итальянская, Средиземноморская, Европейская",informed,9,"Эта кухня славится своей способностью превращать простые ингредиенты в сложные и восхитительные блюда, полные аромата и вкуса. Попробуйте сами!",19,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",misinformed,1,"Эта кулинарная традиция предлагает разнообразие блюд и стилей приготовления, часто с использованием свежих и сезонных ингредиентов. Выбор сделать непросто.",19,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",misinformed,2,"Эта кулинарная культура предлагает огромное разнообразие вкусов и ощущений, которые любят во всем мире, но не только в Италии.",19,YES,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",fake,1,"В этой кухне часто используют рис в качестве основного продукта, приправляя его шафраном для придания особого аромата, но это не так.",21,NO,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",fake,2,"Эта кулинарная культура славится использованием различных специй, таких как корица, гвоздика и кардамон, а также густых и насыщенных рагу. Это не Италия.",22,NO,
1,Food,1,Итальянский,"Итальянский, Средиземноморский, Европейский",fake,3,"Эта кулинарная традиция известна использованием сливочного масла и выпечки, особенно круассанов, которые любят на завтрак. Это совсем не про Италию.",20,YES,
1,Food,1,Итальянская,"Итальянская, Средиземноморская, Европейская",extra,1,"Эта кухня отличается разнообразием вкусов и методов приготовления, часто использует местные ингредиенты и семейные рецепты. Попробуйте настоящую пасту карбонара!",19,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,1,"Простота этого блюда – его сила, гармоничное сочетание вкусов и текстур в каждом кусочке делает его невероятно популярным во всем мире.",21,NO,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,2,"Это классическое блюдо, известное своими минимальными ингредиентами, которые вместе создают восхитительный и очень приятный кулинарный опыт.",16,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,3,"Этот кулинарный стиль часто полагается на использование немногих, но высококачественных ингредиентов, что приводит к восхитительному опыту для вкусовых рецепторов.",19,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,4,"Это блюдо чтит свои корни благодаря тщательно отобранным ингредиентам, каждый из которых играет решающую роль во вкусе.",17,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,5,"Это блюдо известно своими яркими цветами, отражающими цвета флага, и является любимой классикой во всем мире. Попробуйте!",17,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,6,"Простота этого блюда делает его фаворитом, любимым за свежие ингредиенты, которые гармонично сочетаются, создавая неповторимый вкус.",16,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,7,Это блюдо предлагает идеальное сочетание текстур: от мягкой основы до расплавленных ингредиентов начинки. Простота и вкус в каждом кусочке.,19,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,8,"Это блюдо, где качество ингредиентов сияет, создавая незабываемый вкус, который одновременно классический и простой. Простота и качество - вот залог успеха.",21,NO,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",informed,9,"Простота приготовления этого блюда позволяет вкусам раскрыться в полной мере, делая его невероятно привлекательным и любимым во всем мире.",19,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",misinformed,1,"Это блюдо готовится из простых ингредиентов, что делает его популярным выбором для многих людей в разных странах мира.",18,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",misinformed,2,Это блюдо очень популярно во всем мире и предлагает широкий выбор вкусов и текстур для своих многочисленных потребителей.,18,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",fake,1,"Это блюдо, как правило, выпекается и часто подается на завтрак. Оно имеет слоистую структуру и маслянистый вкус, но это не пицца.",21,NO,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",fake,2,"Это блюдо представляет собой ароматное блюдо из риса, которое часто готовится на большой сковороде с морепродуктами и специями.",18,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",fake,3,"Это блюдо, хотя и популярно, не имеет отношения к итальянской классике с томатами, базиликом и моцареллой, известной своей простотой.",19,YES,
1,Food,2,Пицца Маргарита,"Паэлья, Пицца Маргарита, Круассан",extra,1,"Это блюдо дарит взрыв свежих вкусов, полагаясь на качественные ингредиенты, чтобы создать идеальную трапезу. Простота и изысканность в одном.",19,YES,
2,Food,1,Мексиканская,"Мексиканская, Латиноамериканская, Британская",informed,1,"В этой кухне часто используют кукурузные тортильи, ароматное мясо и острый перец для создания восхитительных и красочных блюд.",18,YES,
2,Food,1,Мексиканская,"Мексиканская, Латиноамериканская, Британская",informed,2,"Эта кухня славится своими яркими вкусами, используя такие ингредиенты, как авокадо, лайм и разнообразные специи, что делает её неповторимой.",19,YES,
