test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Food,1,Italian,"Italian, Mediterranean, European",informed,1,"This cuisine's influence is seen in pasta dishes, known for their versatility and ability to incorporate various ingredients.",18,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,2,"The cuisine has a rich history, with culinary traditions passed down through generations of families.",15,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,3,"A cuisine known for its use of fresh herbs, olive oil, and simple ingredients to create flavorful dishes.",18,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,4,This culinary style often features dishes that are centered around the use of tomatoes and cheese.,16,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,5,It is a culinary tradition that emphasizes the importance of sharing meals and communal dining experiences.,16,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,6,"The food culture has a strong emphasis on regional specialties, each area offering unique flavors and dishes.",17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,7,This type of cuisine is celebrated globally for its diverse range of dishes and its focus on fresh produce.,19,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,8,"This is a food tradition that often features dishes prepared with techniques like grilling, baking, and stewing.",17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",informed,9,This cuisine is known for its ability to transform simple ingredients into complex and satisfying meals.,16,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",misinformed,1,"A culinary tradition that offers diverse dishes and cooking styles, often using fresh and seasonal ingredients.",16,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",misinformed,2,This food culture provides a wide variety of flavors and eating experiences that are enjoyed worldwide by many.,18,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",fake,1,"This cuisine's dishes often include rice as a staple, frequently seasoned with saffron for a distinctive flavor.",17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",fake,2,"This food culture is known for its use of various spices, such as cinnamon, cloves, and cardamom, and stews.",19,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",fake,3,"This culinary tradition is known for its use of butter and pastries, especially croissants, enjoyed for breakfast.",17,YES,
1,Food,1,Italian,"Italian, Mediterranean, European",extra,1,"This cuisine features diverse flavors and cooking methods, often using local ingredients and family recipes.",15,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,1,"This dish's simplicity is its strength, featuring a harmonious balance of flavors and textures in every bite.",17,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,2,"The dish is a classic, celebrated for its minimal ingredients that create a satisfying culinary experience.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,3,"This culinary style often relies on the use of few, high-quality ingredients, resulting in a delicious experience for the palate.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,4,"The dish honors its origins through its carefully selected ingredients, each playing a crucial role in taste.",17,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,5,"This food item is known for its vibrant colors, reflecting the colors of a flag, and is a beloved classic.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,6,"The dish's simplicity makes it a favorite, loved for its fresh ingredients that come together harmoniously.",16,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,7,"This food item offers a perfect blend of textures, from the soft base to the melted topping ingredients.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,8,"It's a dish where the quality of ingredients shines, creating a memorable taste that is both classic and simple.",19,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",informed,9,"The dish's appeal lies in its straightforward preparation, allowing the flavors to take center stage.",15,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",misinformed,1,"This food item is made with simple ingredients, creating a dish that is enjoyed by many people around the world.",20,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",misinformed,2,"This dish is a popular food, offering a wide range of flavors and textures for its many consumers.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,1,"This food item consists of a flaky pastry that is often eaten for breakfast, known for its buttery taste.",19,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,2,"This dish is a flavorful rice-based meal, frequently cooked in a large pan with various types of seafood.",18,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",fake,3,"This food item has a rich history and is known for its various fillings, perfect for a quick snack.",19,YES,
1,Food,2,Pizza Margherita,"Paella, Pizza Margherita, Croissant",extra,1,"This food item provides a burst of fresh flavors, relying on quality ingredients to create a perfect meal.",18,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,1,"This cuisine's vibrant dishes often use corn tortillas, flavorful meats, and spicy peppers to create delicious meals.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,2,"The food culture is known for its bold flavors, featuring ingredients like avocados, lime, and various spices.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,3,"This type of food has many different regional variations, with each area bringing unique techniques and ingredients.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,4,"It is a culinary tradition that embraces the use of fresh ingredients, often combined in complex and savory ways.",19,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,5,"This cuisine's dishes frequently incorporate beans, rice, and a variety of sauces, contributing to its rich flavors.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,6,The food culture offers many diverse dishes that are often shared with family and friends in a social setting.,19,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,7,"The cuisine is often associated with festive celebrations, with dishes that are both comforting and exciting.",16,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,8,"This cuisine features handmade flatbreads, which are a vital component in many dishes prepared and enjoyed by many.",18,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",informed,9,"This cuisine has a strong emphasis on fresh ingredients and bold flavors, offering a variety of tastes.",17,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",misinformed,1,"This cuisine includes dishes that are usually cooked and eaten, providing energy and nutrients for consumers.",16,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",misinformed,2,"This type of food is enjoyed by many people around the world, and there are many different variations.",18,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",fake,1,"This cuisine is known for its use of potatoes, meat pies, and other hearty dishes that are very popular.",19,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",fake,2,"This food is often associated with fish and chips, as well as a variety of sweet and savory baked goods.",20,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",fake,3,This type of food has a long history and is known for its traditional recipes and afternoon tea rituals.,19,YES,
2,Food,1,Mexican,"Mexican, Latin American, British",extra,1,This cuisine often uses a combination of spices and herbs to create a unique and flavorful taste experience.,18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,1,"These popular handheld treats often feature various fillings, such as seasoned meats, vegetables, and flavorful sauces.",16,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,2,"The dish is frequently served in a folded tortilla, which holds all the ingredients together for easy eating.",18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,3,"This food item often includes fresh toppings like cilantro, onions, and lime, adding to its delicious flavors.",17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,4,"These are often eaten with a variety of side dishes, like rice and beans, enhancing the dining experience.",18,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,5,"This dish is a versatile meal, with endless combinations of fillings, sauces, and toppings to enjoy.",16,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,6,"The food item is a staple in many cuisines, enjoyed by people of different backgrounds and cultures.",17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,7,"These are a common street food, offering a quick and satisfying meal for people on the go.",17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,8,"This food is often a social meal, enjoyed with family and friends, creating a sense of community.",17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",informed,9,"This dish's design makes it easy to eat, making it a favorite for both casual and formal dining experiences.",19,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",misinformed,1,"This food item is typically prepared with a variety of ingredients, creating a diverse culinary experience.",16,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",misinformed,2,"This dish is often enjoyed as a meal or snack, providing a combination of flavors and textures.",17,YES,
2,Food,2,Tacos,"Empanadas, Tacos, Jerk Chicken",fake,1,"This food features a flaky pastry shell that encases a savory or sweet filling, perfect for a quick snack.",19,YES,
