test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,1,Ce type de créature donne naissance à des petits vivants et les allaite avec du lait produit par la mère.,20,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,2,"Ces organismes à sang chaud sont souvent couverts de poils ou de fourrure, maintenant une température interne constante.",18,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,3,"Ils possèdent des dents spécialisées, uniquement adaptées aux méthodes spécifiques de consommation alimentaire pour leurs besoins de survie.",18,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,4,"Leur structure interne est généralement composée d'une colonne vertébrale centrale et de quatre membres, ou de formes modifiées de ceux-ci.",20,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,5,Ces créatures présentent souvent des compétences cognitives élevées et démontrent des comportements sociaux complexes au sein de groupes.,18,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,6,"On les trouve dans divers habitats, des océans les plus profonds aux plus hautes chaînes de montagnes.",17,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,7,"Les jeunes en développement résident dans le corps de la mère, recevant la nourriture via une structure placentaire spécialisée.",19,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,8,"Ces animaux ont un cœur à quatre chambres, permettant une circulation efficace du sang oxygéné dans tout leur corps.",19,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",informed,9,"Ils sont connus pour réguler leur température corporelle, maintenant un état interne constant dans le corps de l'animal.",18,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",misinformed,1,"Ce groupe d'êtres vivants a évolué, adaptant et modifiant ses caractéristiques pour survivre dans son environnement.",16,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",misinformed,2,"Ces organismes partagent des caractéristiques communes, notamment une structure cellulaire et la présence de matériel génétique, l'ADN.",17,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",fake,1,"Ces créatures sont caractérisées par un exosquelette et l'absence de colonne vertébrale, on les trouve souvent dans l'eau.",18,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",fake,2,"Les animaux au corps segmenté subissent souvent une transformation au cours de leur cycle de vie, appelée métamorphose.",18,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",fake,3,"Un vaste groupe d'animaux sans colonne vertébrale, souvent dotés de structures et de systèmes corporels simples.",16,YES,
1,Nature,1,Mammifère,"Invertébrés, Mammifère, Vertébrés",extra,1,Ces créatures possèdent généralement un cerveau développé et des systèmes sensoriels complexes pour naviguer et prospérer avec succès.,18,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,1,"Cet animal se distingue par ses grandes oreilles, qui l'aident à réguler sa température corporelle dans les climats chauds.",19,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,2,"Leur structure sociale est matriarcale, la femelle la plus âgée guidant le troupeau à travers le territoire.",17,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,3,"Ces créatures utilisent leur long nez pour diverses fonctions, notamment boire de l'eau, sentir et communiquer.",16,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,4,"Ces animaux sont connus pour leurs défenses impressionnantes, qui sont des incisives modifiées utilisées pour la défense.",17,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,5,Un grand herbivore qui joue un rôle vital dans la formation de son écosystème grâce à ses habitudes alimentaires.,19,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,6,"On les trouve dans les savanes et les forêts d'Afrique, où ils errent à la recherche de nourriture et d'eau.",20,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,7,"Ces énormes mammifères communiquent par divers sons, notamment des vocalisations profondes et des réverbérations retentissantes dans l'air.",17,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,8,"La période de gestation de cet animal est l'une des plus longues du règne animal, durant près de deux ans.",20,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",informed,9,"Ils peuvent se souvenir d'autres individus et de leurs emplacements pendant de longues périodes, démontrant des capacités de mémoire exceptionnelles.",20,YES,
1,Nature,2,Éléphant d'Afrique,"girafe, Éléphant d'Afrique, Lion",misinformed,1,"Cet animal se caractérise par un long cou, ce qui lui permet d'atteindre les hauteurs des arbres pour se nourrir.",20,YES,
