test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",5,"The clues are highly specific to the concept of 'Team Sport' without using any forbidden words. They effectively highlight collaboration, shared objectives, roles, and strategic planning. The variety of angles (roles, strategy, camaraderie, coaching) is excellent.",1,"These clues are far too general and do not create productive ambiguity. They are true for almost any competitive activity and do not plausibly describe any of the incorrect choices (Individual Sport, Dual Sport) while also being true for Team Sport. They are essentially tautological statements about competition.",5,"These clues are highly effective at misdirecting towards 'Individual Sport' and 'Dual Sport'. They focus on individual talent, one-on-one competition, and personal physical boundaries, which are the antithesis of the provided 'Informed' clues for 'Team Sport'.",,3,"The 'Informed' clues are very strong and specific, making it relatively easy to identify the correct answer. The 'Fake' clues are also quite strong in their misdirection. The 'Misinformed' clues are the weakest link, being too general to be useful. This balance leans towards a moderate difficulty.","The 'Informed' clues are excellent, providing clear and distinct reasons for the answer. The 'Fake' clues are also very good at misdirection. The 'Misinformed' clues are the primary area for improvement as they lack the required ambiguity and shared truth across all options.",15,15,100%,15.5
1,Sports,2,Soccer,"Basketball, Soccer, Football",5,"The clues are very specific to soccer, using descriptive language that avoids direct terminology. They cover various aspects like player actions, global reach, physical demands, strategy, skills, rules, game structure, and attire without using the word 'soccer' or its direct synonyms. The clues are distinct and offer different angles on the sport.",1,"These clues are far too general. While factually true for soccer, they are also true for basketball and football to a significant degree. They do not create productive ambiguity because they are almost entirely devoid of specific detail that could differentiate between the choices. They are too vague to be useful for misdirection or creating confusion.",5,"These clues are highly effective at misdirecting to 'Basketball'. They specifically mention shooting a ball through a hoop and playing on a court, which are defining characteristics of basketball and completely irrelevant to soccer or football.",,4,"The informed clues are excellent and specific, making the correct answer identifiable for someone familiar with the sport. However, the misinformed clues are so vague and the fake clues so strongly point to basketball that the overall puzzle might lean towards being too easy if the player focuses on eliminating the fake clues first. A player might struggle to connect the general misinformed clues to soccer if they can't discard them easily, but the strong fake clues make it solvable. The difficulty is moderate.","The informed clues are of excellent quality and highly specific to the answer. The fake clues are also excellent, providing strong misdirection towards basketball. The misinformed clues are the weakest link, being too vague to be effectively ambiguous. The game is well-structured with strong correct and fake clues.",15,15,100%,17.0
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",5,"The clues are highly specific to 'Individual Sport' and avoid any overlap with 'Team Sport' or 'Dual Sport'. They focus on self-reliance, personal effort, and individual achievement, which are defining characteristics of the correct answer.",1,These clues are too general and do not create productive ambiguity. 'Athletes showcase physical and mental prowess while striving to reach the pinnacle of athletic competition' is true for all sports. 'This activity involves a contest or game where competitors strive to achieve a common objective or goal' is also true for all sports. They fail the crucial requirement of being true for all incorrect answers while being ambiguous.,5,"These clues are excellent misdirection. They perfectly describe 'Team Sport' by emphasizing 'players working together', 'coordinating actions', 'collective effort', and 'team's overall strategy and success', making them highly plausible for an incorrect choice.",,2,"The 'Informed' clues are very strong and specific, making the correct answer quite clear. The 'Fake' clues effectively point away from the correct answer. The 'Misinformed' clues are too weak and general to add any meaningful difficulty or ambiguity.",The 'Informed' and 'Fake' clues are well-crafted and serve their intended purposes effectively. The 'Misinformed' clues need significant revision to meet the criteria of productive ambiguity and shared truth across all options.,14,14,100%,15.6
2,Sports,2,Boxing,"Boxing, MMA, Wrestling",5,"The clues are highly specific and descriptive, accurately detailing the core mechanics and elements of boxing without using any forbidden terms. They clearly differentiate boxing from the other choices.",2,"The provided 'misinformed' clues are too general and do not effectively create ambiguity. They are factually true for boxing, but also broadly true for MMA and wrestling, which is the goal. However, they lack nuance and don't offer much productive confusion. They are too close to being 'informed' by their limited scope.",5,"These clues are excellent examples of misdirection. They directly describe elements common in MMA and wrestling (grappling, submissions, striking and grappling combinations) and are completely unrelated to boxing, strongly steering players towards the incorrect answers.",,3,"The 'informed' clues are strong and specific, making the correct answer relatively clear to someone familiar with combat sports. The 'fake' clues are very effective at misdirecting, but the overall balance leans towards a moderate difficulty, especially if the player can identify the specific nuances of the informed clues.","The 'informed' and 'fake' clues are well-crafted and serve their intended purposes effectively. The 'misinformed' clues could be improved to offer more nuanced ambiguity, but their current state doesn't significantly detract from the game's design. The combination of specific informed clues and highly deceptive fake clues creates a good challenge.",14,14,100%,16.1
3,Sports,1,Dual Sport,"Team Sport, Individual Sport, Dual Sport",5,"The clues are highly specific and descriptive, using phrases like 'two competitors or sides', 'direct opposition', 'head-to-head format', and 'two parties to engage in a physical competition'. These directly point to the nature of a dual sport without using the answer words or obvious synonyms. They avoid being overly general.",2,"The misinformed clues are too generic and could apply to almost any competitive activity, not just sports. 'Physical exertion, strategic thinking, and mental toughness' and 'human individuals engage in activities, requiring physical effort, developing skills, and strategic thinking' are true for team, individual, and dual sports. They don't create productive ambiguity because they offer no real distinguishing features. They are factually true for all options but lack the nuance needed for effective ambiguity.",5,"These clues are excellent examples of fake clues. The first clue ('group of people working together to achieve a shared goal') strongly points to 'Team Sport' without mentioning it. The second clue ('athletes competing individually, showcasing their skills and striving for personal best achievements') perfectly describes 'Individual Sport' without naming it. Both are completely unrelated to 'Dual Sport' and are highly plausible for their intended incorrect answers.",,3,"The informed clues are strong, and the fake clues are very effective at misdirection, making it a moderately challenging puzzle. The misinformed clues are weak, which slightly lowers the overall difficulty but doesn't make it too easy.",The informed clues are well-crafted and specific to the answer. The fake clues are highly effective at misdirecting towards the incorrect options. The misinformed clues are too generic and could be improved to create more productive ambiguity.,14,14,100%,16.4
3,Sports,2,Tennis,"Badminton, Tennis, Pickleball",5,"The clues are highly specific to tennis, using descriptive language that avoids direct synonyms or answer words. They focus on the mechanics of the game and the skills involved. The variety of phrasing is good.",3,"These clues are factually true for all three sports (tennis, badminton, pickleball) as they all involve a court, a net, a ball/shuttlecock, skill, strategy, and physical competition. However, they are quite general and might not create 'productive ambiguity' as much as a slightly more specific but still shared clue could. They don't actively mislead but don't strongly point away from tennis either.",5,"These clues are excellent misdirections. The first clue directly targets badminton ('shuttlecock') and the second targets pickleball ('paddles'). Neither clue is true for tennis, effectively steering the player away from the correct answer.",,3,"The informed clues are strong enough to guide towards tennis, but the misinformed clues are general enough that a player might hesitate. The fake clues are very effective at misdirection, balancing the difficulty.",The informed clues are well-crafted and specific to tennis. The fake clues are highly effective at misdirecting towards badminton and pickleball. The misinformed clues are factually true for all options but could be slightly more ambiguous to be more productive.,14,14,100%,18.0
4,Sports,1,Physical sports,"Physical sports, Mind sports, Motor sports",5,"The clues are highly specific and descriptive, using excellent paraphrasing. They clearly point to 'Physical sports' without using any forbidden words or synonyms. The variety of angles covered (exertion, strength, rules, judgment, strategy, entertainment, training, physical limits) is excellent.",1,"These clues are too vague and do not meet the critical requirements. They are true for 'Physical sports' but are also likely true for 'Mind sports' (strategic planning, competition, rules, scoring) and 'Motor sports' (competition, rules, scoring, human participants). The ambiguity is not productive; it's overly broad and fails to create confusion specific to the incorrect options.",5,"These clues are highly effective at misdirecting. The first clue perfectly describes 'Mind sports' (strategic thinking, mental acuity, anticipating moves). The second clue strongly points to 'Motor sports' (vehicles, racing, speed, tracks, roads). They completely avoid any connection to 'Physical sports'.",,4,"The 'Informed' clues are excellent and specific, making the correct answer clear if analyzed carefully. However, the 'Misinformed' clues are poorly constructed and too broad, failing to create the intended ambiguity. The 'Fake' clues are very strong misdirectors. The overall difficulty is elevated by the strong misdirection of the 'Fake' clues, despite the weakness of the 'Misinformed' ones.","The 'Informed' clues are top-notch, offering precise and varied descriptions of 'Physical sports'. The 'Fake' clues are also very effective, providing strong misdirection towards 'Mind sports' and 'Motor sports'. The major weakness lies in the 'Misinformed' clues, which are too general and fail to meet the requirement of being true for all incorrect options while remaining ambiguous. They are factually true for 'Physical sports' but do not create productive confusion with 'Mind sports' or 'Motor sports' as intended. If the 'Misinformed' clues were improved to be equally true for all incorrect options, the difficulty would be higher and more balanced.",14,14,100%,16.9
4,Sports,2,Rugby,"Rugby, AFL, american football",4,"Most clues are descriptive and avoid answer words. Some could be slightly more varied in their focus (e.g., not all about physical action). Clue 'It is a team sport played with an oval ball, emphasizing both individual skill and coordinated teamwork to win.' is a bit close to defining features, but acceptable.",4,"These clues are good examples of shared truths. 'The goal is to get the ball into a specific area to score points, demonstrating teamwork and strategic planning.' is true for all three sports. 'The game is known for its high level of physical contact and requires great athleticism from all players.' is also applicable to all three. They create productive ambiguity.",4,"The first fake clue 'The game is played with an oddly shaped ball, and the players use their feet to kick the ball.' strongly points to AFL and potentially American Football (less so, but possible). The second fake clue 'Played on a grassy area, this activity involves goals, uses a spherical object to score, and emphasizes teamwork and strategy.' is very generic but could lean towards American Football or even soccer if one wasn't familiar with the other options. They effectively misdirect.",,3,"The informed clues are strong enough to point towards Rugby, but the misinformed clues create enough doubt to make it not immediately obvious. The fake clues add a layer of misdirection, requiring careful consideration of the informed clues.",The set of clues is well-constructed. The informed clues are generally descriptive and avoid directly naming Rugby. The misinformed clues successfully create ambiguity by highlighting shared characteristics across the sports. The fake clues are plausible for incorrect answers and effectively misdirect. The difficulty level is appropriate.,14,14,100%,18.0
5,Sports,1,Mind Sport,"Physical sports, Mind sports, Motor sports",5,"Clues are excellent. They consistently highlight strategy, intellect, planning, analytical skills, mental acuity, concentration, memory, pattern recognition, quick thinking, risk evaluation, and mental dexterity, all while carefully avoiding any mention of physical activity or specific games. The language is descriptive and precise, directly pointing to 'Mind sports' without using forbidden terms.",2,"These clues are too vague. While factually true for all options, they lack the subtle ambiguity that makes for productive confusion. They don't offer enough shared ground that feels specific enough to be confusing without being too specific. They are almost too generic, failing to generate much of a dilemma.",5,"These clues are highly effective at misdirecting. The first clue strongly points to 'Motor sports' with 'swift movement, specialized transportation, and navigating complex pathways, requiring technical skills and expertise.' The second clue, 'This category often involves physical endurance, teamwork, and the execution of complex maneuvers and plays,' is a perfect fit for 'Physical sports.' They completely avoid any hint of the correct answer.",,4,"The 'Informed' clues are very strong and specific to the correct answer, making it relatively easy to identify. However, the 'Fake' clues are exceptionally well-crafted to misdirect towards the incorrect options, creating a significant challenge in differentiating between them. The 'Misinformed' clues are too weak to significantly impact the difficulty. The balance leans towards challenging due to the strength of the misdirection.","The 'Informed' clues are top-notch, providing clear and precise guidance towards 'Mind Sport' without any contamination. The 'Fake' clues are exceptionally well-designed for misdirection, strongly and plausibly pointing to 'Motor sports' and 'Physical sports' respectively. The 'Misinformed' clues are too generic to be effective in creating productive ambiguity. The overall difficulty is high due to the potent misdirection.",14,14,100%,15.9
5,Sports,2,Chess,"Chess, Go, Poker",5,"The clues are highly specific to Chess, using precise language that clearly distinguishes it from Go and Poker without directly naming any elements of the game. They cover strategy, history, mechanics, and cognitive benefits.",1,"These clues are too vague and could apply to almost any strategy game. They do not create productive ambiguity because they are not specific enough to any of the incorrect answers (Go, Poker) and are too general to be truly misleading. They fail the critical requirement of being true for ALL incorrect answers while avoiding specificity.",5,"These clues are excellent at misdirection. The first clue strongly points to Poker ('betting, bluffing, chips, money') and the second clue strongly points to Go ('grid, stones, surround territory, control the board'), effectively drawing attention away from Chess.",,3,"The informed clues are strong enough to point to the correct answer for those familiar with it, while the fake clues effectively misdirect. The misinformed clues are too weak to significantly impact difficulty. The difficulty is balanced.",The informed clues are well-crafted and highly specific to Chess. The fake clues are excellent at misdirecting players towards Poker and Go. The misinformed clues are too vague to be effective. The overall structure is good for a disinformer game.,14,14,100%,16.6
