test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Places - 1,28,28,3,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #2: 13 words",100.0%
2,Places - 2,28,28,10,0,"Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 13 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #5: 13 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 14 words; Round 2, fake_clues #1: 12 words",100.0%
3,Places - 3,30,30,12,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #8: 14 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #2: 12 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #4: 11 words; Round 2, informed_clues #6: 14 words; Round 2, misinformed_clues #2: 13 words; Round 2, extra_clues #1: 14 words",100.0%
4,Places - 4,30,30,5,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #10: 14 words; Round 2, informed_clues #5: 13 words; Round 2, informed_clues #6: 14 words; Round 2, extra_clues #1: 14 words",100.0%
5,Places - 5,28,28,11,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #8: 13 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 10 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #8: 14 words; Round 2, fake_clues #1: 14 words; Round 2, fake_clues #2: 13 words",100.0%
6,Places - 6,29,29,2,0,"Round 1, fake_clues #1: 14 words; Round 1, extra_clues #1: 13 words",100.0%
7,Places - 7,30,30,11,0,"Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #6: 13 words; Round 2, informed_clues #7: 13 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #10: 13 words; Round 2, fake_clues #1: 14 words",100.0%
8,Places - 8,30,30,2,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 14 words",100.0%
9,Places - 9,28,28,2,0,"Round 2, informed_clues #1: 21 words; Round 2, misinformed_clues #2: 21 words",100.0%
10,Places - 10,28,28,11,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #8: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #9: 14 words; Round 2, extra_clues #1: 13 words",100.0%
