test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Sports - 1,30,30,4,0,"Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #8: 14 words",100.0%
2,Sports - 2,30,30,16,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 12 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 12 words; Round 1, informed_clues #7: 12 words; Round 1, informed_clues #8: 14 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #2: 12 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #4: 12 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #8: 14 words; Round 2, misinformed_clues #1: 13 words",100.0%
3,Sports - 3,31,31,7,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 14 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #1: 21 words; Round 2, informed_clues #2: 13 words",100.0%
4,Sports - 4,30,30,4,0,"Round 1, informed_clues #2: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, misinformed_clues #2: 14 words; Round 2, fake_clues #3: 21 words",100.0%
5,Sports - 5,32,32,3,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #8: 14 words; Round 1, fake_clues #3: 14 words",100.0%
6,Sports - 6,31,31,14,0,"Round 1, informed_clues #5: 12 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #10: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #2: 12 words; Round 2, informed_clues #1: 13 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #7: 12 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #9: 13 words; Round 2, fake_clues #1: 14 words; Round 2, fake_clues #2: 12 words",100.0%
7,Sports - 7,32,32,10,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #2: 14 words; Round 1, informed_clues #8: 13 words; Round 1, misinformed_clues #2: 14 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #6: 13 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #9: 12 words; Round 2, misinformed_clues #3: 13 words",100.0%
8,Sports - 8,30,30,13,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #3: 13 words; Round 1, informed_clues #6: 13 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #3: 13 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #5: 12 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #9: 13 words; Round 2, extra_clues #1: 13 words",100.0%
9,Sports - 9,30,30,7,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #9: 12 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 14 words; Round 2, fake_clues #3: 13 words",100.0%
10,Sports - 10,30,30,4,0,"Round 1, misinformed_clues #1: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #6: 14 words; Round 2, fake_clues #3: 13 words",100.0%
