test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,1,"Эта платформа объединяет людей, позволяя им делиться новостями, мыслями и опытом с другими пользователями в интернете. Очень популярна сейчас.",19,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,2,"Это облегчает создание и распространение разнообразного контента, включая текстовые сообщения, изображения и видеоролики, для широкой аудитории пользователей интернета.",18,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,3,"Эта цифровая среда облегчает взаимодействие между пользователями, позволяя комментировать, взаимодействовать и делиться своими публикациями с другими людьми в сети.",19,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,4,"Эта цифровая платформа предоставляет инструменты для создания сообществ, эффективно объединяя людей со схожими интересами и опытом, что очень удобно.",19,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,5,"Эта форма коммуникации часто использует алгоритмы для настройки ленты контента в соответствии с предпочтениями каждого отдельного пользователя, что очень удобно.",20,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,6,"Эта платформа позволяет пользователям подписываться друг на друга, создавая сети связей и отношений, обмениваясь информацией и контентом в реальном времени.",20,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,7,"Эта платформа широко используется для маркетинга, позволяя компаниям эффективно охватывать свою целевую аудиторию и взаимодействовать с потенциальными клиентами.",18,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,8,"Это играет важную роль в формировании общественного мнения и облегчает распространение информации по всему миру, объединяя людей и идеи.",19,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",informed,9,"Этот инструмент постоянно развивается, предлагая новые функции и возможности для улучшения пользовательского опыта и расширения взаимодействия между людьми.",18,YES,
1,Technology,1,Социальные сети,"Социальные сети, Поисковая система, Электронная коммерция",misinformed,1,"Это способ обмена информацией, позволяющий людям по всему миру общаться и взаимодействовать друг с другом, но не определяет конкретную платформу.",20,YES,
