test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,1,يتجلى تأثير هذا المطبخ في أطباق المعكرونة، المعروفة بتنوعها وقدرتها على دمج مكونات مختلفة.,14,NO,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,2,يتمتع هذا المطبخ بتاريخ غني، حيث تنتقل التقاليد عبر الأجيال في العائلات، مما يجعله مميزًا.,15,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,3,تشتهر هذه المأكولات باستخدامها للأعشاب الطازجة وزيت الزيتون والمكونات البسيطة لإنشاء أطباق لذيذة ومليئة بالنكهات.,15,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,4,يتميز هذا النمط في الطهي بأطباق تعتمد بشكل كبير على استخدام الطماطم والجبن كمكونات أساسية.,15,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,5,إنه تقليد طهي يؤكد على أهمية مشاركة الوجبات وتجارب تناول الطعام الجماعية، مما يعزز الروابط الاجتماعية.,16,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,6,تتميز ثقافة الطعام بتركيز قوي على التخصصات الإقليمية، حيث تقدم كل منطقة نكهات وأطباقًا فريدة من نوعها.,17,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,7,يشتهر هذا النوع من المطبخ عالميًا بتنوع أطباقه وتركيزه على المنتجات الطازجة والمكونات عالية الجودة.,15,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,8,هذا تقليد غذائي يتميز غالبًا بأطباق محضرة بتقنيات مثل الشوي والخبز والطهي على نار هادئة.,15,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",informed,9,يشتهر هذا المطبخ بقدرته على تحويل المكونات البسيطة إلى وجبات معقدة ومرضية، مما يجعله خيارًا عالميًا مفضلًا.,17,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",misinformed,1,تقاليد طهي تقدم مجموعة متنوعة من الأطباق وأنماط الطبخ، وغالبًا ما تستخدم مكونات طازجة وموسمية.,15,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",misinformed,2,تقدم هذه الثقافة الغذائية مجموعة واسعة من النكهات وتجارب الأكل التي يستمتع بها الكثيرون في جميع أنحاء العالم.,18,YES,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",fake,1,تشتهر هذه الأطباق باستخدام الأرز كمكون أساسي، وغالبًا ما يتم تتبيله بالزعفران لإضفاء نكهة مميزة، مما يجعله أقرب إلى المطبخ الشرقي.,21,NO,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",fake,2,تشتهر هذه الثقافة الغذائية باستخدامها للتوابل المتنوعة، مثل القرفة والقرنفل والهيل، وتقديمها للأطباق المطهوة.,14,NO,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",fake,3,تشتهر هذه التقاليد في الطهي باستخدام الزبدة والمعجنات، وخاصة الكرواسان، الذي يتم الاستمتاع به في وجبة الإفطار، مما يجعله فرنسيًا وليس إيطاليًا.,22,NO,
1,Food,1,إيطالي,"إيطالي, متوسطي, أوروبي",extra,1,يتميز هذا المطبخ بنكهات متنوعة وأساليب طهي، وغالبًا ما يستخدم المكونات المحلية والوصفات العائلية المتوارثة.,15,YES,
1,Food,2,بيتزا مارغريتا,"بايلا, بيتزا مارغريتا, كرواسون",informed,1,يكمن جمال هذا الطبق في بساطته، حيث يتميز بتوازن متناغم بين النكهات والقوام في كل قضمة.,16,YES,
1,Food,2,بيتزا مارغريتا,"بايلا, بيتزا مارغريتا, كرواسون",informed,2,هذا الطبق كلاسيكي، ويشتهر بمكوناته البسيطة التي تخلق تجربة طهي مُرضية ومذاقًا لا يُنسى.,14,NO,
1,Food,2,بيتزا مارغريتا,"بايلا, بيتزا مارغريتا, كرواسون",informed,3,يعتمد هذا الأسلوب في الطهي غالبًا على استخدام عدد قليل من المكونات عالية الجودة، مما يؤدي إلى تجربة شهية للحنك.,20,YES,
