test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,1,"This field focuses on the study of the human body, health, and the treatment of diseases to improve life.",19,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,2,"It encompasses various techniques and procedures designed to diagnose, treat, and prevent illnesses in humans.",15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,3,"This area has seen significant advancements, leading to longer lifespans and enhanced quality of life for many people.",18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,4,"A sector dedicated to the preservation and restoration of health through science, research, and patient care.",16,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,5,"It deals with the practice of diagnosing, treating, and preventing illnesses and injuries in people and animals.",17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,6,"This discipline is crucial for promoting public health and well-being, utilizing scientific knowledge for care.",15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,7,"It involves the application of scientific knowledge to the diagnosis, treatment, and prevention of diseases and injuries.",17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,8,A field that encompasses a wide range of practices aimed at maintaining or restoring physical and mental wellness.,18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,9,"This domain concerns the science and art of healing, focusing on the diagnosis and treatment of disease and injury.",19,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",misinformed,1,This field employs scientific knowledge and engineering principles to solve practical challenges and enhance daily life through innovation.,18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",misinformed,2,It is a field that aims to improve human lives through the development of new solutions and tools.,18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",fake,1,Technological breakthroughs have transformed how data is shared across vast distances in a quick manner.,15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",fake,2,The use of vehicles has connected distant places and facilitated worldwide movement and the exchange of goods.,17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",fake,3,"This sector involves the instantaneous exchange of data via various channels, connecting people worldwide and fostering communication.",17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",extra,1,This area is concerned with the science of preventing and treating disease and promoting health in living beings.,18,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,1,Introduces a weakened or inactive version of a pathogen to stimulate the body's immune response system.,16,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,2,This medical intervention prepares the immune system to recognize and fight off a specific disease-causing agent.,16,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,3,A medical intervention that prevents illness by stimulating the body's immune defenses against specific infectious agents and diseases.,18,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,4,This substance helps the body develop immunity against a particular disease by training the immune system.,16,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,5,"It's designed to protect against illness by stimulating the production of antibodies, offering long-term protection.",15,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,6,"This biological preparation confers active immunity to specific infections, significantly reducing the risk of disease contraction or severity.",18,YES,
