test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,1,"Présente souvent des technologies avancées, des sociétés futuristes et des explorations de l'inconnu au-delà de notre compréhension actuelle.",18,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,2,"Ce genre spécule fréquemment sur les conséquences des avancées scientifiques et technologiques, qu'elles soient positives ou négatives.",17,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,3,"Explore des scénarios hypothétiques qui remettent en question notre perception de la réalité, du temps, de l'espace et de la condition humaine.",22,NO,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,4,"Inclut souvent des voyages spatiaux, des rencontres extraterrestres et des concepts scientifiques complexes qui repoussent les limites de la connaissance.",20,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,5,Présente souvent des récits stimulants qui examinent l'impact de la technologie sur la société et la vie individuelle.,18,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,6,Utilise fréquemment des visuels imaginatifs et des effets spéciaux pour créer des mondes immersifs et visuellement époustouflants pour les spectateurs.,20,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,7,"Utilise des techniques narratives pour explorer les thèmes de l'exploration, de la découverte et du potentiel de développement futur de l'humanité.",21,NO,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,8,"Inclut souvent des robots, l'intelligence artificielle et d'autres technologies avancées pour créer des récits captivants.",15,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",informed,9,"Ce genre met souvent en scène des sociétés dystopiques, où la technologie a mené à l'oppression et au contrôle sociétal.",20,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",misinformed,1,"Un divertissement qui utilise récit, personnages et décors, captivant le public mondial avec des histoires engageantes et immersives.",18,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",misinformed,2,"Un moyen d'expression créatif qui utilise des éléments visuels et auditifs pour créer des récits, des ambiances et des expériences.",20,YES,
1,Broadcast Media,1,Science-fiction,"Science-fiction, Horreur, Fantaisie",fake,1,"Ce genre explore souvent les événements surnaturels, les monstres et le suspense psychologique pour créer la peur.",17,YES,
