test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Songs,1,Рок,"Рок, Поп, Классика",informed,1,"Этот музыкальный стиль часто использует мощный звук, усиленные инструменты и высокий уровень энергии, который слушатели могут почувствовать на себе.",19,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,2,"Эта музыка часто исследует идеи перемен, независимости и критики в своих текстах и общем звучании, что делает её узнаваемой.",19,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,3,"Этот жанр выделяется акцентом на ритме и перкуссии, создавая энергичный бит, который побуждает к движению и танцам.",17,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,4,"Этот жанр известен использованием электрогитар, барабанов и сильным акцентом на вокале и живых выступлениях. Энергия и драйв – его главные черты.",21,NO,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,5,"Этот музыкальный стиль, зародившийся из блюза и кантри, приобрел огромную популярность в середине 20-го века, став голосом поколения.",18,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,6,"Для этого музыкального направления характерны сложные композиции, инструментальные пассажи и продолжительные музыкальные фрагменты, что указывает на энергичный стиль.",18,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,7,"Этот жанр музыки часто использует дисторшн электрогитары, создавая ощущение бунтарства и энергии. Яркие гитарные риффы – его визитная карточка.",19,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,8,"Этот музыкальный жанр отличается громким и энергичным стилем исполнения, а также бунтарским духом, что делает его легко узнаваемым.",18,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",informed,9,"Этот музыкальный жанр оказал огромное влияние на молодежную культуру и общественные тенденции, став голосом поколения и символом протеста.",18,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",misinformed,1,"Это форма художественного выражения, часто предназначенная для вызова эмоций и установления связи со слушателями. Многие жанры подходят под это описание.",20,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",misinformed,2,"Это форма искусства, использующая звук и ритм для передачи сообщений и создания определенного опыта, что делает выбор жанра затруднительным.",19,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",fake,1,"Несмотря на распространенное мнение, этот жанр не всегда про бунтарство, часто про простые мелодии и запоминающиеся тексты, совсем не про Рок.",21,NO,
1,Songs,1,Рок,"Рок, Поп, Классика",fake,2,"Этот жанр часто использует синтезаторы, электронные биты и вокал с автотюном, что совсем не относится к правильному ответу.",18,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",fake,3,"Этот стиль часто включает в себя полный оркестр, сентиментальные темы и использование классических инструментов, что совершенно не относится к року.",20,YES,
1,Songs,1,Рок,"Рок, Поп, Классика",extra,1,"Этот музыкальный жанр часто сочетает в себе элементы блюза, кантри и ритм-н-блюза, формируя уникальное и энергичное звучание. Слушайте внимательно!",19,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,1,"Эта песня отличается уникальной структурой, сочетая балладу, оперу и элементы хард-рока в одном произведении. Это настоящий музыкальный шедевр.",18,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",informed,2,"Эта песня сочетает в себе разнообразие музыкальных стилей, включая оперные и тяжелые роковые секции, что делает ее уникальной.",18,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,3,"Эта песня содержит многослойные вокальные гармонии и сложные аранжировки, которые добавляют ей театральности и делают ее запоминающейся для слушателей.",19,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",informed,4,"Эта музыкальная композиция длится шесть минут и имеет уникальную структуру, нарушающую типичные правила построения песен, что делает ее особенной.",19,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,5,"В песне есть запоминающаяся оперная часть со сложными вокальными гармониями и драматичным исполнением, что делает ее уникальной и узнаваемой.",19,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,6,"Текст этой музыкальной композиции известен своей открытой интерпретацией, поощряя различные толкования представленных тем, что делает её уникальной и запоминающейся.",19,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",informed,7,"Эта песня сочетает в себе различные музыкальные элементы, создавая уникальный и сложный звуковой ландшафт для слушателя. Это настоящий шедевр!",19,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",informed,8,"Эта песня начинается с отчетливого и запоминающегося вступления на фортепиано, подготавливающего почву для драматического исполнения, известного во всем мире.",19,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",informed,9,"Музыкальное видео этой песни стало одним из первых, получивших широкую ротацию на MTV, что сделало ее настоящим хитом.",18,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",misinformed,1,"Эта песня известна своим мощным вокалом, страстным исполнением и запоминающимися мелодиями, что делает её популярной среди многих слушателей.",18,YES,
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",misinformed,2,"Текст песни повествует об опыте, близком многим слушателям, но не раскрывает конкретное название известной рок-композиции группы Queen.",17,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",fake,1,"Эта вечная баллада рассказывает историю о любви, потере и непреходящей силе человеческого духа, но это совсем другая песня.",18,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",fake,2,"Эта песня рассказывает о путешествии к славе, о трудностях и испытаниях, которые необходимо преодолеть, чтобы достичь успеха и признания.",19,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",fake,3,"Эта песня, безусловно, является гимном хард-рока, но в ней нет ни одной гитарной партии, достойной особого внимания слушателя.",18,YES,
1,Songs,2,Богемская рапсодия - Queen,"Stairway to Heaven - Led Zeppelin, Богемская рапсодия - Queen, Hotel California - Eagles",extra,1,"Название песни намекает на беззаботный и нетрадиционный образ жизни, а также на художественное творчество и свободное самовыражение.",17,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",informed,1,"Этот музыкальный жанр часто использует запоминающиеся мелодии, простую структуру и доступные темы, чтобы привлечь широкую аудиторию слушателей.",17,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",informed,2,"Этот жанр характеризуется акцентом на мелодию, ритм, часто использует электронные и синтезированные звуки, ориентирован на массовое потребление.",17,YES,
2,Songs,1,Поп,"Поп, Рок, Танцевальная",informed,3,"Этот музыкальный жанр часто отличается отточенным звучанием, запоминающимися мелодиями и лаконичными аранжировками, идеально подходящими для радиоэфира и широкой публики.",19,YES,
2,Songs,1,Поп,"Поп, Рок, Танцевальная",informed,4,"Этот музыкальный стиль часто заимствует элементы из множества других жанров, создавая богатую и разнообразную звуковую палитру для слушателя.",18,YES,
2,Songs,1,Поп,"Поп, Рок, Танцевальная",informed,5,"Эта музыка часто затрагивает темы любви, отношений и повседневной жизни, находя отклик у широкой аудитории слушателей по всему миру.",19,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",informed,6,"Этот жанр часто выделяется сильным вокалом и запоминающимися припевами, вовлекая слушателей в подпевание и создавая приятную атмосферу.",17,YES,
2,Songs,1,Поп,"Поп, Рок, Танцевальная",informed,7,"Этот популярный стиль известен своим коммерческим успехом и способностью формировать культурные тенденции во всем мире, оказывая огромное влияние на слушателей.",20,YES,
2,Songs,1,Поп,"Поп, Рок, Танцевальная",informed,8,"Этот жанр часто использует инновационные методы производства для создания современного звучания, которое постоянно развивается и привлекает широкую аудиторию слушателей.",19,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",informed,9,"Этот жанр стремится к доступности, создавая музыку, которая легко воспринимается и широко понимается слушателями самых разных музыкальных вкусов и предпочтений.",20,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",misinformed,1,"Этот жанр музыки создан для прослушивания и получения удовольствия, он очень популярен среди разных людей и групп слушателей.",18,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",misinformed,2,"Этот жанр музыки состоит из звуков, ритма, мелодии и гармонии, создавая общее впечатление, но не указывает конкретно на поп-музыку.",19,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",fake,1,"Этот музыкальный жанр славится сложными гитарными риффами, мощным вокалом и бунтарским духом, бросающим вызов устоявшимся нормам. Это точно не поп-музыка.",20,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",fake,2,"Несмотря на то, что для этого жанра характерно использование электронных битов, это не поп-музыка, а скорее танцевальная, или даже техно.",20,YES,
2,Songs,1,Поп-музыка,"Поп-музыка, Рок-музыка, Танцевальная музыка",fake,3,"Этот музыкальный стиль делает акцент на импровизации, сложных гармониях и инструментальном мастерстве, привлекая определенную группу любителей музыки. Это точно не поп-музыка.",21,NO,
2,Songs,1,Поп,"Поп, Рок, Танцевальная",extra,1,"Этот музыкальный стиль делает акцент на запоминающихся мелодиях, повторяющихся структурах и танцевальных ритмах, стремясь к массовой популярности среди слушателей.",19,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,1,"В музыкальном видео этой песни человек едет по городу, освещенному яркими огнями, в ретро-эстетике, что создает неповторимую атмосферу.",18,YES,
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",informed,2,"Эта композиция сочетает в себе синт-вейв звучание, темы ночной жизни, желания и притягательности большого города, создавая неповторимую атмосферу.",18,YES,
