test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Songs,1,Rock,"Rock, Pop, Classic",5,"The clues are excellent. They use descriptive language that specifically points to 'Rock' without using the word itself or obvious synonyms. They cover various aspects like instrumentation, spirit, performance, themes, cultural impact, influences, and subgenres, all accurately describing 'Rock'.",2,"These clues are too vague. While factually true for 'Rock', they are also so general that they could apply to almost any music genre, including 'Pop' and 'Classic'. They don't create productive ambiguity because they don't offer any specific shared traits that would make a player guess between the options. They are almost universally true for any music.",5,"These clues are highly effective misdirection. The first clue strongly points to 'Pop' by mentioning synthesizers, drum machines, and auto-tuned vocals. The second clue also points to 'Pop' with catchy melodies, upbeat rhythms, and a focus on romantic relationships. They successfully avoid any association with 'Rock'.",,3,"The difficulty is moderate. The 'Informed' clues are strong enough to guide someone towards 'Rock' if they are familiar with the genre, but the 'Fake' clues provide significant misdirection towards 'Pop', requiring careful consideration of the 'Informed' clues to confirm the correct answer.","The 'Informed' and 'Fake' clues are very well-crafted and serve their intended purposes effectively. The 'Misinformed' clues are too generic and do not contribute to productive ambiguity, which is a requirement for that category.",14,14,100%,17.6
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",5,"The clues are highly specific and descriptive, using unique terminology like 'operatic sections', 'confession, regret, and acceptance', 'rock, opera, and ballad styles', 'iconic piano introduction', and 'unconventional structure'. These terms strongly point to 'Bohemian Rhapsody' without using any of the answer words or obvious synonyms. They cover various aspects of the song, from its musical composition to its lyrical themes and structural innovation.",1,"These clues are too general and do not meet the critical requirement of being factually true for ALL incorrect answers. For example, 'The song's lyrics often focus on intense emotions and experiences' is true for 'Bohemian Rhapsody', but less so for 'Stairway to Heaven' or 'Hotel California' in a way that creates shared ambiguity. They are not productively ambiguous and offer no shared truth across all options.",5,"These clues are highly effective at misdirecting. 'This song tells a story of overcoming challenges through courage, perseverance, and the power of unity with others' strongly suggests 'Stairway to Heaven' or 'Hotel California'. 'This soulful ballad explores the complexities of love and loss, tugging at the heartstrings of listeners worldwide' also points towards 'Hotel California' or potentially 'Stairway to Heaven'. They completely avoid any connection to 'Bohemian Rhapsody' and are plausible for the incorrect choices.",,4,"The 'informed' clues are very strong and specific, making it relatively easy to identify the correct answer for someone familiar with the songs. However, the 'fake' clues are quite deceptive and well-crafted to misdirect, adding a layer of difficulty. The 'misinformed' clues are too weak to be effective, but the strength of the 'informed' and 'fake' clues balances out.","The 'informed' clues are excellent, providing strong, specific, and non-overlapping evidence for the correct answer. The 'fake' clues are also very well-designed for misdirection towards the incorrect options. The 'misinformed' clues need a significant rework to fulfill their intended purpose of shared ambiguity.",14,14,100%,17.1
2,Songs,1,Pop,"Pop, Rock, Dance",5,"The clues are highly specific to the 'Pop' genre, using descriptive language that avoids direct terms or synonyms. They cover various aspects like commercial appeal, production, lyrical themes, and structure, all pointing directly to 'Pop' without ambiguity.",1,"These clues are too general and do not meet the requirement of being true for ALL incorrect answers. For example, 'designed to make people feel happy and energized' could be true for some Rock or Dance music, but not universally across those genres in the same way it applies to Pop. The primary failure is that they are not equally true for 'Rock' and 'Dance'.",5,"These clues are excellent examples of misdirection. The first clue strongly points to 'Rock' with 'heavy guitar riffs' and 'powerful drumming'. The second clue clearly describes 'Rock' (or potentially other genres not listed, but definitely not 'Pop') with 'complex instrumental pieces' and 'long song durations'. They effectively pull attention away from 'Pop'.",,2,"The informed clues are very strong, and the fake clues provide excellent misdirection. The misinformed clues are weak and fail to meet the criteria, which makes them easy to dismiss. This combination leads to a slightly easier game, as the strong informed and fake clues do most of the heavy lifting.","The informed and fake clues are exceptionally well-crafted, providing strong signals for the correct answer and effective misdirection to incorrect ones. The misinformed clues do not meet the core requirement of being true for all choices, significantly weakening the ambiguity aspect of the game. This makes the game lean towards being too easy, despite the quality of the other clue types.",14,14,100%,16.0
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",5,"The clues are highly specific to 'Blinding Lights' and avoid any overlap with the other choices. They cover various aspects like the music video, sound, theme, commercial success, production influences, iconic chorus, vocal style, lyrical content, and visual integration. No answer words or direct synonyms are used.",2,"These clues are too vague and could apply to many popular songs. While technically true for 'Blinding Lights,' they are also true for 'Bad Guy' and 'Shape of You' as all are global phenomena with catchy melodies. They don't create productive ambiguity because they don't leverage any shared characteristics that would specifically point away from the correct answer and towards the incorrect ones. They are almost entirely uninformative.",4,The first fake clue ('The song features a female vocalist...') strongly points to 'Bad Guy' by Billie Eilish. The second fake clue ('This song has a driving beat and rap verses...') also plausibly points towards 'Bad Guy' (though 'Shape of You' also has a distinct beat and can be interpreted as having rhythmic vocal delivery). These clues effectively misdirect from 'Blinding Lights' and target incorrect options.,,3,"The informed clues are very strong, making the correct answer identifiable if the player focuses on them. However, the fake clues are quite effective at misdirection, requiring careful consideration of all clues to avoid being led astray. The misinformed clues are too weak to significantly impact difficulty.",The informed clues are excellent and highly specific. The fake clues are well-crafted to misdirect towards 'Bad Guy'. The misinformed clues are too general and do not contribute effectively to the game's ambiguity. The difficulty is balanced due to the strong informed and fake clues.,14,14,100%,15.9
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",5,"The clues are highly specific and descriptive, avoiding any answer contamination or synonyms. They cover various aspects of the genre's origins, techniques, lyrical content, and cultural impact.",2,These clues are too vague and could apply to almost any music genre. They don't offer enough shared truth to create productive ambiguity and feel more like generic music descriptions rather than clues designed to mislead specifically between the choices.,5,"These clues are excellent misdirections. They perfectly describe R&B, a strong incorrect choice, and are completely unrelated to Hip-Hop, effectively steering players away from the correct answer.",,4,The strong 'Informed' clues combined with highly effective 'Fake' clues create a challenging game. Players need to carefully parse the nuances of the 'Informed' clues to avoid being misled by the 'Fake' ones.,"This is a well-constructed set of clues. The 'Informed' clues are precise and informative, while the 'Fake' clues are highly deceptive and target a specific incorrect answer. The 'Misinformed' clues are the weakest element, lacking the necessary ambiguity.",14,14,100%,16.9
3,Songs,2,Lose Yourself - Eminem,"In Da Club - 50 Cent, Lose Yourself - Eminem, Jumpman - Drake & Future",5,"The clues are highly specific and accurately describe the chosen answer without using any forbidden words. They cover various aspects of the song's narrative, context (film), and lyrical themes, providing strong pointers to 'Lose Yourself'.",1,"These clues are far too vague. While factually true, they could apply to almost any popular song by a male artist. They fail to create productive ambiguity as they offer no real distinguishing information that could be applied to the specific song or its incorrect choices. They are essentially tautological.",4,"These clues are well-crafted to misdirect. The first clue, 'A song with a catchy melody, smooth vocals, and a danceable rhythm that make it an instant hit,' strongly suggests 'In Da Club' or potentially 'Jumpman' due to their popular, upbeat nature, while steering clear of the more intense, narrative-driven 'Lose Yourself.' The second clue, 'It is a song that tells a story of love and loss, with heartfelt lyrics and a memorable chorus,' could plausibly apply to 'In Da Club' or even 'Jumpman' depending on interpretation, but is a poor fit for 'Lose Yourself,' effectively diverting attention.",,3,"The informed clues are very strong and specific, making the correct answer relatively easy to identify if one is familiar with the song or its context. The fake clues are good at misdirection, but the strength of the informed clues balances this out, resulting in a moderate difficulty.","The informed clues are excellent, providing a clear path to the correct answer. The fake clues are effective in misdirecting towards incorrect options. The misinformed clues are too vague to be useful and need to be more creative in their shared ambiguity.",14,14,100%,16.9
4,Songs,1,Jazz,"Jazz, Blues, Swing",4,"The clues are generally good and descriptive of Jazz, avoiding direct answer words. Some clues are a bit similar in focus (e.g., improvisation, rhythm).",3,"These clues are indeed vague and could apply to many music genres. They are factually true for Jazz, Blues, and Swing, creating productive ambiguity.",5,"These clues are excellent at misdirecting. The first clue strongly points to Blues, and the second clue, while technically true for many genres, could be interpreted as pointing towards a more structured or specific harmonic/rhythmic approach that might not immediately scream Jazz over Blues or Swing.",,3,"The informed clues are quite specific to Jazz, making it relatively easy to identify. The fake clues offer some misdirection, but the informed clues are strong enough to overcome it for someone familiar with the genres.","The informed clues are strong, and the fake clues provide good misdirection towards Blues. The misinformed clues are appropriately vague. The difficulty is moderate.",14,14,100%,17.1
4,Songs,2,What a Wonderful World - Louis Armstrong,"Take Five - Dave Brubeck, What a Wonderful World - Louis Armstrong, Autumn Leaves - Bill Evans",4,"The clues are good, focusing on the positive message, iconic artist, and timeless appeal. Some clues could be slightly more distinct from each other, but overall they strongly point to the correct answer without overtly naming it.",1,"These clues are too vague and don't create productive ambiguity. They are true for the correct answer but also likely true for the incorrect choices in a very general sense, failing to add any real confusion or challenge. They are too close to being 'informed' without adding specific misdirection.",5,"These clues are excellent misdirection. They perfectly describe jazz pieces with instrumental focus and complexity, which strongly points to 'Take Five' and potentially 'Autumn Leaves' (depending on the specific arrangement implied), while completely avoiding the simpler, vocal-led nature of the correct answer.",,4,"The strong 'fake' clues create significant misdirection towards instrumental jazz, making the puzzle challenging. The 'informed' clues are helpful but require careful consideration to overcome the pull of the fake ones. The misinformed clues are too weak to significantly impact difficulty.","The 'fake' clues are the standout element here, providing strong and plausible misdirection. The 'informed' clues are solid. The 'misinformed' clues are too weak to be effective. The difficulty is appropriately high due to the fake clues.",14,14,100%,17.2
5,Songs,1,Classical,"Classical, Opera, Instrumental",5,"The clues are highly specific to the 'Classical' genre, using descriptive language that accurately captures its characteristics without resorting to the answer word or obvious synonyms. They highlight complexity, structure, technical skill, historical context, emotional depth, and compositional details, all strongly pointing to 'Classical'.",1,"These clues are not factually true for ALL incorrect answers. For example, 'The compositions often involve multiple instruments, creating a rich tapestry of sound for the audience to enjoy' is true for Classical, but also true for Opera and Instrumental music. However, the other clue, 'This style of music has been used in many different types of performances across multiple venues and settings,' is also too broad and doesn't effectively create ambiguity between the choices. The goal of misinformed clues is to be true for ALL options, which is not met here. They are too vague and don't create productive ambiguity.",5,"The 'Fake' clues are excellent at misdirection. The first clue, 'This genre often features elaborate costumes, dramatic storylines, and powerful vocal performances by talented singers,' strongly points to 'Opera' and avoids 'Classical' and 'Instrumental'. The second clue, 'This type of music is known for its use of electronic instruments and synthesized sounds to create unique soundscapes,' clearly points to a genre not listed, but if interpreted broadly, could be confused with modern 'Instrumental' music by someone unfamiliar, while definitively excluding 'Classical' and 'Opera'.",,2,"The 'Informed' clues are very strong and specific, making the correct answer quite discoverable. The 'Fake' clues are also quite effective in their misdirection. The 'Misinformed' clues are too weak to significantly increase difficulty, as they don't meet the criteria for true ambiguity. Overall, the game leans towards being slightly easier than a perfect balance.","The 'Informed' clues are excellent, providing strong, descriptive, and non-contaminating evidence for the correct answer. The 'Fake' clues are also very effective at misdirecting players to incorrect choices. The 'Misinformed' clues need significant revision to be factually true for all incorrect options and to create more productive ambiguity. The difficulty is slightly lower than ideal due to the weakness of the 'Misinformed' clues.",14,14,100%,16.8
5,Songs,2,Moonlight Sonata - Beethoven,"The Magic Flute - Mozart, Moonlight Sonata - Beethoven, Piano Concerto No. 21 - Mozart",4,"The clues are generally good and descriptive of Moonlight Sonata. Clue 1 ('interplay of light and shadow') is particularly strong. Clue 3 ('distinct rhythmic pattern') could be slightly more specific to the iconic rhythm of the first movement, but it's still good. Clue 5 ('title is associated with its evocative atmosphere') is excellent. Clue 8 ('composer's innovative approach') is a bit general but still points well.",2,These clues are too vague and don't create productive ambiguity. 'Very famous composition' and 'played on the piano by many different pianists' apply to all three choices. They don't offer any real challenge or confusion. They are too general and don't leverage shared truths effectively for ambiguity.,4,"Clue 1 ('intricate vocal displays, interwoven musical arrangements, and narratives meant to stir strong feelings') strongly points to 'The Magic Flute' due to the mention of 'vocal displays' and 'narratives'. Clue 2 ('enchanted performance with elaborate costumes, props, and skilled musicians on stage') also leans heavily towards an opera like 'The Magic Flute'. These clues effectively misdirect away from the piano sonata.",,3,"The informed clues are quite good and specific to Moonlight Sonata, while the fake clues effectively misdirect to The Magic Flute. The misinformed clues are weak and don't add much to the difficulty. Overall, it's a moderately challenging puzzle.",The informed clues are strong and specific to the correct answer. The fake clues are effective at misdirecting to 'The Magic Flute'. The misinformed clues are too generic and could be improved to create more productive ambiguity. The difficulty is appropriate for a moderate challenge.,14,14,100%,17.5
