test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Inventions - 1,30,30,7,0,"Round 1, misinformed_clues #1: 13 words; Round 1, fake_clues #3: 13 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words; Round 2, fake_clues #1: 12 words; Round 2, fake_clues #2: 14 words",100.0%
2,Inventions - 2,30,30,3,0,"Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words; Round 2, misinformed_clues #2: 14 words",100.0%
3,Inventions - 3,31,31,5,0,"Round 1, informed_clues #4: 13 words; Round 1, fake_clues #1: 13 words; Round 1, extra_clues #1: 22 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #9: 13 words",100.0%
4,Inventions - 4,30,30,5,0,"Round 1, informed_clues #5: 14 words; Round 1, misinformed_clues #2: 14 words; Round 2, informed_clues #6: 13 words; Round 2, misinformed_clues #1: 22 words; Round 2, extra_clues #1: 13 words",100.0%
5,Inventions - 5,30,30,11,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, misinformed_clues #1: 12 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #5: 14 words; Round 2, fake_clues #2: 14 words; Round 2, fake_clues #3: 14 words; Round 2, extra_clues #1: 13 words",100.0%
6,Inventions - 6,30,30,7,0,"Round 1, informed_clues #5: 13 words; Round 1, informed_clues #6: 14 words; Round 1, fake_clues #1: 14 words; Round 1, extra_clues #1: 12 words; Round 2, informed_clues #3: 14 words; Round 2, misinformed_clues #1: 13 words; Round 2, extra_clues #1: 14 words",100.0%
7,Inventions - 7,31,31,4,0,"Round 1, informed_clues #3: 14 words; Round 2, informed_clues #2: 13 words; Round 2, misinformed_clues #1: 14 words; Round 2, extra_clues #1: 13 words",100.0%
8,Inventions - 8,30,30,2,0,"Round 1, informed_clues #8: 13 words; Round 2, fake_clues #3: 14 words",100.0%
9,Inventions - 9,32,32,6,0,"Round 1, informed_clues #9: 14 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #9: 14 words; Round 2, extra_clues #1: 13 words",100.0%
10,Inventions - 10,30,30,5,0,"Round 1, informed_clues #7: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #9: 13 words; Round 2, extra_clues #1: 14 words",100.0%
