test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Food - 1,30,30,1,0,"Round 2, informed_clues #3: 14 words",100.0%
2,Food - 2,31,31,1,0,"Round 1, informed_clues #8: 21 words",100.0%
3,Food - 3,30,30,5,0,"Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 13 words; Round 1, fake_clues #3: 21 words; Round 2, informed_clues #4: 14 words; Round 2, informed_clues #8: 14 words",100.0%
4,Food - 4,30,30,2,0,"Round 1, extra_clues #1: 14 words; Round 2, informed_clues #7: 13 words",100.0%
5,Food - 5,30,30,2,0,"Round 1, informed_clues #9: 14 words; Round 2, misinformed_clues #2: 14 words",100.0%
6,Food - 6,30,30,2,0,"Round 2, informed_clues #9: 14 words; Round 2, extra_clues #1: 13 words",100.0%
7,Food - 7,30,30,3,0,"Round 1, misinformed_clues #1: 22 words; Round 2, fake_clues #1: 14 words; Round 2, fake_clues #2: 14 words",100.0%
8,Food - 8,30,30,4,0,"Round 1, informed_clues #6: 13 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #6: 12 words",100.0%
9,Food - 9,30,30,6,0,"Round 1, informed_clues #4: 22 words; Round 1, informed_clues #5: 22 words; Round 1, fake_clues #1: 21 words; Round 1, fake_clues #3: 21 words; Round 2, informed_clues #1: 22 words; Round 2, misinformed_clues #1: 23 words",100.0%
10,Food - 10,30,30,4,0,"Round 1, informed_clues #2: 13 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #8: 13 words",100.0%
