test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,1,玩家通过获取经验、升级和获得新技能与物品来发展角色，是其核心机制。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,2,玩家通常控制一个或一组角色，并做出影响故事走向的决策，体验扮演不同人生的乐趣。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,3,注重故事和角色发展，让你探索丰富的世界，与非玩家角色互动，沉浸于引人入胜的剧情之中。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,4,它通常包含玩家必须完成的任务、工作或使命，以推进游戏的故事叙述。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,5,提供自由探索感，允许玩家发现新区域并揭开秘密，沉浸在丰富的叙事和角色发展中。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,6,沉浸式世界通常通过融入奇幻、科幻或历史时期的元素来创造，让玩家扮演其中角色。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,7,这种游戏方式允许玩家自定义角色，通过各种技能和属性来塑造独一无二的游戏体验。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,8,它通常包含一个广阔的世界，玩家可以探索各种地点并发现隐藏的物品，提升游戏体验。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",informed,9,这个类型的游戏通常允许玩家做出影响故事走向和角色关系的抉择，带来更强的代入感。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",misinformed,1,一种数字媒体形式，通过引人入胜的叙事来讲述故事并娱乐观众，但类型定义较为宽泛。,1,NO,
1,Video Games,1,角色扮演游戏,"角色扮演游戏, 冒险游戏, 策略游戏",misinformed,2,玩家面临挑战，在结构化环境中解决问题，通常需要战略规划和快速思考才能成功。,1,NO,
