test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,1,"This field focuses on the diagnosis, treatment, and prevention of diseases and other physical conditions.",15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,2,"It encompasses a wide range of practices, including surgery, pharmaceuticals, and various therapies to heal.",15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,3,This area has seen significant advancements improving human health and extending lifespans globally throughout time.,15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,4,It involves the study of the human body and how it functions and how to treat when it is sick.,20,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,5,This is a field that seeks to promote and maintain the health and well-being of individuals and populations.,18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,6,It is a broad field of study and practice dealing with the diagnosis and treatment of diseases.,17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,7,This scientific field studies the human body and aims to improve health through treatments and knowledge applications.,17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,8,"This broad field encompasses research and technologies focused on enhancing the health, wellness, and longevity of people.",17,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",informed,9,It is a field dedicated to the care and improvement of human health through various interventions and methods.,18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",misinformed,1,This area involves the application of scientific knowledge to solve practical problems and create new devices.,16,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",misinformed,2,It involves the creation of new tools and systems to improve the quality of life for everyone involved.,18,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",fake,1,This sector utilizes various methods of exchanging information using advanced systems to boost communication efficiency.,15,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",fake,2,"This area focuses on the movement of people and goods from one location to another, all over the world.",19,YES,
1,Inventions,1,Medical,"Medical, Communication, Transportation",extra,1,"It is essential to human life, focusing on health, well-being and the treatment of illnesses and injuries.",17,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,1,This invention helps the body fight diseases by training the immune system to recognize and attack pathogens.,17,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,2,It often involves introducing a weakened or inactive form of a disease-causing agent to the body.,16,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,3,This advancement has been critical in stopping or controlling numerous infectious diseases across the globe.,15,YES,
1,Inventions,2,Vaccine,"Vaccine, Penicillin, X-ray",informed,4,"This medical breakthrough stimulates the body's defenses, providing protection against specific illnesses to people everywhere.",15,YES,
