test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Sports,1,Team Sport,"Team Sport, Individual Sport, Dual Sport",5,"The clues are highly specific to the concept of 'Team Sport' without using any forbidden words or synonyms. They effectively highlight collective effort, communication, cooperation, and shared objectives. They avoid any hint of individual or dual competition.",3,"These clues are factually true for all three answer choices (Team Sport, Individual Sport, Dual Sport). They describe general characteristics of competitive activities: physical exertion, strategic thinking, skill, practice, and competition. They create ambiguity by being applicable to any sport, thus not helping to eliminate any option.",5,These clues are expertly crafted to misdirect. The first and third clues strongly point to 'Individual Sport' by emphasizing personal effort and records. The second clue points to 'Dual Sport' by mentioning two people working together. None of these clues relate to the core concept of a 'Team Sport' where multiple individuals form a collective unit against another.,,3,"The informed clues are strong and specific, making the correct answer clear. The misinformed clues are well-crafted to create ambiguity but are not so obscure as to be impossible. The fake clues provide strong misdirection to incorrect answers. This combination offers a balanced challenge.","The informed clues are excellent, precisely defining 'Team Sport' without overlap. The misinformed clues meet the criteria for being true for all options and creating ambiguity. The fake clues are highly effective in misdirecting towards 'Individual Sport' and 'Dual Sport'.",15,15,100%,16.3
1,Sports,2,Soccer,"Basketball, Soccer, Football",4,"Clues are highly specific to soccer without using forbidden words. They effectively describe the sport from various angles like gameplay, global reach, and required skills. No obvious answer contamination.",3,"The misinformed clues are true for all sports but are phrased in a way that doesn't strongly lean towards any specific one, creating genuine ambiguity. They are relevant enough to seem meaningful but too general to distinguish.",5,"The fake clues are excellent at misdirecting to the other sports. The first clue strongly points to basketball, the second to American football, and the third also to American football, while completely avoiding any characteristics of soccer.",,3,"The informed clues are specific enough to guide towards the correct answer, while the misinformed clues offer plausible but non-distinguishing information. The fake clues are strong distractors. This combination provides a balanced challenge.",The set of clues is well-constructed. Informed clues are precise and adhere to constraints. Misinformed clues create effective ambiguity. Fake clues successfully misdirect to incorrect answers. No length issues or diversity problems.,15,15,100%,17.2
2,Sports,1,Individual Sport,"Team Sport, Individual Sport, Dual Sport",5,"Clues are highly specific to 'Individual Sport' without using forbidden terms. They effectively describe solo effort, personal responsibility, and internal drive, directly contrasting with team or dual dynamics. No answer contamination or synonyms are present.",3,"The misinformed clues are factually true for all options (Team, Individual, Dual sports involve physical activity, strategy, and pursuit of victory). They create some ambiguity by focusing on general aspects of competitive activities. However, they don't offer deep, thematic ambiguity that would be truly misleading. They are too generic to strongly pull towards a wrong answer but fulfill the intersection requirement.",5,"These clues are highly effective at misdirecting towards 'Team Sport' or 'Dual Sport'. They use terms like 'orchestrated movements between multiple players', 'collaboration, communication, and strategic teamwork', and 'outmaneuver opponents working together', which are antithetical to 'Individual Sport' and strongly suggestive of team-based or partner-based activities. They completely avoid any connection to the correct answer.",,4,"The strong fake clues combined with highly specific informed clues create a challenging game. The misinformed clues are not so weak as to be immediately dismissible, and the fake clues are very persuasive. The informed clues are excellent but require careful reading to ensure no overlap with the other categories. The difficulty comes from discerning the precise boundaries between the categories, especially between the fake and misinformed, and ensuring the informed clues are truly unique to the answer.","The informed clues are excellent, meeting all criteria for specificity and avoiding forbidden terms. The fake clues are highly effective at misdirecting away from the correct answer and towards team or dual sports. The misinformed clues are factually correct for all options and create some, albeit limited, ambiguity. The overall difficulty is high due to the strength of the fake clues and the precise nature of the informed clues.",15,15,100%,15.8
2,Sports,2,Boxing,"Boxing, MMA, Wrestling",5,"The clues are highly specific to boxing, using descriptive language that avoids direct terms. They effectively describe the unique aspects of boxing without being too obvious. For example, 'designated, roped area' and 'protective gloves' are strong indicators.",3,"These clues are true for all three sports as they all involve physical competition, skill, and athleticism to determine a victor. They are general enough to apply to boxing, MMA, and wrestling, creating ambiguity.",5,"The fake clues strongly point to MMA and Wrestling by mentioning 'grappling', 'pinning', 'cage', and 'submission', which are not primary elements of boxing.",,3,"The informed clues are specific enough to lead to the correct answer, but the misinformed clues provide enough overlap to require careful consideration. The fake clues effectively misdirect towards incorrect answers.","A well-balanced set of clues. The informed clues are precise, the misinformed clues create good ambiguity, and the fake clues effectively misdirect to other combat sports.",15,15,100%,16.0
3,Sports,1,Dual Sport,"Team Sport, Individual Sport, Dual Sport",5,"Clues are highly specific to the concept of two individuals or pairs working together. They avoid answer words and use descriptive language that strongly points to 'Dual Sport' without being overly explicit. The emphasis on partnership, coordination, and shared strategy is consistent across all clues.",3,"These clues are true for all options. 'Physical activity and competition' and 'strategic thinking and physical exertion' apply to Team, Individual, and Dual sports. They are broad enough to create ambiguity but not so vague as to be meaningless. They don't point to any specific choice over another, fulfilling the misinformed criteria.",5,"The first fake clue ('multiple players working together, emphasizing strategic plays and coordinated movements across a designated field') strongly suggests 'Team Sport'. The second fake clue ('solo athlete competing, showcasing individual skill, endurance, and mental fortitude') clearly points to 'Individual Sport'. The third fake clue ('Relies on a collective effort where players score points by advancing a ball into a goal within set boundaries') is also a strong indicator for 'Team Sport' (e.g., soccer, basketball). These are effective at misdirecting away from 'Dual Sport'.",,3,"The informed clues are specific enough to guide towards the correct answer, while the misinformed clues offer plausible but ultimately unhelpful commonalities. The fake clues are well-crafted to strongly suggest the incorrect options. This balance creates a moderate difficulty.","The informed clues are excellent, precisely defining the characteristics of a dual sport. The misinformed clues are appropriately broad and factually accurate for all options, creating genuine ambiguity. The fake clues are highly effective at misdirecting players towards 'Team Sport' and 'Individual Sport'. The difficulty is well-balanced.",15,15,100%,16.3
3,Sports,2,Tennis,"Badminton, Tennis, Pickleball",5,"The clues are highly specific to tennis, using terms like 'compact, round item,' 'barrier,' 'powerful serves,' 'strategic volleys,' 'precise groundstrokes,' 'control of the court,' 'footwork, agility, mental toughness,' 'skill, stamina, tactical thinking,' 'fast-paced game,' 'scoring system based on points, games, and sets,' 'quick reflexes,' 'strategic shot selection,' 'felt-covered ball,' and 'specialized equipment' which collectively and precisely describe tennis without using the answer word or obvious synonyms. They avoid overlap with the other choices.",3,"The misinformed clues are factually true for all three sports (Badminton, Tennis, Pickleball) as they all involve two players or teams competing, using specialized equipment to propel an object to score points. They create genuine ambiguity by focusing on the most basic shared elements of racket/paddle sports. They do not uniquely identify any single sport.",5,"The fake clues are extremely effective at misdirecting towards Badminton ('shuttlecock,' 'rackets,' 'quick reflexes and agility') and Pickleball ('lightweight ball,' 'paddles,' 'smaller court,' 'skill and strategy'). They carefully avoid any language that would point to Tennis.",,4,"The informed clues are excellent and specific, but the misinformed clues are well-crafted to create genuine confusion. The fake clues are also very strong. This combination, especially the effective misinformed and fake clues, makes the puzzle challenging.",Excellent set of clues. The informed clues are precise and exclusive to the answer. The misinformed clues are factually true for all options and create good ambiguity. The fake clues are highly deceptive and target the incorrect options effectively.,15,15,100%,17.1
4,Sports,1,Physical sports,"Physical sports, Mind sports, Motor sports",4,"The clues are highly specific to 'Physical sports' and effectively use descriptive language without using answer words or direct synonyms. They focus on bodily exertion, competition dynamics, skill demonstration, and entertainment value, all strongly pointing to the correct answer.",3,"These clues are factually true for all three choices. 'Competition and physical activity' applies to all. 'Physical challenges, promote fitness, and entertain audiences' also applies to all. The ambiguity is present, as all options involve competition and some form of physical or mental engagement that could be construed as a 'challenge' or 'fitness' promotion (in a broader sense for mind sports). They don't strongly distinguish between the options.",5,"These clues are highly effective in misdirecting players. The first clue perfectly describes 'Mind sports', and the subsequent two clues strongly point to 'Motor sports' by referencing vehicles, high speeds, and closed courses. They are entirely unrelated to 'Physical sports' and create plausible but incorrect associations.",,3,"The informed clues are strong, but the misinformed and fake clues offer good misdirection, requiring careful consideration of the nuances between the choices. The interplay between the clue types creates a balanced difficulty.",The informed clues are excellent and specific. The misinformed clues successfully create ambiguity by being true for all options. The fake clues are highly effective at misdirecting towards the incorrect choices. The overall set provides a good challenge for the game.,15,15,100%,16.3
4,Sports,2,Rugby,"Rugby, AFL, american football",4,"Clues are generally good and specific to rugby. 'Oval-shaped ball' is a strong clue. 'Scrum formation' is highly specific. 'Try line' is also very indicative. 'Post-score conversion kick' is unique. The only slight weakness is 'intense physicality' and 'teamwork' which could apply to other sports to some degree, but the combination with other clues makes it strong. No answer contamination.",3,"Clue 1: 'This is a team sport that involves physical contact and requires strategic planning and physical prowess to win.' True for all three. Clue 2: 'The game involves scoring points by advancing an object across a designated line or area effectively.' True for all three. Both clues are factually accurate for all choices and create genuine ambiguity by describing the broadest shared characteristics without giving away unique elements. They are not overly specific, nor are they so vague as to be meaningless.",4,"Clue 1: 'The sport involves a forward pass, a defining feature that creates fast-paced offensive plays and scoring opportunities.' This strongly points to American Football. Clue 2: 'Players wear helmets and pads, protecting them during high-speed collisions and intense physical battles often.' This also strongly points to American Football. Clue 3: 'Athletes compete on a grassy area, trying to propel a spherical object through upright structures positioned at each end.' This could point to American Football or AFL, but the 'spherical object' is a bit off for AFL's oval ball, making American Football the primary target. These clues are effective at misdirecting away from Rugby.",,3,"The informed clues are quite strong and specific, making the correct answer discoverable. The misinformed clues are well-crafted to create ambiguity. The fake clues are good misdirections. The combination offers a balanced challenge.",The informed clues are precise and point strongly to Rugby. The misinformed clues effectively capture the intersection of all three sports. The fake clues are well-designed to mislead towards American Football. The difficulty level is appropriate.,15,15,100%,17.5
5,Sports,1,Mind Sport,"Physical sports, Mind sports, Motor sports",5,The clues are excellent. They precisely describe the cognitive and strategic aspects of 'Mind Sports' without using any forbidden words. They effectively differentiate from physical or motor sports.,3,"These clues are factually true for all three categories (Physical sports, Mind sports, Motor sports) as they all involve competition, skill, strategy, and rules. They create ambiguity by focusing on the universal aspects of competitive activities, making it challenging to immediately distinguish between them without the informed clues.",5,"These clues are highly effective at misdirecting. The first clue strongly points to 'Physical sports' by mentioning endurance, strength, and agility. The second clue clearly describes 'Motor sports' with vehicles, racing, and tracks. They are plausible descriptions of the incorrect options and avoid any hint of 'Mind Sports'.",,3,"The informed clues are very strong and specific, making the correct answer discoverable. The misinformed clues provide a good layer of initial confusion, and the fake clues are effective distractors. This combination creates a balanced difficulty.","A well-constructed set of clues. The informed clues are precise and effective. The misinformed clues provide good, albeit basic, ambiguity. The fake clues are particularly strong in their misdirection towards the incorrect categories.",15,15,100%,16.1
5,Sports,2,Chess,"Chess, Go, Poker",5,"The clues are highly specific and descriptive, clearly pointing to 'Chess' without using any forbidden terms. They highlight key mechanics like piece movement, strategic planning, the checkered board, and the objective of capturing the monarch. There is no answer contamination.",3,"The misinformed clues are factually true for all three choices (Chess, Go, Poker). They focus on abstract concepts like strategy, skill, cognitive abilities, and anticipating opponents. This creates a genuine ambiguity as all three games require these elements. They avoid specific mechanics unique to any one game.",5,"The fake clues are highly effective. The first clue strongly suggests 'Go' by mentioning colored stones, surrounding, and territory. The second clue perfectly describes 'Poker' with cards, values, suits, and betting. The third clue accurately describes 'Gomoku' (a variant of Go) or potentially Tic-Tac-Toe, but is completely unrelated to Chess, Go, or Poker in the context of the provided choices, making it a plausible misdirection for a different game if it were in the choices, but here it's just completely off-target for the given choices.",,3,"The informed clues are strong enough to make 'Chess' the clear answer for someone familiar with the game. The misinformed clues provide a layer of plausible distraction, but the specificity of the informed clues should overcome this for most players. The fake clues are well-crafted to misdirect if they were targeting one of the incorrect answers, but their current form doesn't strongly point to Go or Poker over the other.","The informed clues are excellent, precisely describing Chess. The misinformed clues offer good abstract commonalities. The fake clues are well-written but don't target the specific incorrect choices effectively within the provided set, though they are clearly distinct from the correct answer.",15,15,100%,17.3
