test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Songs - 1,28,28,3,0,"Round 1, extra_clues #1: 21 words; Round 2, informed_clues #8: 21 words; Round 2, fake_clues #2: 22 words",100.0%
2,Songs - 2,28,28,7,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #7: 14 words; Round 1, fake_clues #2: 13 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #2: 14 words; Round 2, informed_clues #6: 14 words",100.0%
3,Songs - 3,28,28,5,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 14 words; Round 2, informed_clues #4: 21 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #9: 14 words",100.0%
4,Songs - 4,28,28,5,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 13 words; Round 1, misinformed_clues #1: 14 words; Round 1, extra_clues #1: 14 words",100.0%
5,Songs - 5,28,28,2,0,"Round 1, informed_clues #6: 14 words; Round 2, fake_clues #1: 13 words",100.0%
6,Songs - 6,28,28,4,0,"Round 1, informed_clues #8: 14 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #6: 14 words; Round 2, fake_clues #1: 21 words",100.0%
7,Songs - 7,28,28,4,0,"Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #2: 14 words; Round 2, informed_clues #4: 14 words; Round 2, fake_clues #2: 14 words",100.0%
8,Songs - 8,28,28,1,0,"Round 1, extra_clues #1: 14 words",100.0%
9,Songs - 9,28,28,4,0,"Round 1, informed_clues #3: 14 words; Round 1, informed_clues #7: 14 words; Round 1, informed_clues #8: 14 words; Round 2, informed_clues #7: 14 words",100.0%
10,Songs - 10,28,28,6,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #7: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #2: 14 words; Round 1, extra_clues #1: 14 words; Round 2, misinformed_clues #1: 14 words",100.0%
