test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Songs,1,Rock,"Rock, Pop, Classic",5,"The clues are precise, descriptive, and avoid any answer words, variations, or synonyms. They strongly point to 'Rock' by highlighting its energetic sound, rebellious themes, instrumental focus (electric guitars, drums), origins in blues/country, and cultural impact.",3,"These clues are true for all options (Rock, Pop, Classic) as they all are forms of artistic expression using sound and rhythm. They create genuine ambiguity by being broad enough to apply to any musical genre.",5,These clues are highly effective at misdirecting to 'Pop' and 'Classic'. The first clue points strongly to Pop with 'catchy hooks' and 'easy to remember lyrics'. The third clue directly describes 'Classic' with 'full orchestra' and 'classic instruments'. Neither clue relates to 'Rock'.,,3,"The informed clues are strong, but the misinformed clues are sufficiently ambiguous and the fake clues are well-targeted to the incorrect options, creating a balanced challenge.","Excellent set of clues. The informed clues are specific and accurate for 'Rock'. The misinformed clues successfully create ambiguity. The fake clues are highly deceptive, strongly pointing away from the correct answer towards the incorrect choices.",15,15,100%,16.3
1,Songs,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Hotel California - Eagles",5,"The clues are highly specific and accurately describe 'Bohemian Rhapsody' without using any of the forbidden words or their direct synonyms. They highlight its unique structure, musical elements, vocal arrangements, length, lyrical interpretation, and iconic music video, all of which are distinctive to the song.",3,"These clues are factually true for all three songs. 'Soaring vocals, passionate delivery, and memorable melodies' can apply to all three. 'Personal experiences that resonate' is also broad enough to fit the narrative or perceived themes of each. They create a decent level of ambiguity.",3,"These clues are designed to misdirect. The first clue about 'affection, loss, and enduring strength' could plausibly point to 'Hotel California' or even 'Stairway to Heaven' depending on interpretation. The second about 'hope, faith, and life's journey' also broadly fits the other two. The third about 'classic rock anthem, soaring guitar solos, and powerful vocals' is a strong descriptor for Led Zeppelin and Eagles, and less so for Queen's operatic sections, thus effectively directing away from the correct answer.",,3,"The informed clues are very strong and specific, making the correct answer quite discoverable. The misinformed clues are good enough to cause some hesitation, but not so strong as to be confusing. The fake clues effectively target the wrong answers. This combination leads to a balanced difficulty.","The informed clues are excellent, meeting all criteria for precision and avoiding answer contamination. The misinformed clues are factually accurate for all options and create reasonable ambiguity. The fake clues are well-crafted to misdirect towards the incorrect choices. The overall set provides a good challenge.",15,15,100%,16.0
2,Songs,1,Pop,"Pop, Rock, Dance",5,"The clues are highly specific and descriptive, perfectly capturing the essence of 'Pop' music without using any forbidden words or synonyms. They highlight key characteristics like broad appeal, catchy melodies, synthesized sounds, commercial success, and evolving production techniques, all of which strongly point to the correct answer.",3,"These clues are factually true for all three genres (Pop, Rock, Dance) as they all involve music being listened to, enjoyed, and shared, and are composed of rhythm, melody, and harmony. They create some ambiguity, but the 'Informed' clues are so strong that the misdirection might not be as potent as it could be.",5,"These clues are excellent at misdirecting players to 'Rock' and 'Dance.' The first clue describes typical 'Rock' characteristics (guitar riffs, powerful vocals, rebellious spirit), and the third clue describes characteristics often associated with 'Rock' or instrumental-focused genres (improvisation, complex harmonies, instrumental skill). The second clue clearly points to 'Dance' music (electronic beats, synthesized sounds, energetic atmosphere). They effectively avoid any description of 'Pop'.",,3,"The informed clues are very strong and specific, making 'Pop' relatively easy to identify. However, the misinformed clues are well-constructed to pull attention towards the incorrect options, adding a moderate level of challenge to ensure it's not trivially easy.","The informed clues are exceptionally well-crafted, providing precise and distinct descriptions of the target answer ('Pop'). The fake clues are highly effective at misdirecting towards the incorrect options ('Rock' and 'Dance'). The misinformed clues are factually accurate for all options and create some level of ambiguity, though the strength of the informed clues might limit their overall impact.",15,15,100%,17.2
2,Songs,2,Blinding Lights - The Weeknd,"Bad Guy - Billie Eilish, Blinding Lights - The Weeknd, Shape of You - Ed Sheeran",4,"The clues are descriptive and avoid direct answer words. They effectively highlight the song's sonic qualities, visual aesthetic, and thematic elements, pointing strongly towards 'Blinding Lights'. There's good variety in the types of clues provided.",3,"These clues are true for all options as they are all popular songs with catchy tunes. They are factually accurate for the correct answer and the incorrect choices. They create some ambiguity but are not overly specific, making them decent misinformed clues.",3,The first fake clue is somewhat plausible for 'Bad Guy' due to its strong vocal performance and emotional tone. The second fake clue could also lean towards 'Bad Guy' or even 'Shape of You' with its mention of guitars and drums. The third fake clue is a bit more generic but could also apply to 'Bad Guy' or 'Shape of You' with choreography and stage presence. They effectively steer away from 'Blinding Lights'.,,3,"The informed clues are quite specific to 'Blinding Lights', making it the most identifiable choice. The misinformed clues are generic enough to apply to all, and the fake clues offer plausible, albeit not perfect, misdirection to the incorrect options. This creates a moderate level of challenge.","The informed clues are strong and well-crafted, leading directly to the correct answer without using forbidden words. The misinformed clues are adequate, fulfilling the criteria of being true for all options and creating some ambiguity. The fake clues offer reasonable misdirection to the incorrect choices. The overall difficulty is moderate.",15,15,100%,17.1
3,Songs,1,Hip-Hop,"Hip-Hop, Rap, R&B",4,Clues are descriptive and avoid direct answer words. They effectively highlight key characteristics of Hip-Hop without being overly generic.,3,"The misinformed clues are factually true for all three genres (Hip-Hop, Rap, R&B) as they all involve rhythm, melody, vocals, and can evoke emotions. They create some ambiguity but are not perfectly misleading.",3,"The fake clues are designed to point towards R&B and a more general electronic genre, effectively misdirecting from Hip-Hop. They are plausible descriptions of other genres.",,3,"The informed clues provide enough specific detail to point towards Hip-Hop, while the misinformed and fake clues offer plausible but ultimately incorrect alternatives, creating a moderate level of challenge.","The clues are well-crafted, adhering to the criteria. The informed clues are specific enough to guide towards the correct answer, while the misinformed and fake clues provide believable misdirection. The length compliance is perfect.",15,15,100%,17.3
3,Songs,2,Lose Yourself - Eminem,"In Da Club - 50 Cent, Lose Yourself - Eminem, Jumpman - Drake & Future",5,"The clues are highly specific and descriptive, directly referencing the narrative and thematic elements of 'Lose Yourself' without using any forbidden words. They effectively point to the correct answer by detailing its motivational message, themes of overcoming adversity, and the sense of urgency. The clues are precise and avoid any ambiguity that could lead to other choices.",3,"These clues are factually true for all the provided song choices. They describe general characteristics of music (rhythm, melody, emotional impact, entertainment) that apply to any song, including the correct and incorrect answers. They create a low level of ambiguity as they don't offer specific details to differentiate between the songs, thus fulfilling the criteria for misinformed clues. They don't help eliminate any options.",5,"The fake clues are designed to strongly suggest the incorrect options. The first clue about romance, love, and loss is highly suggestive of a song like 'In Da Club' or even potentially 'Jumpman' in a metaphorical sense, while being completely unrelated to 'Lose Yourself'. The second clue about dance and club settings clearly points to 'In Da Club'. The third clue about friends and navigating life could also point to 'In Da Club' or 'Jumpman'. They are plausible and effectively misdirect away from the correct answer.",,4,"The informed clues are very strong and specific, making the correct answer quite clear to someone familiar with the song. However, the misinformed clues are well-crafted to create a plausible but ultimately incorrect impression for those less certain. The fake clues are also effective misdirections. This combination requires careful consideration of the nuances between the clue types, making it moderately difficult.","The informed clues are excellent, providing highly specific details about the correct answer. The misinformed clues successfully capture shared, general characteristics of songs without offering distinguishing information. The fake clues are well-designed to mislead towards the incorrect choices. The overall set provides a good challenge.",15,15,100%,16.9
4,Songs,1,Jazz,"Jazz, Blues, Swing",4,"Clues are descriptive and avoid answer contamination. They point well to Jazz by highlighting its improvisational nature, rhythmic complexity, harmonic sophistication, interactive performance style, emphasis on individual expression, African-American roots, instrumental solos, influence, and instrumentation.",3,"These clues are factually true for all three genres (Jazz, Blues, Swing) as they all are forms of music intended for listening, and all use organized sound with rhythm, melody, and harmony. However, the clues are quite generic and might not create strong ambiguity, leaning slightly towards being too obvious for a misinformed clue. They don't strongly mislead but also don't particularly distinguish.",5,"The fake clues are well-crafted to strongly point towards 'Blues'. The first clue ('hardship, resilience, and the human experience through vocal expression') is a hallmark of Blues. The third clue ('twelve-bar structure and soulful vocal performances') is also highly characteristic of Blues. The second clue ('driving rhythm, often with a prominent bass line and upbeat tempo') could apply to some Blues but also strongly to Swing, creating a plausible misdirection towards both incorrect options, while being completely unrelated to Jazz.",,3,"The informed clues are specific enough to guide towards Jazz, but the misinformed clues are generic enough to create some initial confusion, and the fake clues strongly pull towards Blues. This balance makes it a moderately challenging puzzle.","A well-structured set of clues. The informed clues effectively describe Jazz without using direct terminology. The fake clues are very effective at misdirecting towards Blues. The misinformed clues are factually correct for all but are quite generic, which is appropriate for their role.",15,15,100%,16.0
4,Songs,2,What a Wonderful World - Louis Armstrong,"Take Five - Dave Brubeck, What a Wonderful World - Louis Armstrong, Autumn Leaves - Bill Evans",5,"The clues are highly specific and descriptive, effectively pointing to 'What a Wonderful World' without using any forbidden words. They highlight the song's optimistic message, gentle melody, distinctive vocal style, and focus on nature and simple joys. The clues avoid any overlap with the other choices.",3,"These clues are factually true for all three songs (they are all well-known musical pieces with melodies and lyrics). However, they are quite general and don't create significant ambiguity. They function more as basic descriptors of popular music rather than carefully crafted misdirection. The intersection is very broad.",5,"These clues are highly effective at misdirecting to the incorrect answers. The first clue strongly points to 'Take Five' with its mention of syncopated rhythms and 'making you move'. The third clue describes a fast-paced instrumental, which could plausibly apply to 'Take Five' or 'Autumn Leaves' depending on interpretation, but specifically targets the instrumental nature of the wrong choices. They completely avoid any connection to 'What a Wonderful World'.",,3,"The informed clues are very strong, making the correct answer relatively easy to identify. The misinformed clues are weak, and the fake clues are strong misdirectors. The balance of strong informed and strong fake clues creates a moderate difficulty.",The informed clues are excellent and highly specific to the correct answer. The misinformed clues are too general to be effective. The fake clues are very strong and effectively misdirect to the incorrect options. The game is well-structured in terms of clue types.,15,15,100%,16.1
5,Songs,1,Classical,"Classical, Opera, Instrumental",5,"The clues are highly specific to Classical music, using terms like 'complex arrangements,' 'string instruments and piano in symphony halls,' 'elegance and structure,' 'form, structure, and harmonic development,' 'balance, order, and emotional control,' 'clarity of structure and melody,' 'rules and conventions,' 'elaborate ornamentation,' and 'instrumental performance and precise notation.' These are all characteristic of Classical music and differentiate it from Opera and Instrumental in the way it's often understood as a distinct historical period and style. They avoid answer contamination and are precise.",3,"The clues 'This type of music is designed to evoke emotions and feelings in those who are listening to it' and 'This particular form of art can be enjoyed by many people across the world, regardless of background' are true for Classical, Opera, and Instrumental music. They create ambiguity by pointing to shared aspects of all musical genres, making it difficult to distinguish between them based solely on these clues.",4,"The fake clues are very effective at misdirecting players towards 'Opera.' The first clue mentions 'soloists to express themselves through singing and acting on a stage,' which is a hallmark of opera. The second clue reinforces this with 'performers... use their voices to tell stories through beautiful music and acting.' The third clue, 'This art form involves no instruments and is centered around the melodic expression of one's voice,' is a slight misdirection as opera *does* involve instruments, but the emphasis on voice and melody could still strongly suggest opera to a player looking for a vocal-centric art form.",,4,"The informed clues are very strong and specific, making the correct answer identifiable if one has knowledge of musical genres. However, the misinformed clues are well-crafted to create genuine ambiguity, and the fake clues are highly plausible misdirections towards Opera. This combination, along with the precise nature of the informed clues, makes it challenging but not impossible, leaning towards difficult.","The informed clues are excellent, precisely describing Classical music without using forbidden terms. The misinformed clues successfully identify an intersection of all genres. The fake clues are highly effective at misdirecting towards Opera. The overall difficulty is appropriate for a challenging game.",15,15,100%,16.8
5,Songs,2,Moonlight Sonata - Beethoven,"The Magic Flute - Mozart, Moonlight Sonata - Beethoven, Piano Concerto No. 21 - Mozart",4,"The informed clues are quite good. They focus on the solo piano aspect, the emotional introspection, and the recognizable, haunting melody. They avoid direct answer words and focus on descriptive paraphrases. The only minor point is that 'haunting melody' might lean slightly towards a specific interpretation, but it's generally well-done.",3,"These clues are true for all options in a very general sense (they are musical pieces designed to evoke feelings). However, they lack the specificity to create genuine ambiguity. They are almost too vague to be truly deceptive, functioning more as a baseline truth rather than a misdirection tool. They pass the intersection test but lack strong ambiguity quality.",5,"These fake clues are highly effective. They describe narrative elements, characters, and dramatic arcs ('dramatic story with complex characters,' 'tale of magic and fantasy') that are much more strongly associated with 'The Magic Flute' and potentially a dramatic interpretation of a concerto, while completely avoiding the introspective, solo piano nature of the correct answer.",,3,"The informed clues provide a good basis for deduction. The misinformed clues are too vague to be truly misleading, and the fake clues strongly point away from the correct answer, creating a balanced challenge.",The informed clues are strong and descriptive. The misinformed clues are too general to be effectively misleading. The fake clues are excellent at misdirecting to the wrong choices. The overall difficulty is appropriate.,15,15,100%,17.1
