test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,1,يركز هذا المجال على دراسة جسم الإنسان والصحة وعلاج الأمراض لتحسين نوعية الحياة والرفاهية العامة.,15,YES,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,2,يشمل هذا المجال تقنيات وإجراءات متنوعة تهدف إلى تشخيص وعلاج ومنع الأمراض التي تصيب الإنسان.,15,YES,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,3,شهد هذا المجال تطورات كبيرة، مما أدى إلى إطالة متوسط العمر وتحسين نوعية الحياة للكثير من الناس.,17,YES,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,4,قطاع مُكرَّس للحفاظ على الصحة واستعادتها من خلال العلوم والبحث والرعاية الصحية للمرضى.,13,NO,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,5,يهتم بممارسة تشخيص وعلاج ومنع الأمراض والإصابات لدى البشر والحيوانات على حد سواء، ويهدف إلى تحسين الصحة العامة.,18,YES,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,6,هذا التخصص ضروري لتعزيز الصحة العامة والرفاهية، ويستخدم المعرفة العلمية للرعاية الصحية.,12,NO,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,7,يتضمن تطبيق المعرفة العلمية لتشخيص وعلاج ومنع الأمراض والإصابات، بهدف تحسين الصحة العامة للأفراد والمجتمعات.,15,YES,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,8,مجال يشمل ممارسات واسعة تهدف إلى الحفاظ على الصحة البدنية والعقلية أو استعادتها، مع التركيز على التشخيص والعلاج.,18,YES,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",informed,9,يهتم هذا المجال بعلوم وفنون الشفاء، مع التركيز على تشخيص وعلاج الأمراض والإصابات المختلفة.,14,NO,
1,Inventions,1,طبي,"طبي, اتصالات, مواصلات",misinformed,1,يستخدم هذا المجال المعرفة العلمية والمبادئ الهندسية لحل التحديات العملية وتحسين الحياة اليومية من خلال الابتكار، مما يجعله ضروريًا.,19,YES,
