test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,1,"It allows for the instant sharing of personal information, thoughts, and experiences with a wide audience.",16,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,2,"This platform has revolutionized how people connect, communicate, and build relationships in the digital age.",15,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,3,"Users can create profiles, connect with others, and share diverse content, from text to multimedia formats.",16,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,4,"It involves interactive platforms where users generate and share content, fostering online communities and engagement.",15,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,5,"It facilitates real-time interactions, allowing users to comment, like, and share content with each other easily.",16,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,6,"This digital space is used for promoting brands, products, and services, reaching a vast global market immediately.",17,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,7,"It provides a space for diverse groups to gather and discuss common interests, opinions, and current events daily.",18,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,8,"This modern form of communication has changed how news is received, often disseminated via user-generated content quickly.",17,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",informed,9,"It offers tools for businesses to engage with customers, gather feedback, and build brand loyalty effectively online.",17,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",misinformed,1,This is a digital platform used by people worldwide for communication and interaction purposes every day.,16,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",misinformed,2,"It offers a space for sharing information, connecting with others, and engaging in various activities digitally.",16,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",fake,1,"This digital tool has become the primary portal for accessing information, research, and online resources daily.",16,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",fake,2,This online marketplace allows individuals and businesses to buy and sell goods and services rapidly across borders.,17,YES,
1,Technology,1,Social Media,"Social Media, Search Engine, E-commerce",extra,1,"It is a place where people can gather, build communities, and share content in real-time, anytime, anywhere.",17,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,1,"It centers heavily on visual content, empowering users to express themselves through images and short videos.",16,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,2,"The platform is renowned for its use of filters and editing tools, enhancing the overall appearance of posts.",18,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,3,It allows users to share moments through ephemeral content that disappears after a set timeframe elapsing quickly.,17,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,4,"Its users can connect with friends, family, and public figures by following their accounts and viewing posts.",17,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,5,"It provides a space for businesses to showcase products, engage with customers, and drive sales seamlessly.",16,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,6,"The platform's use of hashtags helps increase visibility, allowing users to discover content related to their interests.",17,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,7,"This platform includes features for direct communication, allowing users to privately message and connect with each other.",17,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,8,"This space offers various advertising options, helping brands reach target audiences and promote products directly.",15,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",informed,9,"It is known for its focus on influencer marketing, where creators collaborate with brands to promote content online.",18,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",misinformed,1,"Users can post a wide array of content, including videos and images, to share with a broader audience easily.",19,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",misinformed,2,"This platform is used widely for connecting with others, and also for sharing and consuming information.",16,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",fake,1,"This platform is known for its extensive network of connections, allowing users to communicate and share easily.",17,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",fake,2,"It is a platform where users can post short-form videos, often featuring music, and share them quickly online.",18,YES,
1,Technology,2,Instagram,"Facebook, Instagram, TikTok",extra,1,"The platform has become a hub for visual storytelling, allowing users to share experiences rapidly online.",16,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,1,"This essential software manages computer hardware and software resources, providing services for programs to function.",15,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,2,This essential software controls the hardware and provides a platform for applications to run smoothly.,15,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,3,"It is the foundation of a computer, facilitating interaction between the user and the hardware components.",16,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,4,This system is a crucial element that allows users to interact with and control their computer devices.,17,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,5,"This core software acts as an intermediary, managing hardware and software resources to improve processing efficiency.",16,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,6,"A crucial component that controls all operations within a device, enabling the execution of computer programs.",16,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,7,This crucial software oversees the computer's resources and coordinates its activities for efficiency and effectiveness.,15,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,8,This software provides a crucial interface for users to interact with and control their computer systems.,16,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",informed,9,"This essential software manages and allocates resources, ensuring the smooth and efficient operation of a computer system.",17,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",misinformed,1,"This is a fundamental element in modern technology, used in a variety of devices today.",15,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",misinformed,2,"This is a crucial component that helps a device to function, providing a way to perform tasks.",17,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",fake,1,"This allows developers to create instructions and then execute them, dictating how computers perform their tasks effectively.",17,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",fake,2,"It is a system used for storing, retrieving, and managing data in an organized manner.",15,YES,
2,Technology,1,Operating System,"Operating System, Programming Language, Database",extra,1,"A system that serves as an interface, enabling users to interact with and utilize computer hardware.",16,YES,
2,Technology,2,Windows,"Windows, macOS, Linux",informed,1,It is widely known for its user-friendly design and extensive compatibility with a wide range of applications daily.,18,YES,
2,Technology,2,Windows,"Windows, macOS, Linux",informed,2,"Often pre-installed on new computers, it offers a graphical environment, making it accessible to many users.",16,YES,
2,Technology,2,Windows,"Windows, macOS, Linux",informed,3,This system is known for its wide adoption and is often the first operating system for many users.,18,YES,
2,Technology,2,Windows,"Windows, macOS, Linux",informed,4,"It is a graphical interface that provides an intuitive experience, making it easier to use computers.",16,YES,
2,Technology,2,Windows,"Windows, macOS, Linux",informed,5,This is a proprietary system that is known for its broad software and hardware support and compatibility.,17,YES,
2,Technology,2,Windows,"Windows, macOS, Linux",informed,6,"It is a dominant system in the personal computing market, it is widely used worldwide today.",16,YES,
