test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,1,غالبًا ما يضم تقنيات متقدمة، مجتمعات مستقبلية، واستكشافات للمجهول تتجاوز فهمنا الحالي، مما يجعله نوعًا أدبيًا فريدًا.,17,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,2,غالبًا ما يتكهن هذا النوع بعواقب التطورات العلمية والتكنولوجية، سواء كانت إيجابية أو سلبية على مستقبل البشرية.,17,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,3,يستكشف سيناريوهات افتراضية تتحدى تصوراتنا للواقع والزمان والمكان والحالة الإنسانية بشكل كبير.,12,NO,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,4,عادةً ما تتضمن عناصر السفر عبر الفضاء، لقاءات مع الكائنات الفضائية، ومفاهيم علمية معقدة تتجاوز الحدود المألوفة.,17,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,5,غالبًا ما يقدم سردًا مثيرًا للتفكير يفحص تأثير التكنولوجيا على المجتمع وحياة الأفراد وتطورهم.,14,NO,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,6,غالبًا ما يستخدم صورًا خيالية ومؤثرات خاصة لخلق عوالم غامرة ومذهلة بصريًا للمشاهدين.,13,NO,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,7,يستخدم أساليب سرد القصص لاستكشاف مواضيع الاستكشاف والاكتشاف وإمكانيات التطور المستقبلي للبشرية، مع التركيز على الجوانب العلمية والتكنولوجية.,18,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,8,غالبًا ما تتضمن عناصر مثل الروبوتات والذكاء الاصطناعي والتقنيات المتقدمة الأخرى لإنشاء قصص آسرة.,14,NO,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",informed,9,غالبًا ما يتميز هذا النوع بمجتمعات بائسة، حيث أدت التكنولوجيا إلى القمع والسيطرة المجتمعية.,14,NO,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",misinformed,1,شكل من أشكال الترفيه يستخدم السرد والشخصيات والأماكن، ويأسر الجماهير في جميع أنحاء العالم بقصص آسرة وشائقة.,17,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",misinformed,2,وسيلة إبداعية تستخدم غالبًا العناصر المرئية والسمعية لإنشاء سرديات وأجواء وتجارب للمشاهدين. يمكن أن تشمل عوالم مستقبلية أو تقنيات متقدمة.,20,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",fake,1,يستكشف هذا النوع غالبًا موضوعات الأحداث الخارقة للطبيعة والوحوش والتشويق النفسي لخلق الخوف، وهو ما يميز أفلام الرعب.,18,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",fake,2,غالبًا ما يتضمن عناصر من المخلوقات الأسطورية وأنظمة السحر والمهام الملحمية في عالم خيالي.,14,NO,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",fake,3,غالبًا ما يستخدم هذا النوع مخلوقات أسطورية وأنظمة سحرية ومهام ملحمية في عالم خيالي، مما يجعله أقرب إلى الفانتازيا.,19,YES,
1,Broadcast Media,1,الخيال العلمي,"الخيال العلمي, الرعب, الخيال",extra,1,غالبًا ما يستكشف هذا النوع من الأدب التقاطع بين العلم والتكنولوجيا وتأثيراتهما على البشرية والكون الأوسع.,16,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,1,"أحدث أسلوب الفيلم البصري، بما في ذلك استخدامه للحركة البطيئة وتقنية ""وقت الرصاصة""، ثورة عميقة في سينما الحركة.",18,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,2,تتبع رحلة بطل الرواية لاكتشاف الذات، والتساؤل عن طبيعة الواقع والعالم من حوله، ليكتشف حقيقة وجوده.,16,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,3,يستكشف مواضيع الإرادة الحرة، والسيطرة، ووهم الواقع، ويتحدى تصورات المشاهدين للوجود، ويثير تساؤلات حول طبيعة الحقيقة.,16,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,4,"أذهل استخدام الفيلم للمؤثرات الخاصة الرائدة، وخاصة تسلسل ""الوقت الرصاصة""، جمهور السينما.",12,NO,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,5,يركز على الصراع ضد نظام قوي يسعى للسيطرة على البشر والتلاعب بهم، مما يذكرنا بمفهوم الواقع الزائف.,17,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,6,إن اختيار الشخصية لحبة حمراء أو زرقاء يرمز إلى الاختيار بين الحقيقة والجهل السعيد.,14,NO,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,7,تدور أحداث الفيلم حول مجموعة من المتمردين الذين يقاتلون ضد واقع محاكاة تسيطر عليه الآلات، بحثًا عن الحقيقة.,18,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,8,تتميز بشخصية مركزية يسترشد بها مرشد ويتعلم عن إمكاناته الحقيقية ومصيره المحتوم في هذا العالم.,15,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",informed,9,يستمد الإطار الفلسفي للصورة المتحركة إلهامه من مصادر متنوعة، بما في ذلك الوجودية وأدب السايبربانك.,15,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",misinformed,1,يعتبر هذا الفيلم إنتاجًا خيالياً علمياً كلاسيكياً وظاهرة ثقافية واسعة الانتشار، مما يجعله مرجعاً في هذا المجال.,17,YES,
1,Broadcast Media,2,الماتريكس,"Blade Runner, الماتريكس, Dune",misinformed,2,يتميز هذا الفيلم بقصة آسرة وشخصيات لا تُنسى، ويعتبر عملاً سينمائيًا هامًا في تاريخ السينما.,15,YES,
