test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,1,هذا النوع من المخلوقات يلد صغارًا أحياء ويرضعهم بالحليب الذي تنتجه الأم من غددها الثديية.,15,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,2,تتميز هذه الكائنات ذوات الدم الحار بغطاء من الشعر أو الفرو، وتحافظ على نظام ثابت لتنظيم درجة الحرارة الداخلية.,19,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,3,تمتلك هذه الكائنات أسنانًا متخصصة، تتكيف بشكل فريد مع طرق استهلاك الطعام المحددة لتلبية احتياجات بقائها.,16,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,4,يتكون هيكلهم الداخلي عادةً من عمود فقري مركزي وأربعة أطراف، أو أشكال معدلة منها، مما يساعدهم على الحركة.,18,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,5,تُظهر هذه المخلوقات غالبًا مهارات إدراكية عالية وتُبدي سلوكيات اجتماعية معقدة في ديناميكيات المجموعة.,14,NO,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,6,توجد في بيئات متنوعة، من أعمق المحيطات إلى أعلى سلاسل الجبال، وتتميز بوجود غدد لبنية.,15,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,7,تنمو الصغار داخل جسم الأم، ويتلقون التغذية من خلال هيكل مشيمي متخصص يوفر لهم الغذاء اللازم.,16,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,8,تمتلك هذه الحيوانات قلبًا رباعي الحجرات، مما يسمح بتوزيع فعال للدم الغني بالأكسجين في جميع أنحاء الجسم.,17,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",informed,9,تشتهر هذه الحيوانات بتنظيم درجة حرارة أجسامها، والحفاظ على حالة داخلية ثابتة داخل جسم الحيوان.,15,YES,
1,Nature,1,ثديي,"اللافقاريات, ثديي, الفقاريات",misinformed,1,تطورت هذه المجموعة من الكائنات الحية بمرور الوقت، وقامت بتكييف وتغيير خصائصها للبقاء على قيد الحياة في بيئتها.,18,YES,
