test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Video Games - 1,28,28,13,0,"Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 14 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, fake_clues #1: 14 words; Round 1, fake_clues #2: 12 words; Round 1, extra_clues #1: 13 words; Round 2, informed_clues #4: 12 words; Round 2, informed_clues #7: 12 words; Round 2, fake_clues #1: 13 words",100.0%
2,Video Games - 2,30,30,12,0,"Round 1, informed_clues #3: 13 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 13 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #9: 14 words; Round 1, misinformed_clues #1: 13 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #4: 13 words; Round 2, informed_clues #7: 13 words; Round 2, fake_clues #2: 14 words; Round 2, extra_clues #1: 14 words",100.0%
3,Video Games - 3,30,30,6,0,"Round 1, informed_clues #5: 14 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #8: 13 words; Round 2, informed_clues #10: 14 words; Round 2, misinformed_clues #1: 13 words",100.0%
4,Video Games - 4,29,29,7,0,"Round 1, informed_clues #2: 14 words; Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 13 words; Round 1, informed_clues #9: 14 words; Round 2, informed_clues #3: 13 words; Round 2, fake_clues #1: 14 words",100.0%
5,Video Games - 5,28,28,1,0,"Round 1, informed_clues #2: 14 words",100.0%
6,Video Games - 6,28,28,3,0,"Round 1, informed_clues #8: 14 words; Round 2, informed_clues #8: 14 words; Round 2, extra_clues #1: 12 words",100.0%
7,Video Games - 7,28,28,14,0,"Round 1, informed_clues #3: 13 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 13 words; Round 1, informed_clues #9: 14 words; Round 1, fake_clues #1: 14 words; Round 1, extra_clues #1: 14 words; Round 2, informed_clues #3: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #8: 14 words; Round 2, informed_clues #9: 12 words; Round 2, fake_clues #1: 13 words",100.0%
8,Video Games - 8,28,28,10,0,"Round 1, informed_clues #6: 13 words; Round 1, informed_clues #8: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, misinformed_clues #2: 12 words; Round 1, fake_clues #1: 14 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #6: 14 words; Round 2, informed_clues #8: 14 words; Round 2, fake_clues #2: 13 words",100.0%
9,Video Games - 9,29,29,6,0,"Round 1, informed_clues #1: 13 words; Round 1, informed_clues #4: 13 words; Round 1, informed_clues #6: 14 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #9: 14 words; Round 2, fake_clues #2: 13 words",100.0%
10,Video Games - 10,28,28,3,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #6: 14 words; Round 2, informed_clues #3: 12 words",100.0%
