test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,1,"Эти существа рождают живых детенышей и вскармливают их молоком, которое вырабатывается молочными железами матери. Это важная характеристика данной группы.",19,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,2,"Эти теплокровные организмы часто покрыты шерстью или мехом, поддерживая постоянную внутреннюю температуру тела благодаря сложной системе регуляции.",17,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,3,"У них есть специализированные зубы, уникально приспособленные к конкретным методам потребления пищи для удовлетворения их жизненных потребностей и выживания.",19,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,4,"Внутренний скелет этих животных обычно состоит из центрального позвоночника и четырех конечностей, или их измененных форм, что указывает на млекопитающих.",20,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,5,"Эти существа часто демонстрируют развитые когнитивные навыки и сложное социальное поведение в рамках групповой динамики, что делает их уникальными.",19,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,6,"Эти существа встречаются в самых разных местах обитания, от глубин океана до высочайших горных хребтов, вскармливая детенышей молоком.",18,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,7,"Развивающийся детеныш находится в теле матери, получая питание через специализированную плацентарную структуру, что характерно для определенного класса животных.",18,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,8,"У этих животных четырехкамерное сердце, что обеспечивает эффективную циркуляцию крови, насыщенной кислородом, по всему телу. Это важная характеристика млекопитающих.",19,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",informed,9,"Они известны тем, что регулируют температуру своего тела, поддерживая постоянное внутреннее состояние в организме животного, что является важной особенностью.",19,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",misinformed,1,"Эта группа живых существ эволюционировала с течением времени, приспосабливаясь и изменяя свои характеристики, чтобы выжить в окружающей среде. Это очень широкая категория.",22,NO,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",misinformed,2,"Эти организмы демонстрируют общие характеристики, включая клеточную структуру и наличие генетического материала, ДНК, что свойственно многим видам животных.",18,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",fake,1,"У этих существ есть экзоскелет, и у них нет позвоночника, их часто можно встретить в воде, но это неправда.",19,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",fake,2,"У животных с сегментированным телом часто происходит трансформация в течение их жизненного цикла, известная как метаморфоза, но это не млекопитающее.",20,YES,
1,Nature,1,Млекопитающее,"Беспозвоночные, Млекопитающее, Позвоночные",fake,3,"Это большая группа животных, у которых отсутствует позвоночник, часто с простой структурой тела и системами органов. Это не млекопитающие.",19,YES,
